date,time,high,residual
2015-01-02,07:30:00,0.871,-0.28
2015-01-02,07:45:00,0.8,-0.279
2015-01-02,08:00:00,0.711,-0.298
2015-01-02,08:15:00,0.633,-0.309
2015-01-02,08:30:00,0.54,-0.341
2015-01-02,08:45:00,0.504,-0.331
2015-01-02,09:00:00,0.443,-0.365
2015-01-02,09:15:00,0.456,-0.348
2015-01-02,09:30:00,0.495,-0.326
2015-01-02,09:45:00,0.496,-0.356
2015-01-02,10:00:00,0.552,-0.334
2015-01-02,10:15:00,0.571,-0.343
2015-01-02,10:30:00,0.563,-0.364
2015-01-02,10:45:00,0.575,-0.349
2015-01-02,11:00:00,0.579,-0.329
2015-01-02,11:15:00,0.595,-0.288
2015-01-02,11:30:00,0.605,-0.249
2015-01-02,11:45:00,0.608,-0.215
2015-01-02,12:00:00,0.577,-0.215
2015-01-02,12:15:00,0.528,-0.235
2015-01-02,12:30:00,0.521,-0.218
2015-01-02,12:45:00,0.519,-0.207
2015-01-02,13:00:00,0.54,-0.19
2015-01-02,13:15:00,0.603,-0.155
2015-01-02,13:30:00,0.654,-0.159
2015-01-02,13:45:00,0.754,-0.14
2015-01-02,14:00:00,0.88,-0.115
2015-01-02,14:15:00,0.992,-0.115
2015-01-02,14:30:00,1.089,-0.134
2015-01-02,14:45:00,1.215,-0.122
2015-01-02,15:00:00,1.339,-0.104
2015-01-02,15:15:00,1.46,-0.08
2015-01-02,15:30:00,1.586,-0.039
2015-01-02,15:45:00,1.682,-0.013
2015-01-02,16:00:00,1.703,-0.045
2015-01-02,16:15:00,1.706,-0.076
2015-01-02,16:30:00,1.746,-0.05
2015-01-02,16:45:00,1.76,-0.032
2015-01-02,17:00:00,1.744,-0.032
2015-01-02,17:15:00,1.74,-0.013
2015-01-02,17:30:00,1.699,-0.026
2015-01-02,17:45:00,1.671,-0.022
2015-01-02,18:00:00,1.617,-0.038
2015-01-02,18:15:00,1.575,-0.031
2015-01-02,18:30:00,1.532,-0.012
2015-01-02,18:45:00,1.446,-0.024
2015-01-02,19:00:00,1.361,-0.026
2015-01-02,19:15:00,1.289,-0.009
2015-01-02,19:30:00,1.224,0.016
2015-01-02,19:45:00,1.13,0.012
2015-01-02,20:00:00,1.015,-0.012
2015-01-02,20:15:00,0.913,-0.021
2015-01-02,20:30:00,0.824,-0.018
2015-01-02,20:45:00,0.735,-0.018
2015-01-02,21:00:00,0.639,-0.039
2015-01-02,21:15:00,0.576,-0.048
2015-01-02,21:30:00,0.541,-0.057
2015-01-02,21:45:00,0.552,-0.051
2015-01-02,22:00:00,0.574,-0.058
2015-01-02,22:15:00,0.631,-0.046
2015-01-02,22:30:00,0.679,-0.045
2015-01-02,22:45:00,0.717,-0.047
2015-01-02,23:00:00,0.747,-0.044
2015-01-02,23:15:00,0.786,-0.019
2015-01-02,23:30:00,0.764,-0.044
2015-01-02,23:45:00,0.757,-0.047
2015-01-03,00:00:00,0.762,-0.034
2015-01-03,00:15:00,0.772,-0.013
2015-01-03,00:30:00,0.741,-0.029
2015-01-03,00:45:00,0.733,-0.022
2015-01-03,01:00:00,0.688,-0.057
2015-01-03,01:15:00,0.68,-0.067
2015-01-03,01:30:00,0.698,-0.072
2015-01-03,01:45:00,0.736,-0.083
2015-01-03,02:00:00,0.785,-0.112
2015-01-03,02:15:00,0.88,-0.119
2015-01-03,02:30:00,1.005,-0.115
2015-01-03,02:45:00,1.141,-0.108
2015-01-03,03:00:00,1.257,-0.122
2015-01-03,03:15:00,1.404,-0.1
2015-01-03,03:30:00,1.534,-0.086
2015-01-03,03:45:00,1.68,-0.046
2015-01-03,04:00:00,1.817,0
2015-01-03,04:15:00,1.91,0.019
2015-01-03,04:30:00,1.954,0.009
2015-01-03,04:45:00,1.989,0.013
2015-01-03,05:00:00,2.024,0.038
2015-01-03,05:15:00,2.044,0.064
2015-01-03,05:30:00,2.042,0.079
2015-01-03,05:45:00,2.052,0.114
2015-01-03,06:00:00,2.027,0.118
2015-01-03,06:15:00,1.986,0.113
2015-01-03,06:30:00,1.946,0.119
2015-01-03,06:45:00,1.91,0.142
2015-01-03,07:00:00,1.833,0.137
2015-01-03,07:15:00,1.766,0.154
2015-01-03,07:30:00,1.681,0.16
2015-01-03,07:45:00,1.565,0.138
2015-01-03,08:00:00,1.431,0.101
2015-01-03,08:15:00,1.289,0.057
2015-01-03,08:30:00,1.181,0.05
2015-01-03,08:45:00,1.093,0.067
2015-01-03,09:00:00,1.009,0.086
2015-01-03,09:15:00,0.909,0.082
2015-01-03,09:30:00,0.81,0.06
2015-01-03,09:45:00,0.707,0.007
2015-01-03,10:00:00,0.695,0.013
2015-01-03,10:15:00,0.662,-0.032
2015-01-03,10:30:00,0.738,0.013
2015-01-03,10:45:00,0.805,0.041
2015-01-03,11:00:00,0.865,0.067
2015-01-03,11:15:00,0.894,0.075
2015-01-03,11:30:00,0.865,0.041
2015-01-03,11:45:00,0.859,0.044
2015-01-03,12:00:00,0.873,0.077
2015-01-03,12:15:00,0.872,0.103
2015-01-03,12:30:00,0.844,0.108
2015-01-03,12:45:00,0.82,0.121
2015-01-03,13:00:00,0.777,0.117
2015-01-03,13:15:00,0.735,0.112
2015-01-03,13:30:00,0.712,0.116
2015-01-03,13:45:00,0.686,0.096
2015-01-03,14:00:00,0.686,0.072
2015-01-03,14:15:00,0.728,0.058
2015-01-03,14:30:00,0.809,0.05
2015-01-03,14:45:00,0.947,0.073
2015-01-03,15:00:00,1.02,0.014
2015-01-03,15:15:00,1.162,0.018
2015-01-03,15:30:00,1.291,0.01
2015-01-03,15:45:00,1.412,0
2015-01-03,16:00:00,1.557,0.024
2015-01-03,16:15:00,1.694,0.052
2015-01-03,16:30:00,1.771,0.038
2015-01-03,16:45:00,1.857,0.052
2015-01-03,17:00:00,1.899,0.045
2015-01-03,17:15:00,1.906,0.026
2015-01-03,17:30:00,1.897,0.009
2015-01-03,17:45:00,1.919,0.037
2015-01-03,18:00:00,1.918,0.05
2015-01-03,18:15:00,1.876,0.027
2015-01-03,18:30:00,1.855,0.032
2015-01-03,18:45:00,1.827,0.038
2015-01-03,19:00:00,1.786,0.044
2015-01-03,19:15:00,1.707,0.027
2015-01-03,19:30:00,1.629,0.026
2015-01-03,19:45:00,1.559,0.044
2015-01-03,20:00:00,1.488,0.07
2015-01-03,20:15:00,1.358,0.042
2015-01-03,20:30:00,1.241,0.032
2015-01-03,20:45:00,1.139,0.044
2015-01-03,21:00:00,1.023,0.049
2015-01-03,21:15:00,0.919,0.069
2015-01-03,21:30:00,0.821,0.09
2015-01-03,21:45:00,0.716,0.087
2015-01-03,22:00:00,0.615,0.06
2015-01-03,22:15:00,0.549,0.032
2015-01-03,22:30:00,0.539,0.021
2015-01-03,22:45:00,0.555,0.006
2015-01-03,23:00:00,0.592,-0.007
2015-01-03,23:15:00,0.615,-0.039
2015-01-03,23:30:00,0.656,-0.047
2015-01-03,23:45:00,0.652,-0.087
2015-01-04,00:00:00,0.669,-0.094
2015-01-04,00:15:00,0.69,-0.085
2015-01-04,00:30:00,0.689,-0.09
2015-01-04,00:45:00,0.673,-0.101
2015-01-04,01:00:00,0.636,-0.125
2015-01-04,01:15:00,0.593,-0.148
2015-01-04,01:30:00,0.581,-0.136
2015-01-04,01:45:00,0.564,-0.132
2015-01-04,02:00:00,0.525,-0.164
2015-01-04,02:15:00,0.567,-0.141
2015-01-04,02:30:00,0.612,-0.146
2015-01-04,02:45:00,0.69,-0.152
2015-01-04,03:00:00,0.775,-0.181
2015-01-04,03:15:00,0.873,-0.218
2015-01-04,03:30:00,1.032,-0.205
