BRC names,BRC number,Type,Sym
Artemisia vulgaris,920175,h,
Arum italicum,920177,h,
Arum maculatum,920176,h,
Asarum europaeum,920178,h,
Asparagus officinalis,920179,h,
Asparagus officinalis subsp.officinalis,920179.1,h,
Asparagus officinalis subsp.prostratus,920179.2,h,
Asperugo procumbens,920180,h,
Asperula cynanchica,9205472,h,
Asperula cynanchica subsp.occidentalis,9202634,h,
Asplenium adiantum-nigrum,910185.1,f,n
Asplenium marinum,910189,f,n
Asplenium obovatum,910191,f,n
Asplenium onopteris,910185.2,f,n
Asplenium ruta-muraria,910192,f,n
Asplenium septentrionale,910193,f,n
Asplenium sp.,9104623,f,
Asplenium trichomanes,910194,f,n
Asplenium trichomanes-ramosum,910195,f,n
Aster agg.,920201,h,
Aster laevis,920196,h,
Aster laevis x novi-belgii (A. x versicolor),920205,h,
Aster lanceolatus,920197,h,
Aster lanceolatus x novi-belgii (A. x salignus),920203,h,
Aster linosyris,9201166,h,
Aster novae-angliae,920200,h,
Aster novi-belgii,9204494,h,
Aster puniceus,920202,h,
Aster schreberi,920199,h,
Aster tripolium,920204,h,
Aster tripolium var. discoideus,920204.1,h,
Astragalus alpinus,920206,h,
Astragalus danicus,920207,h,
Astragalus glycyphyllos,920208,h,
Astrantia major,920209,h,
Athyrium distentifolium,910210,f,n
Athyrium filix-femina,910211,f,n
Athyrium flexile,910210.1,f,n
Athyrium sp.,200001606,h,
Atriplex glabriuscula,920212,h,
Atriplex hortensis,920215,h,
Atriplex laciniata,920216,h,
Atriplex littoralis,920217,h,
Atriplex longipes,9202286,h,
Atriplex patula,920218,h,
Atriplex pedunculata,920949,h,
Atriplex portulacoides,920950,h,
Atriplex praecox,9202287,h,
Atriplex prostrata agg.,9203311,h,
Atriplex sp.,9204582,h,
Atropa belladonna,920219,h,
Aubrieta deltoidea,9202622,h,
Avena fatua,920220,h,
Avena sativa,9202988,h,
Avena sp.,9204734,h,
Avena sterilis ludoviciana,920221,h,
Avena strigosa,920222,h,
Avenula sp.,200001608,h,
Azalea spp.,200001691,s,er
Azolla filiculoides,910223,f,n
Baldellia ranunculoides,920224,h,
Ballota nigra,920225,h,
Barbarea intermedia,920226,h,n
Barbarea stricta,920227,h,n
Barbarea verna,920228,h,n
Barbarea vulgaris,920229,h,n
Bartsia alpina,920230,h,
Beet (cultivated),920235.2,h,
Bellis perennis,920231,h,
Berberis sp.,9204741,s,am
Berberis vulgaris,920232,h,
Berteroa incana,920233,h,
Berula erecta,920234,h,
Beta spp.,9204744,t,em
Beta vulgaris,920235,h,
Beta vulgaris subsp.maritima,920235.1,h,
Betula nana,920238,t,em
Betula pendula,920239,t,em
Betula pubescens,920240,t,em
Betula pubescens subsp.tortuosa,920240.1,t,em
Betula seedling/sp,9204445,t,em
Bidens cernua,920241,h,
Bidens frondosa,9202652,h,
Bidens sp.,9204745,h,
Bidens tripartita,920242,h,
Blackstonia perfoliata,920243,h,
Blechnum spicant,910244,f,n
Blysmus compressus,920245,h,
Blysmus rufus,920246,h,
Bolboschoenus maritimus,9201860,h,
Borago officinalis,920247,h,
Botrychium lunaria,910248,f,n
Brachypodium pinnatum,920249,h,
Brachypodium sp.,200001609,h,
Brachypodium sylvaticum,920250,h,
Brassica fruticulosa,9207841,h,
Brassica napus,920251,h,
Brassica nigra,920252,h,
Brassica oleracea (cultivated),920253,h,
Brassica rapa,920254,h,
Brassica sp.,9204750,h,n
Briza maxima,920255,h,
Briza media,920256,h,
Briza minor,920257,h,
Bromopsis benekenii,920259,h,
Bromopsis erecta,920263,h,
Bromopsis inermis,920265,h,
Bromopsis ramosa,920272,h,
Bromus arvensis,920258,h,
Bromus commutatus,920262,h,
Bromus hordeaceus,920269,h,
Bromus hordeaceus subsp.ferronii,920264,h,
Bromus hordeaceus subsp.thominei,920275,h,
Bromus interruptus,920266,h,
Bromus lepidus,920268,h,
Bromus pseudosecalinus,9202382,h,
Bromus racemosus,920271,h,
Bromus secalinus,920273,h,
Bromus sp.,9204752,h,
Bryonia dioica,920276,h,
Buddleja davidii,920277,s,am
Bunias erucago,920280,h,
Bunias orientalis,920281,h,
Bunium bulbocastanum,920282,h,
Bupleurum baldense,920285,h,
Bupleurum falcatum,920283,h,
Bupleurum fruticosum,920284,h,
Bupleurum rotundifolium,920286,h,
Bupleurum subovatum,9204423,h,
Bupleurum tenuissimum,920287,h,
Butomus umbellatus,920288,h,
Buxus sempervirens,920289,h,am
Cakile maritima,920291,h,n
Calamagrostis canescens,920292,h,
Calamagrostis epigejos,920293,h,
Calamagrostis purpurea,9202646,h,
Calamagrostis scotica,920295,h,
Calamagrostis sp.,200001610,h,
Calamagrostis stricta,920294,h,
Calamintha sp.,9204811,h,
Calendula officinalis,920300,h,
Calla palustris,920301,h,
Callitriche brutia,920303.2,h,
Callitriche hamulata sens.lat.,920303,h,
Callitriche hamulata sens.str.,920303.1,h,
Callitriche hermaphroditica,920302,h,
Callitriche obtusangula,920304,h,
Callitriche platycarpa,920307.1,h,
Callitriche seedling/sp,9202249,h,
Callitriche stagnalis sens.lat.,920307,h,
Callitriche truncata,920308,h,
Calluna vulgaris,920309,s,er
Caltha palustris,920310,h,
Caltha palustris ssp.minor,920310.1,h,
Calystegia pulchra,9202266,h,
Calystegia sepium,920311,h,
Calystegia silvatica,920313,h,
Calystegia soldanella,920312,h,
Calystegia sp.,200001581,h,
Camelina macrocarpa,9205421,h,
Camelina microcarpa,9202567,h,
Camelina sativa,9204352,h,
Campanula glomerata,920315,h,
Campanula latifolia,920316,h,
Campanula medium,920317,h,
Campanula patula,920318,h,
Campanula persicifolia,920319,h,
Campanula rapunculoides,920320,h,
Campanula rapunculus,920321,h,
Campanula rotundifolia,920322,h,
Campanula sp.,9204768,h,
Campanula trachelium,920323,h,
Campylopus pyriformis/flexuosa,20000492,h,
Capsella bursa-pastoris,920325,h,n
Capsella rubella,920326,h,n
Cardamine amara,920327,h,n
Cardamine bulbifera,920625,h,n
Cardamine flexuosa,920328,h,n
Cardamine hirsuta,920329,h,n
Cardamine hirsuta/flexuosa,2000070,h,
Cardamine impatiens,920330,h,n
Cardamine sp.,9204771,h,
Carduus crispus,920335,h,
Carduus nutans,920337,h,
Carduus sp.,9204774,h,
Carduus tenuiflorus,920339,h,
Carex acuta,920340,h,
Carex acutiformis,920341,h,
Carex appropinquata,920342,h,
Carex aquatilis,920343,h,
Carex arenaria,920344,h,
Carex atrata,920345,h,
Carex atrofusca,920346,h,
Carex bigelowii,920349,h,
Carex binervis,920350,h,
Carex buxbaumii,920352,h,
Carex capillaris,920353,h,
Carex caryophylla/pilulifera,200001536,h,
Carex caryophyllea,920355,h,
Carex chordorrhiza,920356,h,
Carex curta,920359,h,
