"","X","Site","Plot","AspectYr2","Yr2NVC","pHYr2","SOMYr2","MSG","LiveBasalAreaYr2","mean_dbh","tree.density","plot_richness","ShortNVC"
"1",385,73,1,NA,"W10d",4.225,59.3,5,3.025746424,44.5,0.21,19,"W10"
"2",386,73,2,NA,"W10d",4.506,34.8,5,1.596321767,35.83,0.2,26,"W10"
"3",387,73,3,NA,"W10d",4.837,31.7,5,1.10348442,40.83,0.115,29,"W10"
"4",388,73,4,NA,"W10d",4.233,49.3,3,1.297870465,14,0.23,28,"W10"
"5",389,73,5,NA,"W16b",4.594,53.7,5,2.285508655,12.24,0.38,18,"W16"
"6",390,73,6,NA,"W16",NA,16.6,5,1.150608309,45.83,0.13,16,"W16"
"7",392,73,8,NA,"W16",4.397,46.5,3,0.9837112,28.61,0.235,17,"W16"
"8",393,73,9,NA,"W10d",4.617,38.8,5,NA,NA,NA,25,"W10"
"9",394,73,10,NA,"W10d",4.557,18.8,5,0.005890486,7.5,0.27,18,"W10"
"10",395,73,11,NA,"W16b",4.297,44,5,1.062251016,24.17,0.13,18,"W16"
"11",396,73,12,NA,"W10d",4.334,50.7,5,0.932660319,33.75,0.125,12,"W10"
"12",397,73,13,NA,"W16b",4.582,50.5,5,0.728456797,31.67,0.175,10,"W16"
"13",398,73,14,NA,"W10d",4.744,33.8,5,0.396626073,30.83,0.17,20,"W10"
"14",399,73,15,NA,"W10d",4.539,25.7,5,0.746128255,29.5,0.135,13,"W10"
"15",400,73,16,NA,"W16b",4.645,39.4,3,1.221294144,29.64,0.19,11,"W16"
