"","X","Site","Plot","AspectYr2","Yr2NVC","pHYr2","SOMYr2","MSG","LiveBasalAreaYr2","mean_dbh","tree.density","plot_richness","ShortNVC"
"1",469,78,5,NA,"W16b",4.719,24.3383,5,0.828595062,11.3,0.22,8,"W16"
"2",470,78,6,NA,"W16b",4.637,25.20214,5,0.636172512,24.64,0.31,3,"W16"
"3",471,78,7,NA,"W16b",4.765,19.10909,3,0.559596191,23.45,0.44,3,"W16"
"4",472,78,8,NA,"W16a",4.107,27.10795,5,1.333213382,26.79,0.34,7,"W16"
"5",473,78,9,135,"W16a",3.983,27.96465,5,4.30201844,35.83,0.5,7,"W16"
"6",474,78,10,NA,"W16b",4.639,14.01664,5,1.900663555,29.42,0.35,4,"W16"
"7",475,78,11,270,"W16b",4.675,19.56059,5,0.559596191,23.12,0.33,5,"W16"
"8",478,78,14,90,"W16b",4.528,42.6377,5,0.162970119,11.5,0.045,4,"W16"
"9",479,78,15,NA,"W16b",4.098,16.13466,5,1.333213382,28.06,0.46,7,"W16"
"10",480,78,16,NA,"W16b",4.131,28.83199,5,0.559596191,24.5,0.55,4,"W16"
