"","site","long","lat","aw","Area","Alt","Richness","PHINorm","connectivity","name"
"1",4,54.257539,-1.1311401,1,12.03048588,151.1875,66,0.09,0.45,"Reins Wood"
"2",46,54.556755,-0.90212632,1,15.05026529,43.25,89,0.06,0.2,"White Cliff Wood"
"3",61,54.89855,-1.7910241,0,20.61640971,105.6875,82,0.06,0.59,"Longclose Wood"
"4",63,54.945456,-1.9812361,0,5.371254194,47.6875,91,0.07,0.44,"Riding Mill Wood"
