Column3,Column4,Column5
[lng]) VALUES ('BA1','51.39109','-2.35934')
[lng]) VALUES ('BA10','51.11291','-2.44576')
[lng]) VALUES ('BA11','51.23652','-2.32519')
[lng]) VALUES ('BA12','51.17117','-2.18740')
[lng]) VALUES ('BA13','51.26201','-2.17917')
[lng]) VALUES ('BA14','51.31863','-2.20092')
[lng]) VALUES ('BA15','51.35088','-2.26425')
[lng]) VALUES ('BA16','51.12489','-2.74313')
[lng]) VALUES ('BA2','51.35957','-2.37633')
[lng]) VALUES ('BA20','50.93753','-2.64193')
[lng]) VALUES ('BA21','50.95107','-2.63358')
[lng]) VALUES ('BA22','50.96814','-2.63666')
[lng]) VALUES ('BA3','51.27468','-2.47313')
[lng]) VALUES ('BA4','51.17102','-2.53073')
[lng]) VALUES ('BA5','51.21266','-2.65291')
[lng]) VALUES ('BA6','51.14042','-2.70478')
[lng]) VALUES ('BA7','51.08833','-2.51835')
[lng]) VALUES ('BA8','50.99883','-2.41046')
[lng]) VALUES ('BA9','51.05729','-2.40955')
[lng]) VALUES ('BB1','53.75625','-2.46265')
,,
[lng]) VALUES ('BB10','53.79919','-2.21865')
[lng]) VALUES ('BB11','53.78294','-2.25196')
[lng]) VALUES ('BB12','53.80353','-2.29005')
[lng]) VALUES ('BB18','53.91433','-2.17053')
[lng]) VALUES ('BB2','53.74171','-2.50039')
[lng]) VALUES ('BB3','53.69781','-2.46503')
[lng]) VALUES ('BB4','53.70376','-2.28936')
[lng]) VALUES ('BB5','53.75477','-2.37162')
[lng]) VALUES ('BB6','53.79238','-2.41598')
[lng]) VALUES ('BB7','53.87338','-2.38636')
[lng]) VALUES ('BB8','53.85771','-2.16270')
[lng]) VALUES ('BB9','53.83695','-2.21429')
[lng]) VALUES ('BD1','53.79554','-1.75252')
[lng]) VALUES ('BD10','53.83143','-1.72496')
[lng]) VALUES ('BD11','53.75131','-1.67543')
[lng]) VALUES ('BD12','53.74611','-1.76039')
[lng]) VALUES ('BD13','53.78582','-1.85883')
[lng]) VALUES ('BD14','53.78217','-1.81635')
[lng]) VALUES ('BD15','53.80917','-1.83597')
[lng]) VALUES ('BD16','53.84871','-1.83278')
