Column3,Column4,Column5
[lng]) VALUES ('CR8','51.33594','-0.11061')
,,
[lng]) VALUES ('CR9','51.37223','-0.07463')
[lng]) VALUES ('CT1','51.27719','1.08733')
[lng]) VALUES ('CT10','51.36208','1.43073')
[lng]) VALUES ('CT11','51.33557','1.41438')
[lng]) VALUES ('CT12','51.34216','1.37322')
[lng]) VALUES ('CT13','51.26692','1.33042')
[lng]) VALUES ('CT14','51.21582','1.38689')
[lng]) VALUES ('CT15','51.17109','1.28343')
[lng]) VALUES ('CT16','51.13996','1.30267')
[lng]) VALUES ('CT17','51.12845','1.29613')
[lng]) VALUES ('CT18','51.11447','1.15078')
[lng]) VALUES ('CT19','51.08785','1.17040')
[lng]) VALUES ('CT2','51.29261','1.08262')
[lng]) VALUES ('CT20','51.07899','1.16551')
[lng]) VALUES ('CT21','51.07233','1.07795')
[lng]) VALUES ('CT3','51.27743','1.21213')
[lng]) VALUES ('CT4','51.22462','1.06805')
[lng]) VALUES ('CT5','51.35318','1.03641')
[lng]) VALUES ('CT6','51.36420','1.13054')
[lng]) VALUES ('CT7','51.37122','1.30062')
,,
[lng]) VALUES ('CT8','51.37996','1.34150')
[lng]) VALUES ('CT9','51.38304','1.39060')
[lng]) VALUES ('CV1','52.40939','-1.50600')
[lng]) VALUES ('CV10','52.52535','-1.50028')
[lng]) VALUES ('CV11','52.51885','-1.45318')
[lng]) VALUES ('CV12','52.47399','-1.47288')
[lng]) VALUES ('CV13','52.61217','-1.41362')
[lng]) VALUES ('CV2','52.42270','-1.46467')
[lng]) VALUES ('CV21','52.36774','-1.27438')
[lng]) VALUES ('CV22','52.35522','-1.28633')
[lng]) VALUES ('CV23','52.36165','-1.30826')
[lng]) VALUES ('CV3','52.39310','-1.48119')
[lng]) VALUES ('CV31','52.27819','-1.52358')
[lng]) VALUES ('CV32','52.29620','-1.53072')
[lng]) VALUES ('CV33','52.25735','-1.48424')
[lng]) VALUES ('CV34','52.28290','-1.57924')
[lng]) VALUES ('CV35','52.22900','-1.59440')
[lng]) VALUES ('CV36','52.06726','-1.62504')
[lng]) VALUES ('CV37','52.18530','-1.71328')
[lng]) VALUES ('CV4','52.39794','-1.56492')
,,
[lng]) VALUES ('CV47','52.23349','-1.38494')
[lng]) VALUES ('CV5','52.41227','-1.55008')
[lng]) VALUES ('CV6','52.43188','-1.50722')
[lng]) VALUES ('CV7','52.44378','-1.56300')
[lng]) VALUES ('CV8','52.35110','-1.54336')
[lng]) VALUES ('CV9','52.58493','-1.55864')
[lng]) VALUES ('CW1','53.10281','-2.43469')
[lng]) VALUES ('CW10','53.18907','-2.44604')
[lng]) VALUES ('CW11','53.14260','-2.36482')
[lng]) VALUES ('CW12','53.16455','-2.21093')
[lng]) VALUES ('CW2','53.08119','-2.44642')
[lng]) VALUES ('CW3','52.99952','-2.40534')
[lng]) VALUES ('CW4','53.20648','-2.34739')
[lng]) VALUES ('CW5','53.06200','-2.52084')
[lng]) VALUES ('CW6','53.16197','-2.66565')
[lng]) VALUES ('CW7','53.19054','-2.52688')
[lng]) VALUES ('CW8','53.25330','-2.56363')
[lng]) VALUES ('CW9','53.25897','-2.50074')
[lng]) VALUES ('DA1','51.44637','0.20915')
[lng]) VALUES ('DA10','51.44445','0.30837')
,,
[lng]) VALUES ('DA11','51.43455','0.35392')
[lng]) VALUES ('DA12','51.42757','0.38809')
[lng]) VALUES ('DA13','51.38235','0.35555')
[lng]) VALUES ('DA14','51.42475','0.11316')
[lng]) VALUES ('DA15','51.44029','0.09948')
[lng]) VALUES ('DA16','51.46440','0.10923')
[lng]) VALUES ('DA17','51.48706','0.14917')
[lng]) VALUES ('DA18','51.49165','0.14363')
[lng]) VALUES ('DA2','51.43150','0.23433')
[lng]) VALUES ('DA3','51.38417','0.30965')
[lng]) VALUES ('DA4','51.39106','0.23236')
[lng]) VALUES ('DA5','51.44033','0.14698')
[lng]) VALUES ('DA6','51.45484','0.14046')
[lng]) VALUES ('DA7','51.46552','0.14672')
[lng]) VALUES ('DA8','51.47574','0.17745')
[lng]) VALUES ('DA9','51.44771','0.27975')
[lng]) VALUES ('DD1','56.46110','-2.97702')
[lng]) VALUES ('DD10','56.74724','-2.42680')
[lng]) VALUES ('DD11','56.57312','-2.59738')
[lng]) VALUES ('DD2','56.46968','-3.02756')
,,
[lng]) VALUES ('DD3','56.48257','-2.98894')
[lng]) VALUES ('DD4','56.48209','-2.93534')
[lng]) VALUES ('DD5','56.47812','-2.86217')
[lng]) VALUES ('DD6','56.43723','-2.92612')
[lng]) VALUES ('DD7','56.50330','-2.71814')
[lng]) VALUES ('DD8','56.65650','-2.92171')
[lng]) VALUES ('DD9','56.74798','-2.66720')
[lng]) VALUES ('DE1','52.91994','-1.47492')
[lng]) VALUES ('DE11','52.77372','-1.55377')
[lng]) VALUES ('DE12','52.72516','-1.55279')
[lng]) VALUES ('DE13','52.80741','-1.68844')
[lng]) VALUES ('DE14','52.80457','-1.63950')
[lng]) VALUES ('DE15','52.79908','-1.60840')
[lng]) VALUES ('DE21','52.93322','-1.43161')
[lng]) VALUES ('DE22','52.93351','-1.49559')
[lng]) VALUES ('DE23','52.90114','-1.49448')
[lng]) VALUES ('DE24','52.89016','-1.45150')
[lng]) VALUES ('DE3','52.90852','-1.54049')
[lng]) VALUES ('DE4','53.12707','-1.56357')
[lng]) VALUES ('DE45','53.21464','-1.67650')
,,
[lng]) VALUES ('DE5','53.04456','-1.40180')
[lng]) VALUES ('DE55','53.10104','-1.37114')
[lng]) VALUES ('DE56','53.02152','-1.47369')
[lng]) VALUES ('DE6','52.99358','-1.71690')
[lng]) VALUES ('DE65','52.86651','-1.60927')
[lng]) VALUES ('DE7','52.97220','-1.32089')
[lng]) VALUES ('DE72','52.89330','-1.35929')
[lng]) VALUES ('DE73','52.84694','-1.43571')
[lng]) VALUES ('DE74','52.84368','-1.32884')
[lng]) VALUES ('DE75','53.01284','-1.35305')
[lng]) VALUES ('DG1','55.07353','-3.58045')
[lng]) VALUES ('DG10','55.31977','-3.43735')
[lng]) VALUES ('DG11','55.11331','-3.33584')
[lng]) VALUES ('DG12','54.98928','-3.25044')
[lng]) VALUES ('DG13','55.17291','-3.02849')
[lng]) VALUES ('DG14','55.08069','-2.98539')
[lng]) VALUES ('DG16','54.99731','-3.06777')
[lng]) VALUES ('DG2','55.06442','-3.65683')
[lng]) VALUES ('DG3','55.23678','-3.79927')
[lng]) VALUES ('DG4','55.37555','-3.95236')
,,
[lng]) VALUES ('DG5','54.92201','-3.81016')
[lng]) VALUES ('DG6','54.83721','-4.05555')
[lng]) VALUES ('DG7','54.96738','-4.01219')
[lng]) VALUES ('DG8','54.87259','-4.51567')
[lng]) VALUES ('DG9','54.87815','-5.02123')
[lng]) VALUES ('DH1','54.78103','-1.56616')
[lng]) VALUES ('DH2','54.85933','-1.59648')
[lng]) VALUES ('DH3','54.87181','-1.56675')
[lng]) VALUES ('DH4','54.85444','-1.49060')
[lng]) VALUES ('DH5','54.82372','-1.45363')
[lng]) VALUES ('DH6','54.75276','-1.46391')
[lng]) VALUES ('DH7','54.78943','-1.66406')
[lng]) VALUES ('DH8','54.85541','-1.84422')
[lng]) VALUES ('DH9','54.86773','-1.70704')
[lng]) VALUES ('DL1','54.53016','-1.53637')
[lng]) VALUES ('DL10','54.41381','-1.69025')
[lng]) VALUES ('DL11','54.43841','-1.87510')
[lng]) VALUES ('DL12','54.57239','-1.98453')
[lng]) VALUES ('DL13','54.71619','-1.95343')
[lng]) VALUES ('DL14','54.65199','-1.68999')
,,
[lng]) VALUES ('DL15','54.70960','-1.72836')
[lng]) VALUES ('DL16','54.69848','-1.60429')
[lng]) VALUES ('DL17','54.68118','-1.54086')
[lng]) VALUES ('DL2','54.52860','-1.60130')
[lng]) VALUES ('DL3','54.53209','-1.57035')
[lng]) VALUES ('DL4','54.63029','-1.64368')
[lng]) VALUES ('DL5','54.61749','-1.57565')
[lng]) VALUES ('DL6','54.37042','-1.38885')
[lng]) VALUES ('DL7','54.33761','-1.48471')
[lng]) VALUES ('DL8','54.29267','-1.78489')
[lng]) VALUES ('DL9','54.37521','-1.70902')
[lng]) VALUES ('DN1','53.52205','-1.12960')
[lng]) VALUES ('DN10','53.42705','-0.94339')
[lng]) VALUES ('DN11','53.45158','-1.08284')
[lng]) VALUES ('DN12','53.48313','-1.22082')
[lng]) VALUES ('DN14','53.70747','-0.93638')
[lng]) VALUES ('DN15','53.61469','-0.64994')
[lng]) VALUES ('DN16','53.56782','-0.63935')
[lng]) VALUES ('DN17','53.57210','-0.70114')
[lng]) VALUES ('DN18','53.68055','-0.44643')
,,
[lng]) VALUES ('DN19','53.68387','-0.35847')
[lng]) VALUES ('DN2','53.53264','-1.10222')
[lng]) VALUES ('DN20','53.55723','-0.50531')
[lng]) VALUES ('DN21','53.41927','-0.70129')
[lng]) VALUES ('DN22','53.32352','-0.92643')
[lng]) VALUES ('DN3','53.54578','-1.05817')
[lng]) VALUES ('DN31','53.57014','-0.08648')
[lng]) VALUES ('DN32','53.56266','-0.06869')
[lng]) VALUES ('DN33','53.53974','-0.09691')
[lng]) VALUES ('DN34','53.55705','-0.11123')
[lng]) VALUES ('DN35','53.55494','-0.03583')
[lng]) VALUES ('DN36','53.51089','-0.03636')
[lng]) VALUES ('DN37','53.54033','-0.13461')
[lng]) VALUES ('DN38','53.56115','-0.39192')
[lng]) VALUES ('DN39','53.61700','-0.33385')
[lng]) VALUES ('DN4','53.50581','-1.12088')
[lng]) VALUES ('DN40','53.62080','-0.22331')
[lng]) VALUES ('DN41','53.58351','-0.19466')
[lng]) VALUES ('DN5','53.53763','-1.17153')
[lng]) VALUES ('DN6','53.59610','-1.17643')
,,
[lng]) VALUES ('DN7','53.58139','-1.01508')
[lng]) VALUES ('DN8','53.61415','-0.95535')
[lng]) VALUES ('DN9','53.50661','-0.89316')
[lng]) VALUES ('DT1','50.71093','-2.44052')
[lng]) VALUES ('DT10','50.93702','-2.33306')
[lng]) VALUES ('DT11','50.86091','-2.18047')
[lng]) VALUES ('DT2','50.74955','-2.45365')
[lng]) VALUES ('DT3','50.64067','-2.46674')
[lng]) VALUES ('DT4','50.60921','-2.46360')
[lng]) VALUES ('DT5','50.54724','-2.44041')
[lng]) VALUES ('DT6','50.73886','-2.77528')
[lng]) VALUES ('DT7','50.72860','-2.94657')
[lng]) VALUES ('DT8','50.81632','-2.75810')
[lng]) VALUES ('DT9','50.94086','-2.51529')
[lng]) VALUES ('DY1','52.51648','-2.09580')
[lng]) VALUES ('DY10','52.38594','-2.22483')
[lng]) VALUES ('DY11','52.38496','-2.26009')
[lng]) VALUES ('DY12','52.38569','-2.32916')
[lng]) VALUES ('DY13','52.33637','-2.28035')
[lng]) VALUES ('DY14','52.37985','-2.46282')
,,
[lng]) VALUES ('DY2','52.49671','-2.08102')
[lng]) VALUES ('DY3','52.52994','-2.12826')
[lng]) VALUES ('DY4','52.53269','-2.05308')
[lng]) VALUES ('DY5','52.48049','-2.12223')
[lng]) VALUES ('DY6','52.49842','-2.16353')
[lng]) VALUES ('DY7','52.46596','-2.22376')
[lng]) VALUES ('DY8','52.45978','-2.15455')
[lng]) VALUES ('DY9','52.43554','-2.12210')
[lng]) VALUES ('E1','51.51766','-0.05841')
[lng]) VALUES ('E10','51.56814','-0.01153')
[lng]) VALUES ('E11','51.56769','0.01443')
[lng]) VALUES ('E12','51.54992','0.05404')
[lng]) VALUES ('E13','51.52700','0.02705')
[lng]) VALUES ('E14','51.50620','-0.01855')
[lng]) VALUES ('E15','51.53911','0.00307')
[lng]) VALUES ('E16','51.51083','0.02633')
[lng]) VALUES ('E17','51.58623','-0.01796')
[lng]) VALUES ('E18','51.59176','0.02705')
[lng]) VALUES ('E1W','51.50775','-0.05739')
[lng]) VALUES ('E2','51.52939','-0.06080')
,,
[lng]) VALUES ('E3','51.52789','-0.02482')
[lng]) VALUES ('E4','51.62196','-0.00339')
[lng]) VALUES ('E5','51.55893','-0.05233')
[lng]) VALUES ('E6','51.52560','0.05583')
[lng]) VALUES ('E7','51.54678','0.02793')
[lng]) VALUES ('E8','51.54202','-0.06315')
[lng]) VALUES ('E9','51.54258','-0.04293')
[lng]) VALUES ('EC1','51.52286','-0.10144')
[lng]) VALUES ('EC1A','51.52019','-0.10300')
[lng]) VALUES ('EC1M','51.52106','-0.10152')
[lng]) VALUES ('EC1N','51.52026','-0.10732')
[lng]) VALUES ('EC1R','51.52475','-0.10713')
[lng]) VALUES ('EC1V','51.52549','-0.09701')
[lng]) VALUES ('EC1Y','51.52272','-0.09280')
[lng]) VALUES ('EC2','51.51995','-0.08859')
[lng]) VALUES ('EC2A','51.52260','-0.08560')
[lng]) VALUES ('EC2M','51.51811','-0.08578')
[lng]) VALUES ('EC2N','51.51631','-0.08586')
[lng]) VALUES ('EC2P','51.51670','-0.09356')
[lng]) VALUES ('EC2R','51.51640','-0.09162')
,,
[lng]) VALUES ('EC2V','51.51553','-0.09310')
[lng]) VALUES ('EC2Y','51.52007','-0.09579')
[lng]) VALUES ('EC3','51.51357','-0.08309')
[lng]) VALUES ('EC3A','51.51534','-0.08158')
[lng]) VALUES ('EC3M','51.51267','-0.08313')
[lng]) VALUES ('EC3N','51.51260','-0.07881')
[lng]) VALUES ('EC3P','51.52016','-0.10156')
[lng]) VALUES ('EC3R','51.51179','-0.08461')
[lng]) VALUES ('EC3V','51.51361','-0.08597')
[lng]) VALUES ('EC4','51.51475','-0.10034')
[lng]) VALUES ('EC4A','51.51576','-0.10751')
[lng]) VALUES ('EC4M','51.51475','-0.10034')
[lng]) VALUES ('EC4N','51.51463','-0.09314')
[lng]) VALUES ('EC4R','51.51191','-0.09181')
[lng]) VALUES ('EC4V','51.51293','-0.09897')
[lng]) VALUES ('EC4Y','51.51397','-0.10758')
[lng]) VALUES ('EH1','55.95243','-3.18840')
[lng]) VALUES ('EH10','55.92077','-3.20984')
[lng]) VALUES ('EH11','55.93387','-3.24867')
[lng]) VALUES ('EH12','55.94262','-3.27137')
,,
[lng]) VALUES ('EH13','55.90788','-3.24144')
[lng]) VALUES ('EH14','55.90925','-3.28308')
[lng]) VALUES ('EH15','55.94686','-3.11136')
[lng]) VALUES ('EH16','55.92221','-3.15387')
[lng]) VALUES ('EH17','55.90704','-3.14222')
[lng]) VALUES ('EH18','55.87667','-3.12215')
[lng]) VALUES ('EH19','55.87324','-3.10446')
[lng]) VALUES ('EH2','55.95417','-3.19486')
[lng]) VALUES ('EH20','55.87905','-3.15579')
[lng]) VALUES ('EH21','55.93845','-3.04548')
[lng]) VALUES ('EH22','55.88441','-3.06001')
[lng]) VALUES ('EH23','55.83956','-3.05081')
[lng]) VALUES ('EH24','55.85051','-3.13257')
[lng]) VALUES ('EH25','55.85821','-3.17434')
[lng]) VALUES ('EH26','55.83257','-3.22307')
[lng]) VALUES ('EH27','55.89063','-3.42319')
[lng]) VALUES ('EH28','55.93060','-3.38624')
[lng]) VALUES ('EH29','55.95652','-3.39838')
[lng]) VALUES ('EH3','55.95412','-3.19967')
[lng]) VALUES ('EH30','55.98455','-3.38336')
,,
[lng]) VALUES ('EH31','56.03627','-2.82661')
[lng]) VALUES ('EH32','55.96799','-2.94853')
[lng]) VALUES ('EH33','55.94196','-2.94469')
[lng]) VALUES ('EH34','55.90919','-2.87990')
[lng]) VALUES ('EH35','55.91053','-2.94233')
[lng]) VALUES ('EH36','55.85637','-2.85155')
[lng]) VALUES ('EH37','55.86188','-2.95873')
[lng]) VALUES ('EH38','55.78638','-2.96006')
[lng]) VALUES ('EH39','56.04766','-2.73052')
[lng]) VALUES ('EH4','55.96253','-3.25761')
[lng]) VALUES ('EH40','55.99057','-2.65570')
[lng]) VALUES ('EH41','55.94854','-2.77510')
[lng]) VALUES ('EH42','55.99389','-2.52428')
[lng]) VALUES ('EH43','55.62422','-3.01010')
[lng]) VALUES ('EH44','55.62015','-3.06558')
[lng]) VALUES ('EH45','55.65494','-3.19209')
[lng]) VALUES ('EH46','55.73689','-3.34910')
[lng]) VALUES ('EH47','55.85976','-3.66336')
[lng]) VALUES ('EH48','55.90110','-3.66353')
[lng]) VALUES ('EH49','55.97656','-3.59785')
,,
[lng]) VALUES ('EH5','55.97463','-3.21633')
[lng]) VALUES ('EH51','56.01153','-3.60410')
[lng]) VALUES ('EH52','55.93756','-3.48256')
[lng]) VALUES ('EH53','55.89360','-3.47608')
[lng]) VALUES ('EH54','55.89212','-3.52400')
[lng]) VALUES ('EH55','55.84748','-3.57178')
[lng]) VALUES ('EH6','55.97144','-3.17456')
[lng]) VALUES ('EH7','55.96075','-3.16463')
[lng]) VALUES ('EH8','55.94909','-3.16268')
[lng]) VALUES ('EH9','55.93360','-3.18463')
[lng]) VALUES ('EN1','51.65360','-0.06707')
[lng]) VALUES ('EN10','51.74005','-0.01992')
[lng]) VALUES ('EN11','51.76502','-0.00723')
[lng]) VALUES ('EN2','51.65850','-0.09144')
[lng]) VALUES ('EN3','51.65852','-0.03794')
[lng]) VALUES ('EN4','51.64790','-0.15983')
[lng]) VALUES ('EN5','51.64934','-0.19447')
[lng]) VALUES ('EN6','51.69942','-0.17656')
[lng]) VALUES ('EN7','51.71025','-0.06610')
[lng]) VALUES ('EN8','51.69799','-0.03189')
,,
[lng]) VALUES ('EN9','51.69451','0.01427')
[lng]) VALUES ('EX1','50.72543','-3.50479')
[lng]) VALUES ('EX10','50.69252','-3.24461')
[lng]) VALUES ('EX11','50.74603','-3.28714')
[lng]) VALUES ('EX12','50.70585','-3.08066')
[lng]) VALUES ('EX13','50.78655','-3.00733')
[lng]) VALUES ('EX14','50.81272','-3.18960')
[lng]) VALUES ('EX15','50.87675','-3.33907')
[lng]) VALUES ('EX16','50.92258','-3.49122')
[lng]) VALUES ('EX17','50.81176','-3.70205')
[lng]) VALUES ('EX18','50.90155','-3.88739')
[lng]) VALUES ('EX19','50.87712','-4.00440')
[lng]) VALUES ('EX2','50.70998','-3.51705')
[lng]) VALUES ('EX20','50.75004','-4.01882')
[lng]) VALUES ('EX21','50.80507','-4.20857')
[lng]) VALUES ('EX22','50.82804','-4.36730')
[lng]) VALUES ('EX23','50.82366','-4.53323')
[lng]) VALUES ('EX24','50.73816','-3.08849')
[lng]) VALUES ('EX3','50.68645','-3.45824')
[lng]) VALUES ('EX31','51.08566','-4.06339')
,,
[lng]) VALUES ('EX32','51.07115','-4.01849')
[lng]) VALUES ('EX33','51.11343','-4.16894')
[lng]) VALUES ('EX34','51.19829','-4.10278')
[lng]) VALUES ('EX35','51.22360','-3.82749')
[lng]) VALUES ('EX36','51.01638','-3.79224')
[lng]) VALUES ('EX37','50.97875','-3.95179')
[lng]) VALUES ('EX38','50.94376','-4.15107')
[lng]) VALUES ('EX39','51.01394','-4.24557')
[lng]) VALUES ('EX4','50.73055','-3.52621')
[lng]) VALUES ('EX5','50.75684','-3.43916')
[lng]) VALUES ('EX6','50.67744','-3.59668')
[lng]) VALUES ('EX7','50.59183','-3.47227')
[lng]) VALUES ('EX8','50.62958','-3.40133')
[lng]) VALUES ('EX9','50.63860','-3.32239')
[lng]) VALUES ('FK1','55.98555','-3.79381')
[lng]) VALUES ('FK10','56.11516','-3.78053')
[lng]) VALUES ('FK11','56.15009','-3.84977')
[lng]) VALUES ('FK12','56.15263','-3.79998')
[lng]) VALUES ('FK13','56.15078','-3.74032')
[lng]) VALUES ('FK14','56.16536','-3.66044')
,,
[lng]) VALUES ('FK15','56.20249','-3.94903')
[lng]) VALUES ('FK16','56.19081','-4.05966')
[lng]) VALUES ('FK17','56.24019','-4.21887')
[lng]) VALUES ('FK18','56.32448','-4.32728')
[lng]) VALUES ('FK19','56.37057','-4.31390')
[lng]) VALUES ('FK2','56.00499','-3.75461')
[lng]) VALUES ('FK20','56.40650','-4.63059')
[lng]) VALUES ('FK21','56.46574','-4.31969')
[lng]) VALUES ('FK3','56.01087','-3.71958')
[lng]) VALUES ('FK4','55.99734','-3.90662')
[lng]) VALUES ('FK5','56.02564','-3.81814')
[lng]) VALUES ('FK6','56.02149','-3.91423')
[lng]) VALUES ('FK7','56.09695','-3.91636')
[lng]) VALUES ('FK8','56.13075','-4.05001')
[lng]) VALUES ('FK9','56.14242','-3.93955')
[lng]) VALUES ('FY1','53.81551','-3.04509')
[lng]) VALUES ('FY2','53.84524','-3.03823')
[lng]) VALUES ('FY3','53.82111','-3.02092')
[lng]) VALUES ('FY4','53.79139','-3.02779')
[lng]) VALUES ('FY5','53.87415','-3.02069')
,,
[lng]) VALUES ('FY6','53.86819','-2.98100')
[lng]) VALUES ('FY7','53.91635','-3.02629')
[lng]) VALUES ('FY8','53.75026','-3.00100')
[lng]) VALUES ('G1','55.86038','-4.24671')
[lng]) VALUES ('G11','55.87356','-4.31142')
[lng]) VALUES ('G12','55.88006','-4.30061')
[lng]) VALUES ('G13','55.89358','-4.34620')
[lng]) VALUES ('G14','55.88095','-4.34864')
[lng]) VALUES ('G15','55.90940','-4.36476')
[lng]) VALUES ('G2','55.86382','-4.25490')
[lng]) VALUES ('G20','55.88580','-4.28176')
[lng]) VALUES ('G21','55.88063','-4.22069')
[lng]) VALUES ('G22','55.88998','-4.25002')
[lng]) VALUES ('G23','55.90193','-4.28431')
[lng]) VALUES ('G3','55.86619','-4.27262')
[lng]) VALUES ('G31','55.85748','-4.20819')
[lng]) VALUES ('G32','55.84840','-4.16293')
[lng]) VALUES ('G33','55.87351','-4.16593')
[lng]) VALUES ('G34','55.86817','-4.11128')
[lng]) VALUES ('G4','55.86837','-4.25196')
,,
[lng]) VALUES ('G40','55.84824','-4.22204')
[lng]) VALUES ('G41','55.83815','-4.28216')
[lng]) VALUES ('G42','55.83234','-4.25627')
[lng]) VALUES ('G43','55.81825','-4.28898')
[lng]) VALUES ('G44','55.81438','-4.25523')
[lng]) VALUES ('G45','55.80494','-4.23074')
[lng]) VALUES ('G46','55.80446','-4.30573')
[lng]) VALUES ('G5','55.84769','-4.25237')
[lng]) VALUES ('G51','55.85734','-4.31365')
[lng]) VALUES ('G52','55.84770','-4.34823')
[lng]) VALUES ('G53','55.82157','-4.35145')
[lng]) VALUES ('G60','55.92205','-4.45358')
[lng]) VALUES ('G61','55.91905','-4.33014')
[lng]) VALUES ('G62','55.94261','-4.32034')
[lng]) VALUES ('G63','56.04243','-4.36487')
[lng]) VALUES ('G64','55.91127','-4.21604')
[lng]) VALUES ('G65','55.97334','-4.05770')
[lng]) VALUES ('G66','55.94024','-4.15364')
[lng]) VALUES ('G67','55.94755','-3.98586')
[lng]) VALUES ('G68','55.95345','-4.01019')
,,
[lng]) VALUES ('G69','55.87372','-4.10199')
[lng]) VALUES ('G71','55.82210','-4.07206')
[lng]) VALUES ('G72','55.80406','-4.12856')
[lng]) VALUES ('G73','55.81977','-4.20605')
[lng]) VALUES ('G74','55.76912','-4.17289')
[lng]) VALUES ('G76','55.77811','-4.27227')
[lng]) VALUES ('G77','55.77345','-4.32941')
[lng]) VALUES ('G78','55.79259','-4.40873')
[lng]) VALUES ('G81','55.91309','-4.40660')
[lng]) VALUES ('G82','55.95195','-4.57403')
[lng]) VALUES ('G83','56.01196','-4.58444')
[lng]) VALUES ('G84','56.01370','-4.75306')
[lng]) VALUES ('GL1','51.85990','-2.23962')
[lng]) VALUES ('GL10','51.74290','-2.28391')
[lng]) VALUES ('GL11','51.68875','-2.35591')
[lng]) VALUES ('GL12','51.62482','-2.38430')
[lng]) VALUES ('GL13','51.69289','-2.45867')
[lng]) VALUES ('GL14','51.81691','-2.47879')
[lng]) VALUES ('GL15','51.73656','-2.55036')
[lng]) VALUES ('GL16','51.79561','-2.61054')
,,
[lng]) VALUES ('GL17','51.85542','-2.51405')
[lng]) VALUES ('GL18','51.94124','-2.41464')
[lng]) VALUES ('GL19','51.94252','-2.28662')
[lng]) VALUES ('GL2','51.84635','-2.26714')
[lng]) VALUES ('GL20','52.00304','-2.12966')
[lng]) VALUES ('GL3','51.86451','-2.17719')
[lng]) VALUES ('GL4','51.84196','-2.21630')
[lng]) VALUES ('GL5','51.73855','-2.21870')
[lng]) VALUES ('GL50','51.89968','-2.07995')
[lng]) VALUES ('GL51','51.89876','-2.10756')
[lng]) VALUES ('GL52','51.91588','-2.05816')
[lng]) VALUES ('GL53','51.88081','-2.06684')
[lng]) VALUES ('GL54','51.89693','-1.86338')
[lng]) VALUES ('GL55','52.06043','-1.76806')
[lng]) VALUES ('GL56','51.98836','-1.70435')
[lng]) VALUES ('GL6','51.73500','-2.19117')
[lng]) VALUES ('GL7','51.71263','-1.89723')
[lng]) VALUES ('GL8','51.64151','-2.17054')
[lng]) VALUES ('GL9','51.55763','-2.29718')
[lng]) VALUES ('GU1','51.24255','-0.56436')
,,
[lng]) VALUES ('GU10','51.19750','-0.79622')
[lng]) VALUES ('GU11','51.24841','-0.76194')
[lng]) VALUES ('GU12','51.25167','-0.73032')
[lng]) VALUES ('GU13','51.27436','-0.83723')
[lng]) VALUES ('GU14','51.29246','-0.76075')
[lng]) VALUES ('GU15','51.33450','-0.73952')
[lng]) VALUES ('GU16','51.31100','-0.72868')
[lng]) VALUES ('GU17','51.32959','-0.78559')
[lng]) VALUES ('GU18','51.34813','-0.67021')
[lng]) VALUES ('GU19','51.35914','-0.69000')
[lng]) VALUES ('GU2','51.24468','-0.59152')
[lng]) VALUES ('GU20','51.36776','-0.65671')
[lng]) VALUES ('GU21','51.32006','-0.57773')
[lng]) VALUES ('GU22','51.31162','-0.54929')
[lng]) VALUES ('GU23','51.29671','-0.50816')
[lng]) VALUES ('GU24','51.32963','-0.62625')
[lng]) VALUES ('GU25','51.40090','-0.56948')
[lng]) VALUES ('GU26','51.11243','-0.74557')
[lng]) VALUES ('GU27','51.08155','-0.71785')
[lng]) VALUES ('GU28','50.99061','-0.62915')
,,
[lng]) VALUES ('GU29','50.98383','-0.74619')
[lng]) VALUES ('GU3','51.24596','-0.62301')
[lng]) VALUES ('GU30','51.07435','-0.80228')
[lng]) VALUES ('GU31','50.99620','-0.90263')
[lng]) VALUES ('GU32','51.00849','-0.96934')
[lng]) VALUES ('GU33','51.04915','-0.89139')
[lng]) VALUES ('GU34','51.13902','-0.98359')
[lng]) VALUES ('GU35','51.11617','-0.84692')
[lng]) VALUES ('GU4','51.24315','-0.53999')
[lng]) VALUES ('GU46','51.33720','-0.82559')
[lng]) VALUES ('GU47','51.34761','-0.78799')
[lng]) VALUES ('GU5','51.20237','-0.51551')
[lng]) VALUES ('GU51','51.28338','-0.83987')
[lng]) VALUES ('GU52','51.26447','-0.83748')
[lng]) VALUES ('GU6','51.14078','-0.48174')
[lng]) VALUES ('GU7','51.18915','-0.61039')
[lng]) VALUES ('GU8','51.15082','-0.64014')
[lng]) VALUES ('GU9','51.21815','-0.79282')
[lng]) VALUES ('GY1','49.45856','-2.53684')
[lng]) VALUES ('GY2','49.57871','-2.49362')
,,
[lng]) VALUES ('GY3','49.52875','-2.45821')
[lng]) VALUES ('GY4','49.52875','-2.45821')
[lng]) VALUES ('GY5','49.48260','-2.58101')
[lng]) VALUES ('GY6','49.52875','-2.45821')
[lng]) VALUES ('GY7','49.52875','-2.45821')
[lng]) VALUES ('GY8','49.52875','-2.45821')
[lng]) VALUES ('GY9','49.57183','-2.28244')
[lng]) VALUES ('HA0','51.55024','-0.30370')
[lng]) VALUES ('HA1','51.57948','-0.33581')
[lng]) VALUES ('HA2','51.57349','-0.35768')
[lng]) VALUES ('HA3','51.59274','-0.31945')
[lng]) VALUES ('HA4','51.56971','-0.40977')
[lng]) VALUES ('HA5','51.59455','-0.38436')
[lng]) VALUES ('HA6','51.61032','-0.41991')
[lng]) VALUES ('HA7','51.60965','-0.30727')
[lng]) VALUES ('HA8','51.61094','-0.27255')
[lng]) VALUES ('HA9','51.55898','-0.28606')
