"","site","long","lat","aw","Area","Alt","Richness","PHINorm","connectivity","name"
"1",3,51.2207,-3.4977338,0,22.20204377,156.8125,64,0.1,0.25,"Greenaleigh Plantation"
"2",7,51.31022,-2.6656383,1,24.90943787,198.1875,60,0.07,0.12,"Compton Wood"
"3",24,51.315288,-2.3141771,1,11.38723876,124.375,65,0.06,0.18,"Hill wood"
"4",26,51.258987,-2.4771637,1,9.688680598,135.9375,81,0.14,0.11,"Loocombe Wood"
"5",34,51.073764,-2.6593842,0,5.002907942,44.5,56,0.11,0.11,"Luns Hill Wood"
"6",65,51.181271,-3.1702461,0,10.00272477,53.125,43,0.11,0.15,"Great Plantation"
