"","X","Site","Plot","AspectYr2","Yr2NVC","pHYr2","SOMYr2","MSG","LiveBasalAreaYr2","mean_dbh","tree.density","plot_richness","ShortNVC"
"1",145,58,1,90,"W6",5.302,8.500345,5,2.293362637,11.58,0.445,27,"W6"
"2",146,58,2,NA,"W10",6.267,12.74995,5,2.424916829,11.41,0.615,22,"W10"
"3",147,58,3,0,"W10",4.268,11.92152,3,3.151410131,25.28,0.205,12,"W10"
"4",148,58,4,NA,"W4",4.883,15.27134,3,0.023561945,7.83,0.08,20,"W4"
"5",149,58,5,180,"W10c",5.353,8.955403,3,2.206968839,18.65,0.42,18,"W10"
"6",150,58,6,0,"W16",4.472,10.25382,8,1.317505419,28.33,0.31,18,"W16"
"7",151,58,7,90,"W7",4.118,31.87524,3,2.454369261,11.61,0.765,24,"W7"
"8",152,58,8,0,"W10d",4.562,16.90868,3,2.542726554,36.07,0.235,18,"W10"
"9",153,58,9,NA,"W16a",4.651,19.82657,8,3.375248607,38.75,0.29,18,"W16"
"10",154,58,10,0,"W16b",3.703,50.28635,5,3.881830423,30.83,0.34,12,"W16"
"11",155,58,11,0,"W10d",4.198,12.57123,5,1.405862712,35.83,0.2,10,"W10"
"12",156,58,12,90,"OV27",4.244,18.45561,8,3.765984193,43.21,0.285,16,"OV27"
"13",157,58,13,90,"W7",5.681,55.35629,3,2.464186738,16.04,0.555,19,"W7"
"14",158,58,14,NA,"W10a",4.196,15.4026,8,1.784817326,12.65,0.335,14,"W10"
"15",159,58,15,0,"W6",5.135,16.64604,5,0.571377164,10.95,0.245,34,"W6"
"16",160,58,16,0,"OV27",6.481,9.669903,7,NA,NA,NA,18,"OV27"
