"","X","Site","Plot","AspectYr2","Yr2NVC","pHYr2","SOMYr2","MSG","LiveBasalAreaYr2","mean_dbh","tree.density","plot_richness","ShortNVC"
"1",1041,11,1,NA,"W8d",4.5,12.4,5,2.085232124,13.24,0.29,19,"W8"
"2",1042,11,2,210,"W8d",5,11.2,5,2.089159115,16.46,0.335,23,"W8"
"3",1043,11,3,NA,"W21",4.4,11.9,7,5.248423227,23.45,0.44,20,"W21"
"4",1044,11,4,NA,"W10",4,19.1,7,1.739656932,15.89,0.415,19,"W10"
"5",1045,11,5,NA,"W10",4.6,12.2,7,0.844303026,20.42,0.215,22,"W10"
"6",1046,11,6,NA,"W10",4,12.4,7,2.778346003,20.7,0.455,28,"W10"
"7",1047,11,7,NA,"W10d",4.2,21.8,5,2.666426765,16.15,0.355,17,"W10"
"8",1048,11,8,NA,"W10",4.3,9.2,7,1.822123739,19.81,0.225,23,"W10"
"9",1049,11,9,NA,"OV27",4.1,10.8,7,2.884374755,42.5,0.2,17,"OV27"
"10",1050,11,10,NA,"OV27",5.1,10.1,7,1.026908099,34.17,0.095,25,"OV27"
"11",1051,11,11,NA,"W21",4.6,11.4,7,1.193805208,21.18,0.355,10,"W21"
"12",1052,11,12,NA,"W10",4.4,8.2,7,3.015928947,24.81,0.29,29,"W10"
"13",1053,11,13,NA,"OV27",4.5,10.1,7,2.417062848,31.5,0.29,17,"OV27"
"14",1054,11,14,NA,"W10",4.5,11.3,7,1.765182372,15.97,0.485,21,"W10"
"15",1055,11,15,NA,"W10a",4.2,13.9,7,2.456332756,53.75,0.205,14,"W10"
"16",1056,11,16,NA,"W8d",5.2,12.1,3,1.619883712,16.55,0.295,20,"W8"
