"","X","Site","Plot","AspectYr2","Yr2NVC","pHYr2","SOMYr2","MSG","LiveBasalAreaYr2","mean_dbh","tree.density","plot_richness","ShortNVC"
"1",1345,30,1,NA,"W10d",4.213,33.55632,5,0.484983366,17.22,0.265,13,"W10"
"2",1346,30,2,NA,"W10c",5.929,15.48107,5,2.544690049,8.96,0.575,26,"W10"
"3",1347,30,3,NA,"W10d",4.484,41.93586,5,1.433351648,20.5,0.09,15,"W10"
"4",1348,30,4,NA,"W10d",4.875,15.24267,5,0.310232275,10.74,0.14,18,"W10"
"5",1349,30,5,NA,"W10a",4.509,16.90527,5,0.7696902,10.39,0.3,20,"W10"
"6",1350,30,6,NA,"W10",4.678,14.77232,5,0.793252145,10.67,0.58,17,"W10"
"7",1351,30,7,NA,"W10c",4.449,19.52315,5,1.038689071,62.5,0.06,21,"W10"
"8",1352,30,8,NA,"W16b",4.146,31.96699,3,0.805033117,37.5,0.07,8,"W16"
"9",1353,30,9,NA,"W10d",3.5,52.76036,5,0.255254403,27,0.245,7,"W10"
"10",1354,30,10,NA,"W10a",4.331,24.39444,5,1.625774198,25,0.135,21,"W10"
"11",1355,30,11,NA,"W10a",4.447,29.72308,5,0.946404787,42.5,0.08,12,"W10"
"12",1357,30,13,NA,"W10d",4.742,12.10661,3,1.189878218,15.11,0.29,19,"W10"
"13",1358,30,14,NA,"W10d",4.354,16.74238,3,NA,NA,NA,5,"W10"
