"","site","w10","w16","long","lat","aw","Area","Alt","Richness","PHINorm","connectivity","name"
"1","38","w10","w16",56.625608,-3.3413272,1,38.23508484,119.8125,102,0.12,0.4,"Craighall Gorge"
"2","40","w10","w16",57.540429,-2.9120331,1,12.11916689,138.4375,135,0.13,0.39,"Mill wood"
"3","42","w10","w16",57.412698,-3.416593,1,25.93542076,188.6875,92,0.18,0.79,"Calleder"
"4","56","w10","w16",56.623798,-3.2565105,1,21.71435794,149.5625,72,0.06,0.17,"Den of Alyth Wood"
"5","77","w10","w16",57.515932,-3.7127614,0,108.3968643,186.8125,84,0.11,0.84,"Dounduff Wood"
