"","Site","Plot","AspectYr2","Yr2NVC","pHYr2","SOMYr2","MSG","LiveBasalAreaYr2","mean_dbh","tree density","plot_richness","ShortNVC"
"134",57,6,90,"W8d",5.741,8.655044,5,3.259402378,13.46,0.515,24,"W8"
"135",57,7,0,"MG7A",6.417,9.281011,3,NA,NA,NA,13,"MG7A"
"136",57,8,135,"W21",6.757,2.666381,3,1.10348442,10.87,0.36,18,"W21"
"137",57,9,135,"W6",5.857,8.499508,3,0.657770962,10.89,0.26,23,"W6"
"138",57,10,90,"W8d",5.7,8.083286,3,1.392118245,9.77,1.665,27,"W8"
"139",57,11,90,"OV20",6.123,7.067977,3,NA,NA,NA,7,"OV20"
"140",57,12,315,"W21",4.575,9.728881,3,1.824087234,14.02,0.265,4,"W21"
"141",57,13,270,"W6",6.642,3.326209,3,1.690569547,12.64,0.7,19,"W6"
"142",57,14,180,"W10c",5.203,6.265377,5,1.34695785,9.81,0.57,19,"W10"
"143",57,15,270,"OV27d",5.694,8.120506,3,2.083268628,19.74,0.5,20,"OV27"
"144",57,16,270,"W8d",4.676,7.774208,3,2.269800692,14.61,1.005,26,"W8"
"145",58,1,90,"W6",5.302,8.500345,5,2.293362637,11.58,0.445,27,"W6"
"146",58,2,NA,"W10",6.267,12.74995,5,2.424916829,11.41,0.615,22,"W10"
"147",58,3,0,"W10",4.268,11.92152,3,3.151410131,25.28,0.205,12,"W10"
"148",58,4,NA,"W4",4.883,15.27134,3,0.023561945,7.83,0.08,20,"W4"
"149",58,5,180,"W10c",5.353,8.955403,3,2.206968839,18.65,0.42,18,"W10"
"150",58,6,0,"W16",4.472,10.25382,8,1.317505419,28.33,0.31,18,"W16"
"151",58,7,90,"W7",4.118,31.87524,3,2.454369261,11.61,0.765,24,"W7"
"152",58,8,0,"W10d",4.562,16.90868,3,2.542726554,36.07,0.235,18,"W10"
"153",58,9,NA,"W16a",4.651,19.82657,8,3.375248607,38.75,0.29,18,"W16"
"154",58,10,0,"W16b",3.703,50.28635,5,3.881830423,30.83,0.34,12,"W16"
"155",58,11,0,"W10d",4.198,12.57123,5,1.405862712,35.83,0.2,10,"W10"
"156",58,12,90,"OV27",4.244,18.45561,8,3.765984193,43.21,0.285,16,"OV27"
"157",58,13,90,"W7",5.681,55.35629,3,2.464186738,16.04,0.555,19,"W7"
"158",58,14,NA,"W10a",4.196,15.4026,8,1.784817326,12.65,0.335,14,"W10"
"159",58,15,0,"W6",5.135,16.64604,5,0.571377164,10.95,0.245,34,"W6"
"160",58,16,0,"OV27",6.481,9.669903,7,NA,NA,NA,18,"OV27"
"161",59,1,NA,"",NA,NA,5,NA,NA,NA,0,""
"162",59,2,NA,"MG10a",5.617,6.057446,5,NA,NA,NA,24,"MG10"
"163",59,3,NA,"W10d",5.38,4.210273,8,0.657770962,13.5,0.22,28,"W10"
"164",59,4,NA,"W4",4.9,23.10984,8,0.070685835,10.5,0.04,21,"W4"
"165",59,5,NA,"W4",4.762,59.06256,5,1.105447915,13.5,0.275,36,"W4"
"166",59,6,NA,"W6",4.812,17.33269,5,0.948368282,15.31,0.205,22,"W6"
"167",59,7,NA,"OV26",5.223,17.47364,8,1.022981108,14.04,0.45,36,"OV26"
"168",59,8,NA,"",NA,NA,8,NA,NA,NA,0,""
"169",59,9,NA,"S4",5.216,27.81425,5,0.021598449,7.78,0.095,35,"S4"
"170",59,10,NA,"OV26",5.02,18.9352,8,0.801106127,10.18,0.315,28,"OV26"
"171",59,11,NA,"W4",4.653,10.45594,5,1.411753199,18.06,0.42,34,"W4"
"172",59,12,NA,"S4",5.376,24.10705,8,0.563523182,16.76,0.385,24,"S4"
"173",59,13,NA,"S4",4.957,7.490252,8,0.16689711,12.11,0.49,25,"S4"
"174",59,14,NA,"S4",4.625,43.57215,3,0.447676953,10.04,0.43,23,"S4"
"175",59,15,NA,"W2a",4.338,41.60937,8,2.344413518,10.05,0.37,28,"W2"
"176",59,16,NA,"OV26a",5.004,10.86412,8,NA,NA,NA,24,"OV26"
"177",60,1,NA,"W21",6.249,56.9,3,2.833323874,14.66,0.62,11,"W21"
"178",60,2,NA,"W13",6.331,39.7,3,NA,NA,NA,13,"W13"
"179",60,3,NA,"W16b",7.04,35.2,3,3.257438883,11.36,1.4,12,"W16"
"180",60,4,NA,"W8e",4.541,74.2,5,1.24878308,9.32,0.73,24,"W8"
"181",60,5,NA,"W10",6.519,25.9,3,3.290818305,11,1.045,15,"W10"
"182",60,6,NA,"W10",5.77,78.4,3,0.206167018,11.11,0.155,40,"W10"
"183",60,7,NA,"W8e",5.192,57.4,3,1.146681319,8.89,0.665,14,"W8"
"184",60,8,NA,"OV27d",6.484,35.7,3,1.050470044,10.59,0.55,8,"OV27"
"185",60,9,NA,"W10",6.693,14.6,3,1.46673107,8.94,1.095,31,"W10"
"186",60,10,NA,"W10",5.662,25.6,5,1.142754328,10.1,0.38,32,"W10"
"187",60,11,NA,"W10",6.432,29.8,3,3.015928947,20.83,0.385,27,"W10"
