"","X","Site","Plot","AspectYr2","Yr2NVC","pHYr2","SOMYr2","MSG","LiveBasalAreaYr2","mean_dbh","tree.density","plot_richness","ShortNVC"
"1",484,79,4,350,"W10d",4.3,18.1,5,1.861393647,15.22,0.585,16,"W10"
"2",485,79,5,330,"W10d",4.7,5.9,5,0.02552544,8.7,1.14,20,"W10"
"3",486,79,6,90,"W10c",4.2,11.7,5,0.5988661,12.76,0.39,21,"W10"
"4",487,79,7,NA,"W10d",4.4,12.5,5,3.39095657,13.25,0.43,16,"W10"
"5",488,79,8,NA,"W10d",4.7,5.4,5,0.068722339,14.81,0.48,13,"W10"
"6",489,79,9,NA,"W10d",4.5,9.4,5,0.078539816,8.08,2.21,19,"W10"
"7",490,79,10,340,"W10d",4.7,4.6,5,1.721985473,15.68,0.145,22,"W10"
"8",491,79,11,NA,"W16a",4.1,28.9,5,4.333434367,19.09,0.365,11,"W16"
"9",492,79,12,NA,"W10d",5,10.9,3,0.170824101,10.19,0.1,27,"W10"
"10",496,79,16,360,"W10d",4.1,24.3,5,0.920879347,27.1,0.615,13,"W10"
