"","X","Site","Plot","AspectYr2","Yr2NVC","pHYr2","SOMYr2","MSG","LiveBasalAreaYr2","mean_dbh","tree.density","plot_richness","ShortNVC"
"1",401,74,1,NA,"W10",5.293,14.9656,5,0.168860605,9.44,0.125,54,"W10"
"2",402,74,2,NA,"W10d",4.936,11.60646,6,1.040652567,42.5,0.12,29,"W10"
"3",403,74,3,NA,"W16b",4.387,17.81394,3,0.592975613,23.89,0.385,3,"W16"
"4",404,74,4,NA,"W16",4.359,13.88533,3,0.559596191,21.56,0.305,23,"W16"
"5",405,74,5,NA,"W16",4.016,38.51475,10,0.541924733,23.27,0.27,18,"W16"
"6",406,74,6,NA,"W16",4.9,13.07213,3,0.824668072,30.62,0.225,28,"W16"
"7",407,74,7,NA,"W16a",3.825,90.2,10,0.541924733,25.5,0.23,12,"W16"
"8",408,74,8,NA,"W16",4.186,48.17335,3,0.775580686,32.5,0.15,24,"W16"
"9",409,74,9,NA,"W16",4.171,95.04332,3,0.441786467,42.5,0.04,28,"W16"
"10",410,74,10,NA,"W16",4.44,43.73563,6,0.159043128,27.5,0.075,17,"W16"
"11",412,74,12,NA,"W16",4.243,65.26704,5,NA,NA,NA,23,"W16"
"12",413,74,13,NA,"W16",3.924,95.80561,3,0.844303026,16.94,0.13,17,"W16"
"13",414,74,14,NA,"W16",4.719,22.91828,3,2.212859325,11.58,0.345,24,"W16"
