"","site","long","lat","aw","Area","Alt","Richness","PHINorm","connectivity","name"
"1",2,51.019137,0.14150077,0,18.40945887,102.125,101,0.11,0.4,"Pickreed Wood"
"2",80,50.944331,0.33736471,1,47.84037887,97.625,78,0.09,0.43,"Hoad's Wood"
