"","Site","Plot","Nest","Cover","BRC","Year","species"
"1",19,1,NA,NA,9203,2,"Acer campestre"
"2",19,1,3,5,92040,2,"Agrostis capillaris"
"3",19,1,5,1,92046,2,"Ajuga reptans"
"4",19,1,1,0.5,920176,2,"Arum maculatum"
"5",19,1,NA,NA,920557,2,"Corylus avellana"
"6",19,1,NA,NA,920569,2,"Crataegus monogyna"
"7",19,1,1,30,920687,2,"Hyacinthoides non-scripta"
"8",19,1,NA,NA,920762,2,"Euonymus europaeus"
"9",19,1,NA,NA,920841,2,"Fraxinus excelsior (c)"
"10",19,1,1,5,920841,2,"Fraxinus excelsior (c)"
"11",19,1,3,1,920952,2,"Hedera helix"
"12",19,1,1,40,9201291,2,"Mercurialis perennis"
"13",19,1,5,0.5,9201296,2,"Milium effusum"
"14",19,1,NA,NA,9201617,2,"Prunus spinosa"
"15",19,1,5,0.5,9202126,2,"Urtica dioica"
"16",19,1,5,0.5,9202168,2,"Veronica chamaedrys"
"17",19,1,4,0.5,9202172,2,"Veronica montana"
"18",19,1,5,0.5,920150,2,"Arctium agg."
"19",19,1,NA,NA,9204446,2,"Quercus seedling/sp"
"20",19,1,NA,NA,9204558,2,"Salix seedling/sp"
"21",19,1,NA,NA,200001651,2,"Populus sp."
"22",19,2,NA,NA,9203,2,"Acer campestre"
"23",19,2,3,0.5,92046,2,"Ajuga reptans"
"24",19,2,1,0.5,920250,2,"Brachypodium sylvaticum"
"25",19,2,5,0.5,920404,2,"Carex pendula"
"26",19,2,3,0.5,920421,2,"Carex sylvatica"
"27",19,2,3,1,920513,2,"Circaea lutetiana"
"28",19,2,NA,NA,920557,2,"Corylus avellana"
"29",19,2,NA,NA,920569,2,"Crataegus monogyna"
"30",19,2,3,0.5,920627,2,"Deschampsia cespitosa"
"31",19,2,4,1,920687,2,"Hyacinthoides non-scripta"
"32",19,2,NA,NA,920762,2,"Euonymus europaeus"
"33",19,2,1,0.5,920762,2,"Euonymus europaeus"
"34",19,2,NA,NA,920841,2,"Fraxinus excelsior (c)"
"35",19,2,1,1,920841,2,"Fraxinus excelsior (c)"
"36",19,2,1,1,920952,2,"Hedera helix"
"37",19,2,1,5,9201188,2,"Lonicera periclymenum"
"38",19,2,4,0.5,9201207,2,"Luzula pilosa"
"39",19,2,1,10,9201291,2,"Mercurialis perennis"
"40",19,2,5,0.5,9201705,2,"Rosa seedling/sp"
"41",19,2,2,1,9201728,2,"Rubus fruticosus agg."
"42",19,2,2,0.5,9202243,2,"Euphrasia officinalis agg."
"43",19,2,NA,NA,9204446,2,"Quercus seedling/sp"
"44",19,3,NA,NA,9203,2,"Acer campestre"
"45",19,3,1,10,92040,2,"Agrostis capillaris"
"46",19,3,2,1,92046,2,"Ajuga reptans"
"47",19,3,4,0.5,910665,2,"Dryopteris filix-mas"
"48",19,3,2,1,920513,2,"Circaea lutetiana"
"49",19,3,NA,NA,920557,2,"Corylus avellana"
"50",19,3,1,5,920627,2,"Deschampsia cespitosa"
"51",19,3,NA,NA,920841,2,"Fraxinus excelsior (c)"
"52",19,3,1,1,920841,2,"Fraxinus excelsior (c)"
"53",19,3,5,0.5,920925,2,"Geum urbanum"
"54",19,3,1,1,920952,2,"Hedera helix"
"55",19,3,2,0.5,9201207,2,"Luzula pilosa"
"56",19,3,3,1,9201291,2,"Mercurialis perennis"
"57",19,3,2,0.5,9201296,2,"Milium effusum"
"58",19,3,5,0.5,9201413,2,"Oxalis acetosella"
"59",19,3,2,1,9201728,2,"Rubus fruticosus agg."
"60",19,3,5,0.5,9202172,2,"Veronica montana"
"61",19,3,NA,NA,9204558,2,"Salix seedling/sp"
