BRCcode,Taxon name,P1,LF1,W,Tjan,Tjul,Prec,Br Habitats,L,F,R,N,S
920389,Carex maritima,p,hc,h,3.6,12.9,964,19,9,8,7,2,3
920390,Carex microglochin,p,hc,h,-0.7,11.0,1855,11,9,9,8,2,0
920391,Carex montana,p,hc,h,4.0,15.5,1193,"6, 8",7,6,4,1,0
920398,Carex muricata,p,hc,h,3.8,15.4,939,"3, 7, 8",7,4,6,4,0
920393,Carex nigra,p,hc,h,3.5,14.3,1131,11,7,8,4,2,0
920394,Carex norvegica,p,hc,h,-0.8,10.8,1901,15,8,7,7,2,0
920395,Carex ornithopoda,p,hc,h,2.1,13.8,1272,"7, 16",8,3,9,3,0
920396,Carex otrubae,p,hc,h,4.0,15.3,939,11,6,8,7,7,2
920397,Carex ovalis,p,hc,h,3.4,14.3,1138,"3, 10",7,7,5,4,0
920399,Carex pallescens,p,hc,h,3.0,14.2,1236,1,6,6,5,4,0
920400,Carex panicea,p,hc,h,3.5,14.3,1139,11,8,8,4,2,0
920401,Carex paniculata,p,hc,h,3.7,14.9,1036,"1, 11",6,9,6,6,0
920402,Carex pauciflora,p,hc,h,1.7,12.1,1789,12,8,9,1,1,0
920404,Carex pendula,p,hc,h,3.9,15.3,928,"1, 14",5,8,7,6,0
920405,Carex pilulifera,p,hc,h,3.3,14.1,1197,8,7,5,3,2,0
920407,Carex pseudocyperus,p,hc,h,3.8,16.0,754,11,7,9,6,6,0
920408,Carex pulicaris,p,hc,h,3.3,13.9,1239,"11, 16",8,7,5,2,0
920409,Carex punctata,p,hc,h,5.3,15.4,1125,18,9,7,7,3,3
920410,Carex rariflora,p,hc,h,-1.2,10.6,1541,15,8,9,3,2,0
920411,Carex recta,p,hc,h,3.1,13.1,936,11,8,9,7,5,3
920412,Carex remota,p,hc,h,3.7,14.8,1063,"1, 14",4,8,6,6,0
920413,Carex riparia,p,hc,h,3.9,15.7,814,"11, 14",7,9,7,7,0
920414,Carex rostrata,p,Hy,h,3.3,14.0,1193,11,8,10,4,2,0
920415,Carex rupestris,p,hc,h,0.7,11.5,1699,"15, 16",8,4,7,2,0
920417,Carex saxatilis,p,hc,h,0.3,11.3,2262,15,8,9,7,3,0
920357,Carex spicata,p,hc,h,3.6,15.7,823,"3, 6, 7",7,6,6,4,0
920420,Carex strigosa,p,hc,h,3.8,15.7,841,"1, 14",3,8,7,6,0
920421,Carex sylvatica,p,hc,h,3.6,14.8,1050,1,4,5,6,5,0
920423,Carex vaginata,p,hc,h,-0.1,11.3,1904,15,7,6,6,3,0
920424,Carex vesicaria,p,Hy,h,3.3,14.6,1072,11,8,10,5,4,0
9207117,Carex viridula,p,hc,h,3.5,14.2,1169,"11, 14, 19",8,8,6,2,0
920387,Carex viridula subsp.brachyrrhyncha,p,hc,h,3.1,13.9,1200,"11,14",8,9,8,2,1
920361,Carex viridula subsp.oedocarpa,p,hc,h,3.4,14.2,1194,14,8,8,4,2,0
9207118,Carex viridula subsp.viridula,p,hc,h,3.8,13.9,1278,"11, 19",8,7,7,3,1
920425,Carex vulpina,p,hc,h,3.9,16.4,731,13,7,9,8,6,0
920427,Carlina vulgaris,b,hc,h,3.9,15.3,947,7,8,4,7,2,0
920428,Carpinus betulus,p,Ph,w,3.6,15.4,895,1,4,5,5,6,0
920429,Carpobrotus edulis,p,Ch,w,5.7,15.9,962,"18, 19",9,3,4,5,3
920430,Carum carvi,b,hc,h,3.6,15.0,868,"3, 6, 17",8,5,7,6,1
920431,Carum verticillatum,p,hc,h,3.4,13.9,1578,"11, 14",7,8,4,2,0
920432,Castanea sativa,p,Ph,w,3.6,15.2,950,1,5,5,5,5,0
920433,Catabrosa aquatica,p,Hy,h,3.8,15.0,936,"13, 14",6,9,7,7,1
920434,Catapodium marinum,a,Th,h,4.8,15.1,1027,18,9,5,7,3,3
920435,Catapodium rigidum,a,Th,h,4.1,15.5,878,"7, 17",8,3,7,2,0
920439,Centaurea calcitrapa,b,hc,h,4.0,16.1,744,3,7,4,7,3,0
920440,Centaurea cyanus,a,Th,h,3.8,15.4,836,"3, 4, 17",7,5,6,5,0
920444,Centaurea nigra,p,hc,h,3.6,14.5,1093,"6, 7",7,5,6,5,0
920446,Centaurea scabiosa,p,hc,h,3.8,15.6,832,"6, 7",8,3,8,3,0
9205486,Centaurium erythraea,b,hc,h,4.0,15.1,980,"7, 19",8,5,6,3,0
920450,Centaurium littorale,b,hc,h,3.8,14.3,1063,"19, 21",9,7,8,3,1
920453,Centaurium pulchellum,a,Th,h,4.4,16.1,841,21,8,8,8,3,1
920452,Centaurium scilloides,p,Ch,h,5.8,15.4,1170,10,9,3,5,2,0
920454,Centaurium tenuiflorum,a,Th,h,5.5,16.5,825,18,8,6,7,4,0
920455,Centranthus ruber,p,Ch,h,4.0,15.5,896,"3, 16, 17, 18",8,4,8,5,1
920457,Cephalanthera damasonium,p,Gn,h,3.7,16.2,763,1,4,4,7,5,0
920458,Cephalanthera longifolia,p,Gn,h,3.7,14.7,1166,1,5,4,7,4,0
920459,Cephalanthera rubra,p,Gn,h,3.8,16.2,797,1,4,3,8,4,0
920460,Cerastium alpinum,p,Ch,h,0.4,11.4,2003,"15, 16",9,5,6,2,0
920465,Cerastium arcticum,p,Ch,h,0.8,11.3,2178,"15, 16",7,6,4,2,0
920461,Cerastium arvense,p,Ch,h,3.3,15.3,773,8,8,4,5,3,0
920463,Cerastium brachypetalum,a,Th,h,3.4,16.3,657,"3, 7",9,3,8,2,0
920464,Cerastium cerastoides,p,Ch,h,-0.4,10.8,1994,15,8,8,5,4,0
920462,Cerastium diffusum,a,Th,h,4.0,14.6,1062,"18, 19",9,4,6,3,1
920467,Cerastium fontanum,p,Ch,h,3.5,14.4,1106,"5, 6",7,5,5,4,0
920466,Cerastium glomeratum,a,Th,h,3.6,14.5,1079,"3, 5",7,5,6,5,0
920465.1,Cerastium nigrescens,p,Ch,h,3.0,11.5,1256,16,9,3,5,1,0
920468,Cerastium pumilum,a,Th,h,4.1,16.2,806,7,8,2,8,1,0
920469,Cerastium semidecandrum,a,Th,h,3.7,15.3,846,"8, 18, 19",8,3,6,3,0
920470,Cerastium tomentosum,p,Ch,h,3.7,15.2,898,"3, 17, 19",8,3,7,5,1
920555,Ceratocapnos claviculata,a,Th,h,3.3,14.6,1111,"1, 9",5,5,4,5,0
920260,Ceratochloa carinata,p,hc,h,3.8,16.1,744,"3, 4",8,5,6,6,0
920261,Ceratochloa cathartica,p,hc,h,4.2,16.1,796,"3, 4",7,4,5,5,0
920471,Ceratophyllum demersum,p,Hy,h,3.7,15.8,770,13,7,12,7,7,1
920472,Ceratophyllum submersum,p,Hy,h,3.9,16.3,705,13,7,12,8,8,2
910473,Ceterach officinarum,p,hc,h,4.0,15.0,1061,"3, 16",7,3,8,1,0
920474,Chaenorhinum minus,a,Th,h,3.6,15.3,899,"3, 4, 17",8,4,7,4,0
920476,Chaerophyllum temulum,b,hc,h,3.6,15.4,890,3,6,5,7,7,0
9202398,Chamaecyparis lawsoniana,p,Ph,w,3.6,15.3,965,17,5,5,6,4,0
920119,Chamaemelum nobile,p,hc,h,4.6,15.7,990,8,8,7,5,5,0
920477,Chamerion angustifolium,p,Gn,h,3.4,14.5,1075,"3, 17",6,5,6,5,0
920480,Chelidonium majus,p,hc,h,3.7,15.3,905,3,6,5,8,7,0
920482,Chenopodium album,a,Th,h,3.7,14.8,1018,4,7,5,7,7,1
920481,Chenopodium album agg.,a,Th,h,3.7,14.8,1018,4,7,5,7,7,1
920484,Chenopodium bonus-henricus,p,hc,h,3.4,15.2,883,3,8,5,7,8,0
920485,Chenopodium chenopodioides,a,Th,h,4.2,16.7,612,"6, 21",8,7,7,8,4
920487,Chenopodium ficifolium,a,Th,h,3.9,16.1,745,4,7,6,6,7,0
920488,Chenopodium glaucum,a,Th,h,4.0,16.1,724,17,8,6,7,9,3
920490,Chenopodium hybridum,a,Th,h,3.7,16.2,695,4,7,4,7,7,0
920491,Chenopodium murale,a,Th,h,4.2,16.0,797,4,8,6,6,7,0
920493,Chenopodium polyspermum,a,Th,h,3.9,16.0,794,4,7,6,7,8,0
920496,Chenopodium rubrum,a,Th,h,3.8,15.7,800,"4, 11",7,7,7,8,1
920498,Chenopodium urbicum,a,Th,h,4.0,16.1,762,4,7,5,7,7,0
920500,Chenopodium vulvaria,a,Th,h,4.1,16.1,752,"18, 19",7,4,7,9,0
920504,Chrysanthemum segetum,a,Th,h,3.8,14.8,1022,4,7,5,6,5,0
920505,Chrysosplenium alternifolium,p,hc,h,2.8,14.4,1042,"11, 14",5,8,6,6,0
920506,Chrysosplenium oppositifolium,p,Ch,h,3.4,14.3,1168,"1, 14",5,9,5,5,0
920507,Cicendia filiformis,a,Th,h,5.4,15.6,1063,10,9,8,3,2,0
920508,Cicerbita alpina,p,hc,h,-1.3,10.5,1375,"15, 16",7,6,6,6,0
9202381,Cicerbita macrophylla,p,hc,h,3.3,14.9,920,"3, 17",7,5,6,6,0
920509,Cichorium intybus,p,hc,h,3.8,15.5,840,3,8,4,7,5,0
920510,Cicuta virosa,p,Hy,h,3.5,14.8,926,"11, 13, 14",7,10,7,5,0
920511,Circaea alpina,p,Gn,h,2.2,13.0,1836,1,4,7,5,5,0
920512,Circaea alpina x lutetiana (C. x intermedia),p,Gn,h,2.7,13.4,1477,1,4,6,6,6,0
920513,Circaea lutetiana,p,Gn,h,3.7,14.9,1041,1,4,6,7,6,0
920514,Cirsium acaule,p,hc,h,3.7,16.1,742,7,9,4,8,3,0
920515,Cirsium arvense,p,Gn,h,3.6,14.5,1092,"3, 4, 5, 6",8,6,7,6,0
920516,Cirsium dissectum,p,hc,h,4.0,15.0,1043,11,8,8,4,2,0
920517,Cirsium eriophorum,b,hc,h,3.6,16.0,745,7,8,4,8,5,0
920518,Cirsium heterophyllum,p,hc,h,2.0,12.9,1476,"6, 16",7,6,6,5,0
920520,Cirsium palustre,b,hc,h,3.5,14.5,1105,"11, 14",7,8,5,4,0
920521,Cirsium tuberosum,p,hc,h,3.9,16.1,882,7,8,6,8,3,0
920522,Cirsium vulgare,b,hc,h,3.5,14.5,1103,"3, 5, 6, 7",7,5,6,6,0
920523,Cladium mariscus,p,Hy,h,4.1,14.7,1085,11,8,10,8,4,0
920525,Claytonia perfoliata,a,Th,h,3.6,15.6,768,"4, 17, 19",6,6,5,5,0
920524,Claytonia sibirica,a,Th,h,3.2,14.4,1092,"1, 3",5,7,6,6,0
920528,Clematis vitalba,p,Ph,w,4.0,16.0,815,3,6,4,8,5,0
92012,Clinopodium acinos,a,Th,h,3.6,15.8,778,16,8,2,8,1,0
920296,Clinopodium ascendens,p,hc,h,4.2,15.9,854,"3, 16",7,5,7,6,0
920298,Clinopodium calamintha,p,hc,h,3.7,16.4,641,3,8,3,9,3,0
920297,Clinopodium menthifolium,p,hc,h,4.8,16.3,844,1,5,5,8,5,0
920530,Clinopodium vulgare,p,hc,h,3.5,15.4,880,7,7,4,7,4,0
920532,Cochlearia anglica,b,hc,h,4.5,15.6,917,21,8,8,7,6,6
9203902,Cochlearia atlantica,p,hc,h,4.4,12.8,1830,18,8,6,7,5,4
920533,Cochlearia danica,a,Th,h,4.5,14.9,1056,"3, 18",9,6,7,5,4
920534,Cochlearia micacea,b,hc,h,0.2,11.4,2221,15,8,8,7,2,0
920535,Cochlearia officinalis,p,hc,h,3.9,14.0,1246,"18, 21",8,6,7,5,3
9202547,Cochlearia officinalis sens.lat.,b,hc,h,3.7,13.9,1287,18,8,7,7,4,2
9205422,Cochlearia pyrenaica,b,hc,h,1.5,12.9,1567,"11, 16",8,7,8,3,0
920537,Coeloglossum viride,p,Gn,h,3.2,14.1,1148,7,7,4,6,2,0
9205396,Coincya monensis,b,hc,h,4.2,14.8,1037,"3, 17, 19",9,4,6,3,0
9201690,Coincya wrightii,p,Ch,h,5.8,15.7,986,18,9,4,4,3,0
920538,Colchicum autumnale,p,Gn,h,3.6,15.8,809,6,6,6,6,4,0
920539,Colutea arborescens,p,Ph,w,3.7,16.3,671,"3, 17",7,4,8,3,0
920540,Conium maculatum,b,hc,h,3.9,15.2,915,3,8,5,7,8,0
920541,Conopodium majus,p,Gn,h,3.5,14.5,1102,"1, 6",6,5,5,5,0
920622,Consolida ajacis,a,Th,h,3.8,16.2,703,"3, 4, 17",8,4,8,4,0
920543,Convallaria majalis,p,Gn,h,3.3,15.5,831,"1, 7",5,5,6,5,0
920544,Convolvulus arvensis,p,Gn,h,3.8,15.2,929,"3, 4",7,4,8,6,0
920735,Conyza canadensis,a,Th,h,3.8,16.0,766,"3, 4, 17, 19",7,4,7,6,0
9202633,Conyza sumatrensis,a,Th,h,4.2,16.5,716,"3, 17",7,4,7,7,0
920545,Corallorhiza trifida,p,Gn,h,2.5,13.5,956,"1, 2",5,5,5,4,0
920546,Coriandrum sativum,a,Th,h,3.9,16.0,763,"3, 17",8,4,6,5,0
920548,Cornus sanguinea,p,Ph,w,3.7,15.8,810,"1, 3",7,5,7,6,0
920549,Cornus sericea,p,Pn,w,3.5,15.0,936,"1, 3, 17",6,7,5,6,0
920478,Cornus suecica,p,hc,h,0.9,11.6,1853,"10, 15",6,6,1,2,0
920551,Coronopus didymus,a,Th,h,4.1,15.5,921,"4, 17",9,5,6,7,0
920552,Coronopus squamatus,a,Th,h,4.0,15.7,821,"3, 4",7,5,7,7,0
920553,Corrigiola litoralis,a,Th,h,6.2,16.0,1052,19,8,7,5,5,0
920557,Corylus avellana,p,Ph,w,3.5,14.6,1094,"1, 3",4,5,6,6,0
920558,Corynephorus canescens,p,hc,h,4.1,16.2,649,19,9,1,3,1,0
9202928,Cotoneaster bullatus,p,Ph,w,3.7,15.3,965,"1, 3, 16, 17",7,4,7,4,0
920561,Cotoneaster cambricus,p,Pn,w,5.4,15.5,796,"7, 16",8,3,7,2,0
920560,Cotoneaster horizontalis,p,Pn,w,3.8,15.5,933,"3, 16, 17",8,3,8,4,0
920562,Cotoneaster integrifolius,p,Pn,w,3.9,14.7,1194,"3, 17",7,3,7,4,0
9203313,Cotoneaster microphyllus agg.,p,Pn,w,3.9,14.7,1174,"3, 16, 17",7,3,7,4,0
920563,Cotoneaster simonsii,p,Pn,w,3.7,14.9,1086,"3, 10, 16, 17",6,5,6,4,0
920565,Crambe maritima,p,hc,h,4.8,15.5,938,19,9,5,8,7,3
920566,Crassula aquatica,a,Hz,h,3.2,14.0,1459,14,8,9,5,5,0
9202423,Crassula helmsii,p,Hy,h,3.8,15.8,826,"13, 14",7,10,6,7,0
920567,Crassula tillaea,a,Th,h,4.1,16.2,734,3,8,7,4,2,0
920570,Crataegus laevigata,p,Ph,w,3.5,16.2,674,1,5,5,7,5,0
920569,Crataegus monogyna,p,Ph,w,3.6,14.7,1073,"1, 3",6,5,7,6,0
920571,Crepis biennis,b,hc,h,3.7,16.3,711,"3, 6",8,5,7,6,0
920572,Crepis capillaris,a,Th,h,3.6,14.6,1074,7,7,4,7,4,0
920573,Crepis foetida,b,hc,h,4.0,16.4,707,19,9,4,6,3,0
920574,Crepis mollis,p,hc,h,1.7,13.2,1079,7,8,5,7,5,0
920576,Crepis paludosa,p,hc,h,2.7,13.4,1334,"11, 16",6,7,6,4,0
9204518,Crepis praemorsa,p,hc,h,1.7,13.3,1333,7,8,3,9,3,0
920578,Crepis vesicaria,b,hc,h,4.1,15.7,858,"3, 5, 6, 17",8,5,7,7,0
920579,Crithmum maritimum,p,hc,h,5.1,15.4,1042,18,9,6,7,5,5
920580,Crocosmia aurea x pottsii (C. x crocosmiiflora),p,Gn,h,4.0,14.6,1129,"1, 3, 17",7,6,4,4,0
920875,Cruciata laevipes,p,hc,h,3.2,15.2,892,6,6,5,7,5,0
910586,Cryptogramma crispa,p,hc,h,1.8,12.9,1678,"10, 15, 16",7,5,2,3,0
920589,Cuscuta epithymum,a,Th,h,4.3,15.9,846,10,7,6,2,2,0
920590,Cuscuta europaea,a,Th,h,3.7,16.4,679,14,6,7,6,7,0
920592,Cymbalaria muralis,p,Ch,h,3.7,15.0,990,"3, 16, 17, 19",7,5,7,6,0
920594,Cynodon dactylon,p,hc,h,6.4,15.6,1156,"3, 5, 17",8,4,7,5,0
920595,Cynoglossum germanicum,p,hc,h,3.7,16.5,676,1,6,5,8,7,0
920596,Cynoglossum officinale,p,hc,h,3.9,15.8,780,"7, 19",8,4,8,6,1
920597,Cynosurus cristatus,p,hc,h,3.5,14.5,1103,"5, 6",7,5,6,4,0
920599,Cyperus fuscus,a,Th,h,4.4,16.6,758,13,9,8,5,4,0
920600,Cyperus longus,p,hc,h,5.7,16.1,943,"11, 13",8,9,7,5,0
920601,Cypripedium calceolus,p,Gn,h,2.2,13.9,1270,7,5,4,8,4,0
910602,Cystopteris dickieana,p,hc,h,0.9,12.3,1379,16,5,7,8,2,0
910603,Cystopteris fragilis,p,hc,h,2.6,13.5,1361,16,6,7,8,4,0
910604,Cystopteris montana,p,hc,h,-0.2,11.3,2151,"15, 16",5,7,9,2,0
9201822,Cytisus scoparius,p,Pn,w,3.4,14.6,1085,3,8,5,4,4,0
920605,Daboecia cantabrica,p,Ch,w,4.5,14.4,1265,10,8,5,3,2,0
920607,Dactylis glomerata,p,hc,h,3.6,14.5,1091,"5, 6",7,5,7,6,0
920608,Dactylorhiza fuchsii,p,Gn,h,3.5,14.7,1063,11,7,8,7,3,0
920609,Dactylorhiza incarnata,p,Gn,h,3.6,14.4,1127,11,8,9,6,2,0
9202964,Dactylorhiza lapponica,p,Gn,h,3.2,12.5,1910,11,8,8,6,2,0
920610,Dactylorhiza maculata,p,Gn,h,3.4,14.1,1221,12,7,7,3,2,0
920611,Dactylorhiza majalis,p,Gn,h,4.7,14.4,1237,11,7,7,5,3,0
920612,Dactylorhiza praetermissa,p,Gn,h,3.9,15.9,849,11,8,8,7,3,0
920613,Dactylorhiza purpurella,p,Gn,h,3.1,13.5,1244,11,8,8,7,2,1
920614,Dactylorhiza traunsteineri,p,Gn,h,3.9,14.9,978,11,8,8,7,2,0
920615,Damasonium alisma,a,Hz,h,3.9,16.5,707,13,8,10,5,3,0
9201915,Danthonia decumbens,p,hc,h,3.5,14.3,1160,"7, 8",7,6,4,2,0
920617,Daphne laureola,p,Pn,w,3.7,16.0,760,1,4,5,7,5,0
920618,Daphne mezereum,p,Pn,w,3.5,15.8,890,1,4,5,7,6,0
920619,Datura stramonium,a,Th,h,3.9,15.9,796,17,8,4,7,8,1
9205474,Daucus carota,b,hc,h,4.0,15.0,989,"6, 7",8,4,7,3,2
9205475,Daucus carota subsp.sativus,b,hc,h,3.6,14.7,913,17,7,5,7,8,0
920627,Deschampsia cespitosa,p,hc,h,3.5,14.4,1099,"1, 6",6,6,5,4,0
920628,Deschampsia flexuosa,p,hc,h,3.2,14.1,1177,"8, 10",6,5,2,3,0
920629,Deschampsia setacea,p,hc,h,3.5,13.6,1211,"12, 13",8,9,2,1,0
920630,Descurainia sophia,a,Th,h,3.6,15.6,738,4,8,4,7,6,0
920631,Dianthus armeria,a,Th,h,4.2,16.2,805,"3, 16",8,5,5,3,0
920635,Dianthus deltoides,p,Ch,sw,3.1,15.0,797,7,8,3,5,2,0
920637,Dianthus gratianopolitanus,p,Ch,sw,3.8,15.9,979,16,9,2,7,1,0
920639,Diapensia lapponica,p,Ch,w,1.8,11.7,2845,15,9,3,4,1,0
920640,Digitalis purpurea,b,hc,h,3.5,14.5,1120,"8, 9",6,6,4,5,0
920641,Digitaria ischaemum,a,Th,h,4.3,16.3,777,"3, 4, 17",7,4,5,5,0
920642,Digitaria sanguinalis,a,Th,h,4.3,16.2,783,"3, 4, 17",7,4,5,5,0
9101213,Diphasiastrum alpinum,p,Ch,sw,1.9,12.4,1686,15,7,5,2,2,0
9102277,Diphasiastrum complanatum,p,Ch,sw,1.0,12.5,1465,10,6,4,1,2,0
920644,Diplotaxis muralis,a,Th,h,4.0,15.8,810,"3, 4, 16, 17",8,4,7,6,1
920645,Diplotaxis tenuifolia,p,Ch,h,3.9,15.9,790,"3, 16, 17",8,5,7,6,1
920646.1,Dipsacus fullonum,b,hc,h,3.8,15.6,863,"3, 6, 17",8,7,7,7,0
920646,Dipsacus fullonum sens.lat.,b,hc,h,3.8,15.6,863,"3, 6, 17",8,7,7,7,0
920647,Dipsacus pilosus,b,hc,h,3.6,16.0,729,"1, 3, 16",7,6,8,7,0
9202387,Disphyma crassifolium,p,Ch,sw,6.0,16.1,898,"3, 18, 19",9,3,4,5,3
920648,Doronicum pardalianches,p,hc,h,3.1,14.8,921,"1, 3",4,5,6,5,0
920650,Draba aizoides,p,Ch,h,5.2,15.9,1191,16,8,4,9,3,0
920651,Draba incana,b,hc,h,2.3,12.5,1584,"7, 16",8,5,7,2,0
920652,Draba muralis,a,Th,h,2.4,14.4,1151,"3, 16",7,6,7,6,0
920653,Draba norvegica,p,Ch,h,0.6,11.2,2311,"15, 16",8,5,7,3,0
920654,Drosera anglica,p,hc,h,3.2,13.4,1422,"11, 12",8,9,2,1,0
920655,Drosera intermedia,p,hc,h,3.7,14.1,1337,"12, 14",8,9,2,1,0
920657,Drosera rotundifolia,p,hc,h,3.3,13.9,1269,12,8,9,2,1,0
920658,Dryas octopetala,p,Ch,w,2.1,12.4,1734,"7, 16",8,4,7,2,0
910660,Dryopteris aemula,p,hc,h,4.2,14.1,1373,"1, 16",5,6,2,3,0
910662,Dryopteris affinis,p,hc,h,3.5,14.3,1160,"1, 16",5,6,5,5,0
910666,Dryopteris carthusiana,p,hc,h,3.3,14.6,1075,1,6,8,5,4,0
910663,Dryopteris cristata,p,hc,h,3.6,15.9,659,11,6,9,4,4,0
910661,Dryopteris dilatata,p,hc,h,3.5,14.4,1114,"1, 2",5,6,4,5,0
9102274,Dryopteris expansa,p,hc,h,1.7,12.0,1772,"1, 15, 16",7,6,3,2,0
910665,Dryopteris filix-mas,p,hc,h,3.5,14.5,1096,"1, 2",5,6,5,5,0
910664,Dryopteris filix-mas agg.,p,hc,h,3.5,14.5,1096,"1, 2",5,6,5,5,0
910659,Dryopteris oreades,p,hc,h,1.9,12.6,1810,"15, 16",7,5,2,2,0
9102499,Dryopteris remota,p,hc,h,2.7,13.4,1998,"1, 2",6,6,4,4,0
910667,Dryopteris submontana,p,hc,h,2.1,13.7,1527,16,8,5,9,3,0
920668,Echinochloa crus-galli,a,Th,h,4.0,16.0,785,17,6,5,7,8,0
920669,Echium plantagineum,b,hc,h,4.7,15.9,848,4,9,3,5,5,0
920670,Echium vulgare,b,hc,h,3.8,15.6,822,7,8,4,7,4,1
920671,Elatine hexandra,a,Hz,h,3.7,14.2,1365,13,7,10,5,4,0
920672,Elatine hydropiper,a,Hz,h,3.6,14.7,1072,13,7,10,5,5,0
920673,Eleocharis acicularis,p,Hy,h,3.6,15.2,924,"13, 14",7,10,7,5,1
9202267,Eleocharis austriaca,p,hc,h,1.4,13.2,1348,"13, 14",8,9,5,5,0
920674,Eleocharis multicaulis,p,hc,h,3.7,14.0,1348,"11, 12, 13",8,9,4,1,0
920675,Eleocharis palustris,p,Hy,h,3.5,14.5,1098,11,8,10,6,4,1
920676,Eleocharis parvula,p,hc,h,4.6,15.3,1130,21,6,9,7,5,3
920677,Eleocharis quinqueflora,p,hc,h,3.1,13.5,1323,11,9,9,7,2,0
920678,Eleocharis uniglumis,p,hc,h,4.0,14.4,1182,11,8,9,7,4,3
920679,Eleogiton fluitans,p,Hy,h,3.7,14.2,1259,11,8,11,4,2,0
920681,Elodea canadensis,p,Hy,h,3.6,15.1,936,"13, 14",7,12,7,6,0
920997,Elodea nuttallii,p,Hy,h,3.7,15.8,836,"13, 14",6,12,7,7,1
9207006,Elymus caninus,p,hc,h,3.3,14.9,981,"1, 3",7,6,7,8,0
92032,Elytrigia atherica,p,hc,h,4.6,15.9,863,"19, 21",9,6,7,6,4
92028,Elytrigia juncea,p,hc,h,4.4,14.5,1050,19,9,5,7,6,3
92033,Elytrigia repens,p,hc,h,3.6,14.6,1046,"3, 4, 19",7,5,7,7,2
920684,Empetrum nigrum,p,Ch,w,2.7,13.2,1381,"10, 12, 15",7,6,2,1,0
920690,Epilobium alsinifolium,p,hc,h,1.0,11.9,1832,"11, 16",8,9,6,4,0
920691,Epilobium anagallidifolium,p,hc,h,0.9,11.6,1880,"11, 15",8,8,6,3,0
920699,Epilobium brunnescens,p,hc,h,3.0,13.6,1357,"14, 15, 16",7,8,4,3,0
920688,Epilobium ciliatum,p,hc,h,3.7,15.0,972,"3, 4, 17",7,6,6,6,0
920692,Epilobium hirsutum,p,hc,h,3.8,15.0,971,"11, 14",7,8,7,7,0
920694,Epilobium lanceolatum,p,hc,h,4.4,16.0,937,"3, 16, 17",7,5,6,5,0
920695,Epilobium montanum,p,hc,h,3.5,14.5,1091,"3, 16, 17",6,6,6,6,0
920696,Epilobium obscurum,p,hc,h,3.5,14.5,1104,"11, 14",6,8,5,5,0
920697,Epilobium palustre,p,hc,h,3.4,14.3,1146,"11, 14",7,8,5,3,0
920698,Epilobium parviflorum,p,hc,h,3.8,14.9,996,11,7,9,7,5,0
920700,Epilobium roseum,p,hc,h,3.6,15.5,893,"1, 3, 14, 17",6,8,7,7,0
9207292,Epilobium tetragonum,p,hc,h,3.9,15.9,834,"3, 17",6,7,5,5,0
920702,Epipactis atrorubens,p,Gn,h,3.0,13.8,1328,16,7,4,8,1,0
920705,Epipactis helleborine,p,Gn,h,3.6,15.3,946,"1, 7",4,5,7,4,0
9205476,Epipactis leptochila,p,Gn,h,3.6,15.7,808,1,3,4,9,4,0
920708,Epipactis palustris,p,Gn,h,3.9,15.3,915,11,8,8,7,3,0
920709,Epipactis phyllanthes,p,Gn,h,3.8,16.0,774,1,3,5,7,4,0
920710,Epipactis purpurata,p,Gn,h,3.6,16.3,728,1,2,5,8,4,0
9202549,Epipactis youngiana,p,Gn,h,2.8,14.3,820,1,3,4,5,3,0
920711,Epipogium aphyllum,p,Gn,h,3.6,16.1,721,1,2,5,7,4,0
910712,Equisetum arvense,p,Gn,h,3.5,14.5,1087,"3, 4",7,6,6,6,0
910713,Equisetum fluviatile,p,Gn,h,3.5,14.4,1116,11,8,10,6,4,0
910714,Equisetum hyemale,p,Gn,h,3.0,14.0,1108,"1, 11, 14",5,7,7,6,0
910717,Equisetum palustre,p,Gn,h,3.4,14.5,1091,11,7,8,6,3,0
910718,Equisetum pratense,p,Gn,h,1.8,12.7,1406,11,7,7,5,4,0
910719,Equisetum ramosissimum,p,Gn,h,4.1,16.3,740,6,8,4,8,5,0
910720,Equisetum sylvaticum,p,Gn,h,2.9,13.7,1269,"1, 16",5,8,5,5,0
910721,Equisetum telmateia,p,Gn,h,3.8,15.2,950,11,6,8,7,6,0
910723,Equisetum variegatum,p,Gn,h,3.4,14.0,1224,11,8,8,8,3,0
920724,Eranthis hyemalis,p,Gn,h,3.4,15.6,716,"1, 3, 17",3,5,7,6,0
920725,Erica ciliaris,p,Ch,w,5.7,15.9,1011,"10, 12",8,7,1,1,0
920726,Erica cinerea,p,Ch,w,3.5,14.0,1226,10,7,5,2,2,0
920729,Erica erigena,p,Pn,w,4.3,14.0,1395,"10, 13, 14",8,8,2,2,0
920728,Erica mackaiana,p,Ch,w,4.0,13.7,1593,"10, 12",8,8,2,1,0
920731,Erica tetralix,p,Ch,w,3.4,14.0,1230,"10, 12",8,8,2,1,0
920732,Erica vagans,p,Pn,w,6.0,15.5,1047,10,8,6,4,1,0
920733,Erigeron acer,a,Th,h,3.8,15.9,774,"3, 16",8,5,7,3,0
920734,Erigeron borealis,p,Ch,h,-1.2,10.6,1653,"15, 16",9,5,7,2,0
920736,Erigeron karvinskianus,p,Ch,h,4.6,15.9,904,"3, 16, 17",8,3,7,2,0
920738,Erinus alpinus,p,Ch,h,3.3,14.5,1121,"3, 16",8,3,8,2,0
