SITE,PLOT,BRC,DBH_class,Count,Yr,BRC names
66,5,920557,2,6,2,Corylus avellana
66,5,9201788,3,4,2,Salix caprea
66,5,9201788,4,3,2,Salix caprea
66,5,9201788,5,3,2,Salix caprea
66,5,92077,7,1,2,Alnus glutinosa
66,5,9201788,8,1,2,Salix caprea
66,6,920569,1,2,2,Crataegus monogyna
66,6,9201023,1,6,2,Ilex aquifolium
66,6,920557,1,24,2,Corylus avellana
66,6,920569,2,2,2,Crataegus monogyna
66,6,920557,2,4,2,Corylus avellana
66,6,9201023,3,1,2,Ilex aquifolium
66,6,9205178,3,1,2,Pseudotsuga spp.
66,6,9204446,4,2,2,Quercus seedling/sp
66,6,9204446,5,2,2,Quercus seedling/sp
66,6,9204446,6,1,2,Quercus seedling/sp
66,6,920841,8,1,2,Fraxinus excelsior (c)
66,6,9204446,8,1,2,Quercus seedling/sp
66,6,9204446,9,2,2,Quercus seedling/sp
66,7,9205,1,2,2,Acer pseudoplatanus
66,7,920841,1,6,2,Fraxinus excelsior (c)
66,7,920557,1,28,2,Corylus avellana
66,7,9205178,2,1,2,Pseudotsuga spp.
66,7,920557,2,2,2,Corylus avellana
66,7,92077,3,1,2,Alnus glutinosa
66,7,9205178,3,1,2,Pseudotsuga spp.
66,7,920841,4,1,2,Fraxinus excelsior (c)
66,7,9201788,4,1,2,Salix caprea
66,7,92077,5,1,2,Alnus glutinosa
66,7,9205178,5,1,2,Pseudotsuga spp.
66,7,920841,6,2,2,Fraxinus excelsior (c)
66,7,920841,10,1,2,Fraxinus excelsior (c)
66,8,920569,1,2,2,Crataegus monogyna
66,8,9205,2,1,2,Acer pseudoplatanus
66,8,920569,2,1,2,Crataegus monogyna
66,8,9205,3,1,2,Acer pseudoplatanus
66,8,920810,5,1,2,Fagus sylvatica
66,8,920810,7,1,2,Fagus sylvatica
66,8,920810,13,1,2,Fagus sylvatica
66,9,92077,1,2,2,Alnus glutinosa
66,9,92077,2,1,2,Alnus glutinosa
66,9,920841,4,1,2,Fraxinus excelsior (c)
66,9,92077,5,1,2,Alnus glutinosa
66,9,920841,5,1,2,Fraxinus excelsior (c)
66,9,920841,11,1,2,Fraxinus excelsior (c)
66,11,92077,7,1,2,Alnus glutinosa
66,11,92077,8,1,2,Alnus glutinosa
66,11,920841,9,1,2,Fraxinus excelsior (c)
66,11,92077,9,3,2,Alnus glutinosa
66,12,920569,1,2,2,Crataegus monogyna
66,12,920557,1,32,2,Corylus avellana
66,12,92077,2,1,2,Alnus glutinosa
66,12,920557,2,2,2,Corylus avellana
66,12,920557,3,4,2,Corylus avellana
66,12,92077,4,1,2,Alnus glutinosa
66,12,9205,5,1,2,Acer pseudoplatanus
66,12,92077,5,2,2,Alnus glutinosa
66,12,92077,7,1,2,Alnus glutinosa
66,12,92077,8,1,2,Alnus glutinosa
66,13,9205,1,2,2,Acer pseudoplatanus
66,13,9204558,1,2,2,Salix seedling/sp
66,13,920841,1,3,2,Fraxinus excelsior (c)
66,13,920557,1,10,2,Corylus avellana
66,14,9201611,1,2,2,Prunus avium
66,14,200001670,1,16,2,Ulex sp.
66,14,9204558,1,46,2,Salix seedling/sp
66,15,9204558,1,2,2,Salix seedling/sp
66,15,920557,1,8,2,Corylus avellana
66,15,9201023,1,8,2,Ilex aquifolium
66,15,920841,1,16,2,Fraxinus excelsior (c)
66,15,9201023,2,1,2,Ilex aquifolium
66,15,9201023,3,2,2,Ilex aquifolium
66,15,9204446,24,1,2,Quercus seedling/sp
66,16,9201023,1,1,2,Ilex aquifolium
66,16,920569,1,2,2,Crataegus monogyna
66,16,920841,1,2,2,Fraxinus excelsior (c)
66,16,9205,1,4,2,Acer pseudoplatanus
66,16,920841,1,6,2,Fraxinus excelsior (c)
66,16,920557,1,58,2,Corylus avellana
66,16,9201023,2,1,2,Ilex aquifolium
66,16,920557,2,2,2,Corylus avellana
66,16,920841,2,12,2,Fraxinus excelsior (c)
66,16,920841,3,1,2,Fraxinus excelsior (c)
66,16,920841,4,2,2,Fraxinus excelsior (c)
66,16,920841,5,1,2,Fraxinus excelsior (c)
66,16,9205,6,1,2,Acer pseudoplatanus
66,16,92077,6,1,2,Alnus glutinosa
66,16,9204446,6,1,2,Quercus seedling/sp
66,16,920841,6,2,2,Fraxinus excelsior (c)
66,16,92077,7,2,2,Alnus glutinosa
72,1,9205,3,1,2,Acer pseudoplatanus
72,1,9204446,4,1,2,Quercus seedling/sp
72,1,9204446,10,1,2,Quercus seedling/sp
72,1,9204446,11,1,2,Quercus seedling/sp
72,1,9204446,12,1,2,Quercus seedling/sp
72,2,9204445,3,1,2,Betula seedling/sp
72,2,9204445,4,2,2,Betula seedling/sp
72,2,9204446,6,1,2,Quercus seedling/sp
