species,mycorrhiza type,
Abarema jupunba,AM; others not addressed,
Abelmoschus esculentus,AM; others not addressed,
Abelmoschus esculentus,AM; others not addressed,
Abelmoschus manihot,AM; others not addressed,
Abies ,EcM; others not addressed,
Abies ,EcM; others not addressed,
Abies ,EcM; others not addressed,
Abies alba,EcM; others not addressed,
Abies alba,EcM; others not addressed,
Abies alba,EcM; no others,
Abies alba,EcM; others not addressed,
Abies alba,EcM; no others,
Abies amabilis,EcM; others not addressed,
Abies amabilis,EcM; no others,
Abies balsamea,EcM; others not addressed,
Abies balsamea,EcM; others not addressed,
Abies balsamea,EcM; others not addressed,
Abies balsamea,EcM; no others,
Abies balsamea,EcM; no others,
Abies balsamea,EcM; no others,
Abies balsamea,EcM; no others,
Abies balsamea var. phanerolepis,EcM; others not addressed,
Abies cephalonica,EcM; others not addressed,
Abies cilicica,EcM; others not addressed,
Abies cilicica,EcM; others not addressed,
Abies concolor,EcM; others not addressed,
Abies concolor,EcM; others not addressed,
Abies concolor,EcM; others not addressed,
Abies concolor,EcM; no others,
Abies concolor,EcM; no others,
Abies fargesii,EcM; others not addressed,
Abies fargesii,EcM; others not addressed,
Abies fargesii var. faxoniana,EcM; others not addressed,
Abies firma,EcM; others not addressed,
Abies firma,EcM; others not addressed,
Abies firma,EcM; others not addressed,
Abies firma,EcM; others not addressed,
Abies firma,non-mycorrhizal (checked for all types),
Abies fraseri,EcM; others not addressed,
Abies grandis,EcM; others not addressed,
Abies grandis,EcM; others not addressed,
Abies grandis,EcM; others not addressed,
Abies grandis,EcM; no others,
Abies holophylla,EcM; others not addressed,
Abies holophylla,EcM; others not addressed,
Abies holophylla,EcM; others not addressed,
Abies homolepis,EcM; others not addressed,
Abies kawakamii,EcM; no others,
Abies koreana,EcM; others not addressed,
Abies lasiocarpa,EcM; others not addressed,
Abies lasiocarpa,EcM; others not addressed,
Abies lasiocarpa,EcM; others not addressed,
Abies lasiocarpa,EcM; others not addressed,
Abies lasiocarpa,EcM; no others,
Abies lasiocarpa,EcM; others not addressed,
Abies lasiocarpa,EcM; no others,
Abies lasiocarpa var. arizonica,EcM; others not addressed,
Abies magnifica,EcM; others not addressed,
Abies magnifica,EcM; no others,
Abies magnifica var. shastensis,EcM; no others,
Abies nephrolepis,EcM; others not addressed,
Abies nephrolepis,EcM; others not addressed,
Abies nephrolepis,EcM; others not addressed,
Abies nordmanniana,EcM; others not addressed,
Abies nordmanniana,EcM; others not addressed,
Abies nordmanniana,EcM; others not addressed,
Abies nordmanniana,EcM; others not addressed,
Abies nordmanniana,EcM; others not addressed,
Abies nordmanniana,EcM; others not addressed,
Abies nordmanniana,EcM; no others,
Abies numidica,EcM; others not addressed,
Abies pindrow,EcM; others not addressed,
Abies pindrow,EcM; others not addressed,
Abies pindrow,EcM; no others,
Abies pindrow var. brevifolia,EcM; others not addressed,
Abies pinsapo,EcM; others not addressed,
Abies procera,EcM; others not addressed,
Abies procera,EcM; no others,
Abies sachalinensis,EcM; others not addressed,
Abies sachalinensis,EcM; others not addressed,
Abies sachalinensis,EcM; others not addressed,
Abies sachalinensis,EcM; others not addressed,
Abies sachalinensis,EcM; others not addressed,
Abies sachalinensis,EcM; others not addressed,
Abies sachalinensis var. mayriana,EcM; others not addressed,
Abies sachalinensis var. nemorensis,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies veitchii,EcM; others not addressed,
Abies veitchii,EcM; others not addressed,
Abronia maritima,AM; others not addressed,
Abronia umbellata,AM; others not addressed,
Abrus precatorius,AM; others not addressed,
Abrus precatorius,AM; others not addressed,
Abrus precatorius,AM; others not addressed,
Abrus precatorius,AM; others not addressed,
Abrus precatorius,AM; no others,
Abutilon,AM; others not addressed,
Abutilon californicum,AM; others not addressed,
Abutilon californicum,AM; no others,
Abutilon grandifolium,AM; no others,
Abutilon grandifolium,AM; no others,
Abutilon grandifolium,AM; others not addressed,
Abutilon hybridum,AM; others not addressed,
Abutilon indicum,AM; others not addressed,
Abutilon indicum,AM; others not addressed,
Abutilon indicum,non-mycorrhizal (checked for all types),
Abutilon indicum,AM; others not addressed,
Abutilon indicum,AM; others not addressed,
Abutilon indicum,AM; others not addressed,
Abutilon indicum,AM; no others,
Abutilon indicum,AM; others not addressed,
Abutilon indicum subalbescens,AM; others not addressed,
Abutilon otocarpum,AM; others not addressed,
Abutilon pannosum,AM; no others,
Abutilon pannosum,AM; no others,
Abutilon theophrasti,AM; no others,
Abutilon theophrasti,AM; others not addressed,
Abutilon theophrasti,AM; others not addressed,
Acacia alata,AM; no others,
Acacia alata,AM; no others,
Acacia alata,AM; no others,
Acacia alleniana,AM; no others,
Acacia ampliceps,AM; others not addressed,
Acacia ancistrocarpa,AM; no others,
Acacia aneura,AM; others not addressed,
Acacia aneura,EcM; no others,
Acacia aneura,"EcM,AM",
Acacia aneura,EcM; no others,
Acacia aneura,EcM; others not addressed,
Acacia armata,non-EcM; others not addressed,
Acacia armata,non-EcM; others not addressed,
Acacia aulacocarpa,AM; no others,
Acacia aulacocarpa,AM; no others,
Acacia aulacocarpa,AM; no others,
Acacia aulacocarpa,"EcM,AM",
Acacia auriculiformis,non-AM; others not addressed,
Acacia auriculiformis,non-AM; others not addressed,
Acacia auriculiformis,AM; others not addressed,
Acacia auriculiformis,AM; others not addressed,
Acacia auriculiformis,AM; no others,
Acacia auriculiformis,"EcM,AM",
Acacia auriculiformis,AM; others not addressed,
Acacia auriculiformis,AM; no others,
Acacia auriculiformis,AM; no others,
Acacia auriculiformis,AM; no others,
Acacia auriculiformis,AM; no others,
Acacia auriculiformis,AM; no others,
Acacia auriculiformis,AM; no others,
Acacia auriculiformis,AM; no others,
Acacia auriculiformis,AM; others not addressed,
Acacia auriculiformis,AM; others not addressed,
Acacia auriculiformis,AM; no others,
Acacia auriculiformis,EcM; others not addressed,
Acacia auriculiformis,"EcM,AM",
Acacia auriculiformis,AM; no others,
Acacia auriculiformis,AM; no others,
Acacia auriculiformis,AM; no others,
Acacia auriculijormis,"EcM,AM",
Acacia bivenosa,"EcM,AM",
Acacia calligera,AM; no others,
Acacia calligera,AM; no others,
Acacia calligera,AM; others not addressed,
Acacia calligera,AM; no others,
Acacia calligera,AM; others not addressed,
Acacia calligera,AM; others not addressed,
Acacia calligera,AM; others not addressed,
Acacia calligera,AM; others not addressed,
Acacia calligera,AM; others not addressed,
Acacia calligera,AM; others not addressed,
Acacia calligera,"EcM,AM",
Acacia calligera,AM; no others,
Acacia chisholmii,"EcM,AM",
Acacia cincinnata,AM; no others,
Acacia cochliacantha,AM; others not addressed,
Acacia concurrens,AM; no others,
Acacia concurrens,AM; no others,
Acacia confusa,non-mycorrhizal (checked for all types),
Acacia confusa,AM; others not addressed,
Acacia confusa,non-AM; others not addressed,
Acacia coriacea,"EcM,AM",
Acacia cowleana,"EcM,AM",
Acacia crassicarpa,"EcM,AM",
Acacia cyclops,AM; no others,
Acacia dealbata,AM; others not addressed,
Acacia dealbata,AM; others not addressed,
Acacia dealbata,AM; no others,
Acacia dealbata,EcM; no others,
Acacia dealbata,EcM; no others,
Acacia dealbata,AM; no others,
Acacia dealbata,EcM; others not addressed,
Acacia decurrens,EcM; no others,
Acacia decurrens,AM; no others,
Acacia decurrens,AM; no others,
Acacia decurrens,AM; no others,
Acacia decurrens,AM; no others,
Acacia decurrens,AM; no others,
Acacia decurrens,EcM; no others,
Acacia decurrens,EcM; others not addressed,
Acacia difficilis,"EcM,AM",
Acacia difficilis,"EcM,AM",
Acacia dimidiata,"EcM,AM",
Acacia dimidiata,AM; no others,
Acacia dunnii,AM; no others,
Acacia extensa,AM; no others,
Acacia extensa,AM; no others,
Acacia extensa,AM; no others,
Acacia floribunda,AM; no others,
Acacia floribunda,AM; no others,
Acacia gonocarpa,"EcM,AM",
Acacia gonocarpa,AM; no others,
Acacia hemignosta,AM; no others,
Acacia hilliana,"EcM,AM",
Acacia hippuroides,"EcM,AM",
Acacia holosericea,AM; no others,
Acacia holosericea,"EcM,AM",
Acacia holosericea,AM; no others,
Acacia holosericea,AM; no others,
Acacia holosericea,EcM; others not addressed,
Acacia holosericea,"EcM,AM",
Acacia holosericea,AM; no others,
Acacia holosericea,"EcM,AM",
Acacia holosericea,AM; no others,
Acacia holosericea,"EcM,AM",
Acacia holosericea,"EcM,AM",
Acacia holosericea,"EcM,AM",
Acacia holosericea,"EcM,AM",
Acacia implexa,"EcM,AM",
Acacia implexa,EcM; no others,
Acacia inaequilatera,AM; no others,
Acacia jamesiana,AM; no others,
Acacia koa,AM; no others,
Acacia koa,AM; others not addressed,
Acacia lasiocarpa,AM; no others,
Acacia latescens,AM; no others,
Acacia latescens,AM; no others,
Acacia latescens,AM; no others,
Acacia latescens,"EcM,AM",
Acacia leptocarpa,AM; others not addressed,
Acacia ligulata,AM; no others,
Acacia linifolia,"EcM,AM",
Acacia linifolia,AM; others not addressed,
Acacia lysiphloia,"EcM,AM",
Acacia mangium,AM; others not addressed,
Acacia mangium,AM; others not addressed,
Acacia mangium,"EcM,AM",
Acacia mangium,"EcM,AM",
Acacia mangium,AM; no others,
Acacia mangium,"EcM,AM",
Acacia mangium,AM; no others,
Acacia mangium,AM; no others,
Acacia mangium,AM; others not addressed,
Acacia mangium,EcM; others not addressed,
Acacia mangium,EcM; others not addressed,
Acacia mangium,AM; others not addressed,
Acacia mangium,AM; others not addressed,
Acacia mearnsii,AM; others not addressed,
Acacia mearnsii,AM; others not addressed,
Acacia mearnsii,"EcM,AM",
Acacia mearnsii,AM; no others,
Acacia melanoxylon,EcM; no others,
Acacia melanoxylon,"EcM,AM",
Acacia melanoxylon,EcM; no others,
Acacia melanoxylon,EcM; others not addressed,
Acacia melanoxylon,non-EcM; others not addressed,
Acacia melanoxylon,non-EcM; others not addressed,
Acacia mimula,"EcM,AM",
Acacia mimula,"EcM,AM",
Acacia mimula,AM; no others,
Acacia mimula,"EcM,AM",
Acacia minutifolia,AM; others not addressed,
Acacia mitchellii,EcM; no others,
Acacia mitchellii,EcM; no others,
Acacia mitchellii,EcM; others not addressed,
Acacia monticola,"EcM,AM",
Acacia mountfordiae,"EcM,AM",
Acacia mountfordiae,AM; no others,
Acacia myrtifolia,"EcM,AM",
Acacia myrtifolia,"EcM,AM",
Acacia myrtifolia,EcM; others not addressed,
Acacia myrtifolia,non-EcM; others not addressed,
Acacia myrtifolia,non-EcM; others not addressed,
Acacia notabilis,non-EcM; others not addressed,
Acacia obtusifolia,"EcM,AM",
Acacia oncinocarpa,"EcM,AM",
Acacia oncinocarpa,"EcM,AM",
Acacia oncinocarpa,AM; no others,
Acacia oncinocarpa,AM; no others,
Acacia oncinocarpa,AM; no others,
Acacia oncinocarpa,AM; no others,
Acacia pellita,"EcM,AM",
Acacia platycarpa,EcM; no others,
Acacia platycarpa,AM; no others,
Acacia platycarpa,EcM; no others,
Acacia plectocarpa,"EcM,AM",
Acacia plectocarpa,"EcM,AM",
Acacia plectocarpa,AM; no others,
Acacia plectocarpa,EcM; no others,
Acacia pravissima,EcM; no others,
Acacia pulchella,AM; no others,
Acacia pulchella,AM; no others,
Acacia pulchella,AM; no others,
Acacia pulchella,AM; no others,
Acacia pulchella,AM; no others,
Acacia pulchella,AM; no others,
Acacia pulchella,"EcM,AM",
Acacia pycnantha,AM; no others,
Acacia pycnantha,AM; no others,
Acacia pycnantha,EcM; no others,
Acacia pycnantha,EcM; others not addressed,
Acacia pyrifolia,AM; no others,
Acacia pyrifolia,AM; no others,
Acacia pyrifolia,AM; no others,
Acacia retinodes,EcM; no others,
Acacia retinodes,EcM; no others,
Acacia retinodes,EcM; others not addressed,
Acacia retinodes,EcM; others not addressed,
Acacia retinodes,non-EcM; others not addressed,
Acacia retivenea,"EcM,AM",
Acacia rhodoxylon,"EcM,AM",
Acacia rhodoxylon,"EcM,AM",
Acacia richii,AM; no others,
Acacia richii,AM; no others,
Acacia rigens,"EcM,AM",
Acacia rothii,"EcM,AM",
Acacia rothii,"EcM,AM",
Acacia rubida,EcM; no others,
Acacia rubida,EcM; no others,
Acacia rubida,EcM; others not addressed,
Acacia salicina,AM; no others,
Acacia salicina,EcM; no others,
Acacia salicina,EcM; no others,
Acacia salicina,EcM; others not addressed,
Acacia saligna,AM; no others,
Acacia saligna,AM; no others,
Acacia saligna,AM; no others,
Acacia saligna,AM; no others,
Acacia saligna,AM; no others,
Acacia saligna,AM; no others,
Acacia saligna,AM; no others,
Acacia saligna,AM; no others,
Acacia simsii,"EcM,AM",
Acacia simsii,"EcM,AM",
Acacia sophorae,EcM; no others,
Acacia sophorae,EcM; no others,
Acacia sophorae,EcM; others not addressed,
Acacia sparsiflora,EcM; no others,
Acacia sparsiflora,EcM; no others,
Acacia spathulifolia,AM; no others,
Acacia spinescens,AM; no others,
Acacia spirorbis,EcM; others not addressed,
Acacia stenophylla,AM; no others,
Acacia stricta,"EcM,AM",
Acacia stricta,"EcM,AM",
Acacia suaveolens,AM; no others,
Acacia suaveolens,AM; no others,
Acacia suaveolens,"EcM,AM",
Acacia torulosa,AM; no others,
Acacia torulosa,AM; no others,
Acacia torulosa,AM; no others,
Acacia torulosa,AM; no others,
Acacia torulosa,"EcM,AM",
Acacia trachycarpa,"EcM,AM",
Acacia translucens,"EcM,AM",
Acacia tropica,AM; no others,
Acacia tumida,AM; no others,
Acacia tumida,AM; no others,
Acacia ulicifolia,"EcM,AM",
Acacia urophylla,AM; no others,
Acacia urophylla,AM; no others,
Acacia verniciflua,AM; no others,
Acacia verticillata,EcM; no others,
Acacia verticillata,EcM; no others,
Acacia verticillata,EcM; others not addressed,
Acacia yirrkallensis,AM; no others,
Acacia yirrkallensis,AM; no others,
Acacia yirrkallensis,AM; no others,
Acaena ,non-mycorrhizal (checked for all types),
Acaena ,AM; others not addressed,
Acaena ,AM; others not addressed,
Acaena ,AM; others not addressed,
Acaena ,AM; others not addressed,
Acaena ,non-mycorrhizal (checked for all types),
Acaena ,AM; others not addressed,
Acaena alpina ,AM; others not addressed,
Acaena glabra,AM; others not addressed,
Acaena magellanica,non-mycorrhizal (checked for all types),
Acaena magellanica,AM; no others,
Acaena magellanica,AM; others not addressed,
Acaena magellanica,non-mycorrhizal (checked for all types),
Acaena magellanica,AM; others not addressed,
Acaena minor,AM; others not addressed,
Acaena myriophylla,AM; no others,
Acaena myriophylla,AM; others not addressed,
Acaena novae-zelandiae,AM; others not addressed,
Acaena novae-zelandiae,AM; no others,
Acaena ovalifolia,AM; others not addressed,
Acaena ovina,AM; no others,
Acaena pinnatifida,AM; no others,
Acaena pinnatifida,AM; no others,
Acaena pinnatifida,AM; others not addressed,
Acaena pinnatifida,AM; no others,
Acaena tenera,non-mycorrhizal (checked for all types),
Acalypha australis,AM; others not addressed,
Acalypha australis,AM; others not addressed,
Acalypha ciliata,non-AM; others not addressed,
Acalypha communis,AM; no others,
Acalypha communis,AM; no others,
Acalypha communis,AM; others not addressed,
Acalypha fruticosa,AM; others not addressed,
Acalypha fruticosa,AM; others not addressed,
Acalypha fruticosa,non-mycorrhizal (checked for all types),
Acalypha indica,AM; others not addressed,
Acalypha indica,AM; others not addressed,
Acalypha indica,AM; others not addressed,
Acalypha indica,AM; others not addressed,
Acalypha indica,AM; others not addressed,
Acalypha indica,AM; others not addressed,
Acalypha indica,AM; others not addressed,
Acalypha indica,AM; others not addressed,
Acalypha indica,AM; others not addressed,
Acalypha kerrii,AM; others not addressed,
Acalypha kerrii,AM; others not addressed,
Acalypha lanceolata,AM; others not addressed,
Acalypha lanceolata,non-AM; others not addressed,
Acalypha ostryifolia,AM; no others,
Acalypha virginica var. rhomboidea,AM; no others,
Acalypha virginica var. rhomboidea,AM; no others,
Acalypha wilkesiana,non-mycorrhizal (checked for all types),
Acalypha wilkesiana,AM; no others,
Acanthaceae,AM; others not addressed,
Acanthaceae,AM; others not addressed,
Acanthocalycium spiniflorum,AM; no others,
Acanthocalycium spiniflorum,AM; others not addressed,
Acanthocarpus preissii,AM; no others,
Acanthophyllum elatius,non-mycorrhizal (checked for all types),
Acanthophyllum elatius,non-mycorrhizal (checked for all types),
Acanthophyllum korolkowii,non-mycorrhizal (checked for all types),
Acanthophyllum krascheninnikovii,non-mycorrhizal (checked for all types),
Acanthophyllum squarrosum,AM; others not addressed,
Acanthospermum hispidum,AM; others not addressed,
Acanthospermum hispidum,AM; no others,
Acanthospermum hispidum,non-mycorrhizal (checked for all types),
Acanthus ilicifolius,AM; others not addressed,
Acanthus ilicifolius,non-AM; others not addressed,
Acanthus ilicifolius,non-mycorrhizal (checked for all types),
Acanthus ilicifolius,non-mycorrhizal (checked for all types),
Acanthus ilicifolius,AM; others not addressed,
Acanthus ilicifolius,AM; others not addressed,
Acanthus ilicifolius,AM; no others,
Acanthus ilicifolius,AM; no others,
Acanthus ilicifolius,AM; no others,
Acanthus ilicifolius,AM; no others,
Acanthus ilicifolius,AM; no others,
Acanthus ilicifolius,AM; no others,
Acanthus ilicifolius,AM; no others,
Acanthus ilicifolius,AM; no others,
Acanthus ilicifolius,AM; no others,
Acanthus ilicifolius,AM; no others,
Acanthus ilicifolius,AM; no others,
Acanthus ilicifolius,non-mycorrhizal (checked for all types),
Acca sellowiana,AM; no others,
Acer barbinerve,EcM; others not addressed,
Acer buergerianum,AM; others not addressed,
Acer buergerianum,AM; others not addressed,
Acer campestre,AM; others not addressed,
Acer campestre,AM; others not addressed,
Acer campestre,AM; others not addressed,
Acer campestre,AM; others not addressed,
Acer campestre,AM; no others,
Acer campestre,non-mycorrhizal (checked for all types),
Acer campestre,EcM; others not addressed,
Acer campestre,AM; others not addressed,
Acer campestre,EcM; others not addressed,
Acer campestre,AM; others not addressed,
Acer campestre,AM; others not addressed,
Acer campestre,AM; others not addressed,
Acer cappadocicum,AM; others not addressed,
Acer cappadocicum,AM; others not addressed,
Acer caudatum subukurundense,EcM; others not addressed,
Acer coriaceifolium,AM; no others,
Acer davidii,AM; others not addressed,
Acer davidii,AM; others not addressed,
Acer elegantulum,"EcM,AM",
Acer fabri,AM; no others,
Acer fabri,AM; no others,
Acer glabrum,non-mycorrhizal (checked for all types),
Acer henryi,AM; others not addressed,
Acer linganense,"EcM,AM",
Acer mandshuricum,EcM; others not addressed,
Acer miyabei submiaotaiense,AM; others not addressed,
Acer monspessulanum,AM; no others,
Acer negundo,AM; others not addressed,
Acer negundo,AM; others not addressed,
Acer negundo,AM; others not addressed,
Acer negundo,AM; others not addressed,
Acer negundo,AM; others not addressed,
Acer negundo,AM; others not addressed,
Acer negundo,AM; no others,
Acer negundo,AM; no others,
Acer negundo,AM; others not addressed,
Acer negundo,"EcM,AM",
Acer negundo,AM; no others,
Acer negundo,non-EcM; others not addressed,
Acer oblongum,AM; others not addressed,
Acer oliverianum,AM; others not addressed,
Acer palmatum,AM; others not addressed,
Acer palmatum,AM; others not addressed,
Acer pauciflorum,AM; others not addressed,
Acer pentapomicum,AM; others not addressed,
Acer pictum,AM; others not addressed,
Acer pictum,AM; others not addressed,
Acer pictum,non-mycorrhizal (checked for all types),
Acer pictum,AM; others not addressed,
Acer pictum,AM; others not addressed,
Acer platanoides,AM; others not addressed,
Acer platanoides,AM; others not addressed,
Acer platanoides,AM; others not addressed,
Acer platanoides,AM; others not addressed,
Acer platanoides,non-mycorrhizal (checked for all types),
Acer platanoides,AM; no others,
Acer platanoides,AM; others not addressed,
Acer platanoides,AM; others not addressed,
Acer platanoides,EcM; others not addressed,
Acer platanoides,non-mycorrhizal (checked for all types),
Acer platanoides,AM; others not addressed,
Acer platanoides,AM; others not addressed,
Acer platanoides,AM; others not addressed,
Acer platanoides,AM; others not addressed,
Acer platanoides,non-EcM; others not addressed,
Acer platanoides subturkestanicum,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,non-mycorrhizal (checked for all types),
Acer pseudoplatanus,non-mycorrhizal (checked for all types),
Acer pseudoplatanus,AM; no others,
Acer pseudoplatanus,non-EcM; others not addressed,
Acer pseudoplatanus,AM; no others,
Acer pseudoplatanus,AM; no others,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,non-mycorrhizal (checked for all types),
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,EcM; others not addressed,
Acer pseudoplatanus,EcM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,EcM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,EcM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudoplatanus,AM; others not addressed,
Acer pseudosieboldianum,AM; others not addressed,
Acer pseudosieboldianum,AM; others not addressed,
Acer pseudosieboldianum,non-mycorrhizal (checked for all types),
Acer rubrum,AM; others not addressed,
Acer rubrum,AM; others not addressed,
Acer rubrum,AM; no others,
Acer rubrum,AM; others not addressed,
Acer rubrum,AM; others not addressed,
Acer rubrum,AM; others not addressed,
Acer rubrum,AM; no others,
Acer rubrum,AM; no others,
Acer rubrum,AM; no others,
Acer rubrum,AM; no others,
Acer rubrum,AM; no others,
Acer rubrum,AM; others not addressed,
Acer rubrum,AM; others not addressed,
Acer saccharinum,AM; others not addressed,
Acer saccharinum,AM; no others,
Acer saccharinum,AM; no others,
Acer saccharinum,non-EcM; others not addressed,
Acer saccharum,AM; others not addressed,
Acer saccharum,AM; others not addressed,
Acer saccharum,AM; no others,
Acer saccharum,AM; no others,
Acer saccharum,AM; no others,
Acer saccharum,AM; others not addressed,
Acer saccharum,AM; others not addressed,
Acer saccharum,AM; others not addressed,
Acer saccharum,AM; others not addressed,
Acer saccharum,AM; no others,
Acer saccharum,AM; no others,
Acer saccharum,AM; others not addressed,
Acer saccharum,AM; others not addressed,
Acer sino-oblongum,AM; others not addressed,
Acer sinopurpurascens,AM; others not addressed,
Acer spicatum,AM; others not addressed,
Acer spicatum,AM; others not addressed,
Acer spicatum,AM; no others,
Acer tataricum,AM; others not addressed,
Acer tataricum,AM; others not addressed,
Acer tataricum,AM; no others,
Acer tataricum subginnala,AM; others not addressed,
Acer tataricum subginnala,AM; others not addressed,
Acer tataricum subginnala,AM; others not addressed,
Acer tataricum subginnala,AM; others not addressed,
Acer tataricum subsemenovii,AM; others not addressed,
Acer tataricum subsp. ginnala,non-EcM; others not addressed,
Acer tegmentosum,AM; others not addressed,
Acer tegmentosum,non-mycorrhizal (checked for all types),
"Achatocarpus
gracilis",EcM; others not addressed,
Achillea alpina,non-AM; others not addressed,
Achillea alpina,AM; others not addressed,
Achillea clavennae,AM; others not addressed,
Achillea lanulosa,AM; others not addressed,
Achillea macrocephala,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,non-mycorrhizal (checked for all types),
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; no others,
Achillea millefolium,AM; no others,
Achillea millefolium,AM; no others,
Achillea millefolium,AM; no others,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; no others,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,non-mycorrhizal (checked for all types),
Achillea millefolium,AM; others not addressed,
Achillea millefolium,non-mycorrhizal (checked for all types),
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,non-mycorrhizal (checked for all types),
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,AM; others not addressed,
Achillea millefolium,non-mycorrhizal (checked for all types),
Achillea millefolium,AM; no others,
Achillea millefolium,AM; no others,
Achillea nobilis,AM; others not addressed,
Achillea nobilis,AM; no others,
Achillea ptarmica,AM; others not addressed,
Achillea ptarmica,AM; no others,
Achillea ptarmica,AM; no others,
Achillea ptarmica,AM; no others,
Achillea ptarmica,non-mycorrhizal (checked for all types),
Achillea salicifolia,AM; no others,
Achillea tenuifolia,AM; no others,
Achillea tenuifolia,AM; no others,
Achlys triphylla,AM; others not addressed,
Achyranthes aspera,AM; others not addressed,
Achyranthes aspera,non-mycorrhizal (checked for all types),
Achyranthes aspera,non-mycorrhizal (checked for all types),
Achyranthes aspera,non-AM; others not addressed,
Achyranthes aspera,AM; others not addressed,
Achyranthes aspera,AM; others not addressed,
Achyranthes aspera,AM; others not addressed,
Achyranthes aspera,AM; others not addressed,
Achyranthes aspera,non-mycorrhizal (checked for all types),
Achyranthes aspera,non-mycorrhizal (checked for all types),
Achyranthes aspera,AM; others not addressed,
Achyranthes aspera,AM; others not addressed,
Achyranthes aspera,AM; others not addressed,
Achyranthes aspera,AM; others not addressed,
Achyranthes aspera,non-mycorrhizal (checked for all types),
Achyranthes aspera,AM; others not addressed,
Achyranthes aspera,non-mycorrhizal (checked for all types),
Achyranthes aspera,AM; no others,
Achyranthes aspera,AM; no others,
Achyranthes aspera,AM; no others,
Achyranthes aspera,non-mycorrhizal (checked for all types),
Achyranthes aspera,non-mycorrhizal (checked for all types),
Achyranthes bidentata,non-mycorrhizal (checked for all types),
Achyranthes bidentata,AM; others not addressed,
Achyranthes bidentata,non-mycorrhizal (checked for all types),
Achyranthes splendens,non-mycorrhizal (checked for all types),
Achyrocline satureioides,AM; no others,
Achyrocline satureioides,AM; others not addressed,
Achyrocline satureioides,AM; no others,
Achyrocline tomentosa,AM; no others,
Achyrocline tomentosa,AM; others not addressed,
Acianthera pantasmi,AM; no others,
Acianthus caudatus,OM,
Acinodendron hispidum,AM; others not addressed,
