Site,Plot,alpha,cover,allelos,lba,som,pH,amtrees,amcover,nvc,ms,flag
51,1,4,47.5,0,1.386227758,25.8,4.033,0,24,W15,em,t
51,2,5,93.5,3,0.979784209,11.9,4.97,832.5220532,202,W21,am,o
51,3,9,81.5,5,1.168279768,19.6,4.667,911.0618695,44,W21,am,o
51,4,5,4,6,1.456913593,13.8,4.599,612.6105675,203,W21,am,o
51,5,5,4,7,1.774999849,17.5,4.838,981.7477042,202,OV27,am,o
51,6,11,9,6,1.178097245,18.3,4.405,746.1282552,194,W21,am,o
51,7,4,3.5,5,2.020436775,16.3,4.617,1272.345025,203,OV27,am,o
51,8,4,4,5,1.333213382,15.8,4.702,1217.367153,203,OV27,am,o
51,9,3,3,3,1.374446786,15.9,3.978,416.2610266,204,W21,am,o
51,10,6,4.5,4,2.220713307,16.2,4.834,1138.827337,203,W21,am,o
51,11,3,3,5,1.843722189,14.6,4.718,1311.614933,183,OV27,am,o
51,12,11,7.5,5,1.541343896,13.1,4.707,1091.703447,203,OV27,am,o
51,13,5,4.5,4,1.358738823,11,4.495,565.4866776,202,W8,am,t
51,14,3,17,2,2.038108234,29,3.912,498.7278338,193,W21,am,o
51,15,5,46.5,4,3.310453259,19,4.162,1421.570676,112,OV27,am,o
51,16,6,4.5,5,1.755364895,23.9,4.065,918.9158512,192,W21,am,o
52,1,4,2,0,1.036725576,20.9,3.7,54.97787144,3,W16,em,t
52,2,13,51,1,1.582577299,17,3.9,51.05088062,42,W16,em,t
52,3,3,1.5,0,0.944441291,28.3,3.9,31.41592654,2,W16,em,t
52,4,1,0.5,0,0.606720081,30,3.9,39.26990817,0,W16,em,t
52,5,5,2.5,0,0.526216769,22.7,4,39.26990817,3,W16,em,t
52,6,8,63,0,0.561559687,15.3,3.9,31.41592654,63,W16,em,t
52,7,18,10.5,1,2.6939157,21.6,3.8,15.70796327,52,W10,em,t
52,8,10,34.5,1,0.594939109,13.8,3.9,66.75884389,52,W16,em,t
52,9,12,35.5,0,0.91106187,15.4,4.6,0,123,W10,em,t
52,10,11,100,0,2.228567289,17.2,3.8,39.26990817,10,W16,em,t
52,11,6,42,0,0.563523182,13.7,4.2,23.5619449,51,W16,em,t
52,12,9,73.5,0,0.541924733,14.3,4,0,42,W10,em,t
52,13,6,3,1,0.549778714,16.1,4,23.5619449,42,W16,em,t
52,14,9,64.5,1,0.787361659,16.9,3.7,70.68583471,62,W10,em,t
52,15,5,52.5,1,1.590431281,25.5,3.8,19.63495408,42,W10,em,t
52,16,4,81,0,0.801106127,19.5,4.2,15.70796327,83,W16,em,t
53,1,34,111.5,0,0.331830724,5.8,7.4,0,1,W6,d,w
53,2,31,129.5,,0.001963495,11.4,6.4,0,,W6,d,w
53,3,18,123.5,1,1.077958979,75.2,7.2,15.70796327,3,W6,d,w
53,4,15,111.5,4,1.990984344,42.8,7.4,298.4513021,0,OV27,am,o
53,5,19,105,7,2.334596041,5.8,4.4,306.3052837,12,OV27,am,o
53,6,14,139,7,2.525055095,39.3,7.7,243.4734307,2,OV27,am,o
53,7,16,57.5,5,0.581194641,8.5,6.9,145.2986602,3,OV27,am,o
53,8,20,46.5,4,3.89557489,15.4,4,164.9336143,30,W6,d,w
53,9,20,105,0,,14.1,5.9,,11,S5,am,w
53,10,15,72,3,2.415099352,10.7,6.4,62.83185307,102,W21,am,o
53,11,15,150.5,4,2.536836068,75.2,4,0,12,W6,d,w
53,12,15,140.5,7,1.829977721,33.5,6.8,98.17477042,4,OV27,am,o
53,13,20,140,0,2.448478774,80.4,6.1,0,14,W6,d,w
53,14,29,105,2,0.620464549,56.3,6.6,86.39379797,14,W6,d,w
53,15,19,99.5,4,0.824668072,51.8,6.8,223.8384766,4,W6,d,w
53,16,15,116.5,,1.386227758,16.6,7.4,0,,W6,d,w
54,1,15,127,0,0.600829595,12.1132,4.213,0,1,W10,em,t
54,2,7,96,0,0.001963495,9.14766,6.94,0,1,OV27,am,o
54,3,10,14.5,5,0.214021,10.42625,4.279,0,0,W10,em,t
54,5,9,112,0,0.946404787,14.6933,3.62,0,2,W10,em,t
54,6,6,62,0,0.765763209,12.26003,3.983,94.24777961,1,W10,em,t
54,7,13,116.5,0,0.180641578,71.41005,3.879,51.05088062,1,W10,em,t
54,8,5,66,0,,22.03821,3.457,,1,W22,am,a
54,9,8,68.5,0,0.430005494,17.80148,3.681,51.05088062,2,W10,em,t
54,10,5,47,0,1.806415776,19.56701,4.903,117.8097245,20,W10,em,t
54,11,8,72.5,0,1.733766446,15.74145,4.521,35.34291735,21,W10,em,t
54,12,9,67.5,0,1.246819584,16.2209,4.328,0,2,W10,em,t
54,13,3,45.5,0,2.187333885,16.08807,4.294,400.5530633,1,W10,em,t
54,14,7,77,1,0.846266521,14.06027,4.413,102.1017612,2,W14,em,t
54,15,14,79.5,1,1.309651437,14.65747,4.083,0,2,W10,em,t
54,16,13,64.5,0,0.441786467,15.57276,4.055,58.90486225,5,W10,em,t
55,1,11,29,4,0.361283155,13.42479,5.798,161.0066235,130,W21,am,o
55,2,19,73,5,0.653843971,10.67703,5.398,294.5243113,65,W8,am,t
55,3,16,79.5,5,0.913025365,11.801,5.631,196.3495408,20,W21,am,o
55,4,10,11.5,1,0.070685835,10.56187,6.832,15.70796327,162,MG1,am,o
55,5,8,27,1,0.092284284,76.01305,7.085,62.83185307,54,W21,am,o
55,6,6,23,3,2.214822821,9.321823,6.772,184.5685684,20,W8,am,t
55,8,7,25,5,0.333794219,71.4301,6.952,259.1813939,24,W10,em,t
55,9,9,31.5,5,0.345575192,29.74828,7.083,172.7875959,2,W21,am,o
55,10,18,66.5,3,0.031415927,60.23736,7.256,47.1238898,16,W8,am,t
55,11,12,46.5,5,0.392699082,31.50713,6.539,204.2035225,42,W21,am,o
55,12,12,13.5,3,0.268998871,42.3941,7.317,54.97787144,12,W21,am,o
55,13,11,8.5,2,0.376991118,15.13803,6.417,141.3716694,5,W21,am,o
55,14,12,38.5,7,2.580032967,23.69104,7.267,345.5751919,7,W21,am,o
55,15,6,88,,0.092284284,13.15446,5.467,106.0287521,,W21,am,o
55,16,9,35,1,5.022621255,12.41737,5.848,82.46680716,10,W10,em,t
56,1,5,101.5,3,2.102903582,9.256636,4.928,235.619449,2,W10,em,t
56,2,12,73.5,1,2.352267499,12.50841,4.819,74.61282552,14,W10,em,t
56,3,10,79.5,1,1.663080611,18.26829,4.69,43.19689899,42,W16,em,t
56,4,10,78.5,5,2.036144739,10.81564,4.792,314.1592654,25,OV27,am,o
56,5,11,85,0,2.729258618,9.596329,4.943,0,5,W8,am,t
56,6,12,105.5,8,1.140790832,6.849315,6.139,357.3561643,12,W8,am,t
