Site,Plot,Nest,cover,Amalgams,Yr,species,flag,alpha
40,6,3,100.0,920607.0,1,Dactylis glomerata,0.0,52
40,7,3,100.0,920607.0,1,Dactylis glomerata,0.0,45
40,8,1,5.0,920607.0,1,Dactylis glomerata,0.0,53
40,10,5,50.0,920607.0,1,Dactylis glomerata,0.0,47
40,11,4,50.0,920607.0,1,Dactylis glomerata,0.0,37
40,12,5,50.0,920607.0,1,Dactylis glomerata,0.0,52
40,16,2,50.0,920607.0,1,Dactylis glomerata,0.0,30
41,2,5,50.0,920607.0,1,Dactylis glomerata,0.0,40
41,3,3,100.0,920607.0,1,Dactylis glomerata,0.0,47
41,4,3,50.0,920607.0,1,Dactylis glomerata,0.0,44
41,5,2,50.0,920607.0,1,Dactylis glomerata,0.0,44
41,9,4,50.0,920607.0,1,Dactylis glomerata,0.0,39
41,11,3,100.0,920607.0,1,Dactylis glomerata,0.0,30
41,13,5,50.0,920607.0,1,Dactylis glomerata,0.0,61
41,16,2,100.0,920607.0,1,Dactylis glomerata,0.0,50
43,4,1,100.0,920607.0,1,Dactylis glomerata,0.0,26
43,5,3,50.0,920607.0,1,Dactylis glomerata,0.0,33
43,6,1,100.0,920607.0,1,Dactylis glomerata,0.0,43
43,8,1,100.0,920607.0,1,Dactylis glomerata,0.0,27
43,9,2,100.0,920607.0,1,Dactylis glomerata,0.0,33
43,10,5,50.0,920607.0,1,Dactylis glomerata,0.0,14
43,14,5,50.0,920607.0,1,Dactylis glomerata,0.0,36
44,4,1,5.0,920607.0,1,Dactylis glomerata,0.0,18
44,7,4,50.0,920607.0,1,Dactylis glomerata,0.0,26
45,1,4,100.0,920607.0,1,Dactylis glomerata,0.0,38
45,2,2,100.0,920607.0,1,Dactylis glomerata,0.0,14
45,7,1,5.0,920607.0,1,Dactylis glomerata,0.0,39
45,16,5,50.0,920607.0,1,Dactylis glomerata,0.0,14
46,1,1,50.0,920607.0,1,Dactylis glomerata,0.0,14
46,5,4,50.0,920607.0,1,Dactylis glomerata,0.0,17
