Site,Plot,Nest,cover,Amalgams,Yr,species,flag
43,9,2,1.0,920607.0,1,Dactylis glomerata,0.0
43,10,5,0.5,920607.0,1,Dactylis glomerata,0.0
43,14,5,0.5,920607.0,1,Dactylis glomerata,0.0
44,4,1,5.0,920607.0,1,Dactylis glomerata,0.0
44,7,4,0.5,920607.0,1,Dactylis glomerata,0.0
45,1,4,1.0,920607.0,1,Dactylis glomerata,0.0
45,2,2,1.0,920607.0,1,Dactylis glomerata,0.0
45,7,1,5.0,920607.0,1,Dactylis glomerata,0.0
45,16,5,0.5,920607.0,1,Dactylis glomerata,0.0
46,1,1,0.5,920607.0,1,Dactylis glomerata,0.0
46,5,4,0.5,920607.0,1,Dactylis glomerata,0.0
46,6,2,1.0,920607.0,1,Dactylis glomerata,0.0
46,8,2,1.0,920607.0,1,Dactylis glomerata,0.0
46,10,3,1.0,920607.0,1,Dactylis glomerata,0.0
46,12,1,0.5,920607.0,1,Dactylis glomerata,0.0
46,13,1,1.0,920607.0,1,Dactylis glomerata,0.0
46,15,4,1.0,920607.0,1,Dactylis glomerata,0.0
47,16,4,0.5,920607.0,1,Dactylis glomerata,0.0
48,2,5,0.5,920607.0,1,Dactylis glomerata,0.0
48,4,5,0.5,920607.0,1,Dactylis glomerata,0.0
48,14,2,0.5,920607.0,1,Dactylis glomerata,0.0
50,6,4,1.0,920607.0,1,Dactylis glomerata,0.0
50,7,4,1.0,920607.0,1,Dactylis glomerata,0.0
50,16,5,0.5,920607.0,1,Dactylis glomerata,0.0
52,15,3,0.5,920607.0,1,Dactylis glomerata,0.0
53,1,2,0.5,920607.0,1,Dactylis glomerata,0.0
53,2,1,1.0,920607.0,1,Dactylis glomerata,0.0
53,8,2,0.5,920607.0,1,Dactylis glomerata,0.0
54,7,1,20.0,920607.0,1,Dactylis glomerata,0.0
54,12,4,10.0,920607.0,1,Dactylis glomerata,0.0
54,14,4,5.0,920607.0,1,Dactylis glomerata,0.0
55,1,1,1.0,920607.0,1,Dactylis glomerata,0.0
55,2,1,5.0,920607.0,1,Dactylis glomerata,0.0
55,3,5,1.0,920607.0,1,Dactylis glomerata,0.0
55,4,2,1.0,920607.0,1,Dactylis glomerata,0.0
55,5,4,0.5,920607.0,1,Dactylis glomerata,0.0
55,7,3,1.0,920607.0,1,Dactylis glomerata,0.0
55,9,2,1.0,920607.0,1,Dactylis glomerata,0.0
55,11,2,1.0,920607.0,1,Dactylis glomerata,0.0
55,12,1,10.0,920607.0,1,Dactylis glomerata,0.0
55,14,1,15.0,920607.0,1,Dactylis glomerata,0.0
55,15,5,1.0,920607.0,1,Dactylis glomerata,0.0
56,9,5,0.5,920607.0,1,Dactylis glomerata,0.0
57,1,5,1.0,920607.0,1,Dactylis glomerata,0.0
57,2,1,1.0,920607.0,1,Dactylis glomerata,0.0
57,6,1,5.0,920607.0,1,Dactylis glomerata,0.0
57,7,1,1.0,920607.0,1,Dactylis glomerata,0.0
57,9,1,1.0,920607.0,1,Dactylis glomerata,0.0
57,12,1,1.0,920607.0,1,Dactylis glomerata,0.0
57,16,5,1.0,920607.0,1,Dactylis glomerata,0.0
58,1,1,5.0,920607.0,1,Dactylis glomerata,0.0
58,2,1,1.0,920607.0,1,Dactylis glomerata,0.0
58,3,4,0.5,920607.0,1,Dactylis glomerata,0.0
58,4,3,0.5,920607.0,1,Dactylis glomerata,0.0
58,7,4,1.0,920607.0,1,Dactylis glomerata,0.0
58,8,3,1.0,920607.0,1,Dactylis glomerata,0.0
58,9,5,0.5,920607.0,1,Dactylis glomerata,0.0
58,12,4,0.5,920607.0,1,Dactylis glomerata,0.0
58,13,1,0.5,920607.0,1,Dactylis glomerata,0.0
58,15,2,0.5,920607.0,1,Dactylis glomerata,0.0
59,2,5,0.5,920607.0,1,Dactylis glomerata,0.0
59,8,3,0.5,920607.0,1,Dactylis glomerata,0.0
60,1,5,0.5,920607.0,1,Dactylis glomerata,0.0
60,4,5,0.5,920607.0,1,Dactylis glomerata,0.0
60,7,4,0.5,920607.0,1,Dactylis glomerata,0.0
60,16,4,0.5,920607.0,1,Dactylis glomerata,0.0
61,8,5,0.5,920607.0,1,Dactylis glomerata,0.0
62,2,4,0.5,920607.0,1,Dactylis glomerata,0.0
63,1,1,1.0,920607.0,1,Dactylis glomerata,0.0
63,2,2,1.0,920607.0,1,Dactylis glomerata,0.0
63,3,1,1.0,920607.0,1,Dactylis glomerata,0.0
63,5,1,1.0,920607.0,1,Dactylis glomerata,0.0
63,12,4,1.0,920607.0,1,Dactylis glomerata,0.0
63,16,1,1.0,920607.0,1,Dactylis glomerata,0.0
65,1,5,0.5,920607.0,1,Dactylis glomerata,0.0
65,2,1,0.5,920607.0,1,Dactylis glomerata,0.0
66,2,5,1.0,920607.0,1,Dactylis glomerata,0.0
66,7,1,0.5,920607.0,1,Dactylis glomerata,0.0
66,9,3,0.5,920607.0,1,Dactylis glomerata,0.0
66,15,2,1.0,920607.0,1,Dactylis glomerata,0.0
67,4,1,1.0,920607.0,1,Dactylis glomerata,0.0
67,7,5,0.5,920607.0,1,Dactylis glomerata,0.0
67,13,5,0.5,920607.0,1,Dactylis glomerata,0.0
68,10,1,1.0,920607.0,1,Dactylis glomerata,0.0
68,11,4,0.5,920607.0,1,Dactylis glomerata,0.0
68,12,5,0.5,920607.0,1,Dactylis glomerata,0.0
68,13,1,0.5,920607.0,1,Dactylis glomerata,0.0
69,8,2,0.5,920607.0,1,Dactylis glomerata,0.0
69,14,3,1.0,920607.0,1,Dactylis glomerata,0.0
69,15,5,0.5,920607.0,1,Dactylis glomerata,0.0
70,1,4,0.5,920607.0,1,Dactylis glomerata,0.0
70,6,2,0.5,920607.0,1,Dactylis glomerata,0.0
70,8,4,0.5,920607.0,1,Dactylis glomerata,0.0
70,9,2,1.0,920607.0,1,Dactylis glomerata,0.0
70,12,2,0.5,920607.0,1,Dactylis glomerata,0.0
70,13,1,1.0,920607.0,1,Dactylis glomerata,0.0
70,14,3,0.5,920607.0,1,Dactylis glomerata,0.0
72,2,4,0.5,920607.0,1,Dactylis glomerata,0.0
72,4,5,0.5,920607.0,1,Dactylis glomerata,0.0
72,9,2,0.5,920607.0,1,Dactylis glomerata,0.0
72,10,1,0.5,920607.0,1,Dactylis glomerata,0.0
73,4,2,0.5,920607.0,1,Dactylis glomerata,0.0
75,3,4,1.0,920607.0,1,Dactylis glomerata,0.0
75,4,1,1.0,920607.0,1,Dactylis glomerata,0.0
75,5,3,0.5,920607.0,1,Dactylis glomerata,0.0
75,7,3,0.5,920607.0,1,Dactylis glomerata,0.0
75,8,1,1.0,920607.0,1,Dactylis glomerata,0.0
75,9,5,0.5,920607.0,1,Dactylis glomerata,0.0
75,10,1,1.0,920607.0,1,Dactylis glomerata,0.0
75,12,2,1.0,920607.0,1,Dactylis glomerata,0.0
75,13,1,1.0,920607.0,1,Dactylis glomerata,0.0
75,14,1,1.0,920607.0,1,Dactylis glomerata,0.0
75,15,5,0.5,920607.0,1,Dactylis glomerata,0.0
75,16,1,1.0,920607.0,1,Dactylis glomerata,0.0
77,5,2,0.5,920607.0,1,Dactylis glomerata,0.0
77,15,3,0.5,920607.0,1,Dactylis glomerata,0.0
79,15,2,0.5,920607.0,1,Dactylis glomerata,0.0
81,6,2,5.0,920607.0,1,Dactylis glomerata,0.0
81,7,5,0.5,920607.0,1,Dactylis glomerata,0.0
82,5,2,1.0,920607.0,1,Dactylis glomerata,0.0
82,5,4,0.5,920607.0,1,Dactylis glomerata,0.0
82,6,2,0.5,920607.0,1,Dactylis glomerata,0.0
82,8,4,0.5,920607.0,1,Dactylis glomerata,0.0
82,10,2,0.5,920607.0,1,Dactylis glomerata,0.0
82,15,3,0.5,920607.0,1,Dactylis glomerata,0.0
83,1,4,1.0,920607.0,1,Dactylis glomerata,0.0
83,2,2,1.0,920607.0,1,Dactylis glomerata,0.0
83,4,2,1.0,920607.0,1,Dactylis glomerata,0.0
83,5,5,1.0,920607.0,1,Dactylis glomerata,0.0
83,6,1,1.0,920607.0,1,Dactylis glomerata,0.0
83,7,5,0.5,920607.0,1,Dactylis glomerata,0.0
83,8,1,1.0,920607.0,1,Dactylis glomerata,0.0
83,9,1,1.0,920607.0,1,Dactylis glomerata,0.0
83,10,1,1.0,920607.0,1,Dactylis glomerata,0.0
83,14,1,1.0,920607.0,1,Dactylis glomerata,0.0
83,16,1,1.0,920607.0,1,Dactylis glomerata,0.0
85,7,4,0.5,920607.0,1,Dactylis glomerata,0.0
85,8,1,5.0,920607.0,1,Dactylis glomerata,0.0
85,12,2,1.0,920607.0,1,Dactylis glomerata,0.0
85,13,5,0.5,920607.0,1,Dactylis glomerata,0.0
85,14,2,1.0,920607.0,1,Dactylis glomerata,0.0
85,15,3,1.0,920607.0,1,Dactylis glomerata,0.0
86,9,2,0.5,920607.0,1,Dactylis glomerata,0.0
86,11,5,0.5,920607.0,1,Dactylis glomerata,0.0
86,16,4,0.5,920607.0,1,Dactylis glomerata,0.0
87,5,1,1.0,920607.0,1,Dactylis glomerata,0.0
87,7,1,1.0,920607.0,1,Dactylis glomerata,0.0
87,8,1,1.0,920607.0,1,Dactylis glomerata,0.0
87,9,3,1.0,920607.0,1,Dactylis glomerata,0.0
87,10,1,20.0,920607.0,1,Dactylis glomerata,0.0
87,11,1,10.0,920607.0,1,Dactylis glomerata,0.0
87,12,1,1.0,920607.0,1,Dactylis glomerata,0.0
88,1,3,0.5,920607.0,1,Dactylis glomerata,0.0
89,11,4,0.5,920607.0,1,Dactylis glomerata,0.0
91,3,1,5.0,920607.0,1,Dactylis glomerata,0.0
92,5,2,1.0,920607.0,1,Dactylis glomerata,0.0
92,11,1,1.0,920607.0,1,Dactylis glomerata,0.0
92,14,2,1.0,920607.0,1,Dactylis glomerata,0.0
93,6,1,1.0,920607.0,1,Dactylis glomerata,0.0
93,8,2,0.5,920607.0,1,Dactylis glomerata,0.0
94,2,5,0.5,920607.0,1,Dactylis glomerata,0.0
94,5,4,0.5,920607.0,1,Dactylis glomerata,0.0
96,5,2,5.0,920607.0,1,Dactylis glomerata,0.0
97,5,1,0.5,920607.0,1,Dactylis glomerata,0.0
97,7,2,1.0,920607.0,1,Dactylis glomerata,0.0
97,9,1,10.0,920607.0,1,Dactylis glomerata,0.0
98,8,4,0.5,920607.0,1,Dactylis glomerata,0.0
98,11,2,1.0,920607.0,1,Dactylis glomerata,0.0
98,15,1,1.0,920607.0,1,Dactylis glomerata,0.0
98,16,1,0.5,920607.0,1,Dactylis glomerata,0.0
99,4,1,1.0,920607.0,1,Dactylis glomerata,0.0
99,7,5,0.5,920607.0,1,Dactylis glomerata,0.0
100,1,3,1.0,920607.0,1,Dactylis glomerata,0.0
101,11,1,80.0,920607.0,1,Dactylis glomerata,0.0
103,8,1,1.0,920607.0,1,Dactylis glomerata,0.0
103,9,2,1.0,920607.0,1,Dactylis glomerata,0.0
103,11,3,1.0,920607.0,1,Dactylis glomerata,0.0
103,12,4,0.5,920607.0,1,Dactylis glomerata,0.0
103,14,3,0.5,920607.0,1,Dactylis glomerata,0.0
1,9,4,0.5,920607.0,2,Dactylis glomerata,0.0
1,12,3,0.5,920607.0,2,Dactylis glomerata,0.0
1,14,1,0.5,920607.0,2,Dactylis glomerata,0.0
3,5,5,0.5,920607.0,2,Dactylis glomerata,0.0
3,6,1,1.0,920607.0,2,Dactylis glomerata,0.0
3,7,1,0.5,920607.0,2,Dactylis glomerata,0.0
4,1,4,0.5,920607.0,2,Dactylis glomerata,0.0
4,9,1,20.0,920607.0,2,Dactylis glomerata,0.0
4,11,2,5.0,920607.0,2,Dactylis glomerata,0.0
4,12,2,15.0,920607.0,2,Dactylis glomerata,0.0
5,2,4,0.5,920607.0,2,Dactylis glomerata,0.0
5,6,4,1.0,920607.0,2,Dactylis glomerata,0.0
5,7,5,0.5,920607.0,2,Dactylis glomerata,0.0
6,16,5,1.0,920607.0,2,Dactylis glomerata,0.0
7,9,1,5.0,920607.0,2,Dactylis glomerata,0.0
7,10,1,5.0,920607.0,2,Dactylis glomerata,0.0
7,11,1,10.0,920607.0,2,Dactylis glomerata,0.0
7,13,1,10.0,920607.0,2,Dactylis glomerata,0.0
8,1,1,7.0,920607.0,2,Dactylis glomerata,0.0
8,7,1,0.5,920607.0,2,Dactylis glomerata,0.0
8,8,3,0.5,920607.0,2,Dactylis glomerata,0.0
8,16,2,0.5,920607.0,2,Dactylis glomerata,0.0
10,11,2,0.5,920607.0,2,Dactylis glomerata,0.0
10,13,1,0.5,920607.0,2,Dactylis glomerata,0.0
11,8,2,0.5,920607.0,2,Dactylis glomerata,0.0
12,2,4,1.0,920607.0,2,Dactylis glomerata,0.0
12,4,1,1.0,920607.0,2,Dactylis glomerata,0.0
13,8,3,1.0,920607.0,2,Dactylis glomerata,0.0
13,10,3,0.5,920607.0,2,Dactylis glomerata,0.0
17,10,3,0.5,920607.0,2,Dactylis glomerata,0.0
18,6,4,1.0,920607.0,2,Dactylis glomerata,0.0
18,15,1,1.0,920607.0,2,Dactylis glomerata,0.0
18,16,1,1.0,920607.0,2,Dactylis glomerata,0.0
19,15,5,1.0,920607.0,2,Dactylis glomerata,0.0
20,1,3,0.5,920607.0,2,Dactylis glomerata,0.0
20,4,1,0.5,920607.0,2,Dactylis glomerata,0.0
20,11,5,0.5,920607.0,2,Dactylis glomerata,0.0
22,3,5,0.5,920607.0,2,Dactylis glomerata,0.0
22,14,5,1.0,920607.0,2,Dactylis glomerata,0.0
23,1,2,1.0,920607.0,2,Dactylis glomerata,0.0
23,11,3,1.0,920607.0,2,Dactylis glomerata,0.0
23,13,3,1.0,920607.0,2,Dactylis glomerata,0.0
23,15,2,1.0,920607.0,2,Dactylis glomerata,0.0
24,1,4,1.0,920607.0,2,Dactylis glomerata,0.0
24,3,2,1.0,920607.0,2,Dactylis glomerata,0.0
24,4,1,5.0,920607.0,2,Dactylis glomerata,0.0
24,11,1,0.5,920607.0,2,Dactylis glomerata,0.0
29,4,3,0.5,920607.0,2,Dactylis glomerata,0.0
29,7,5,0.5,920607.0,2,Dactylis glomerata,0.0
35,7,1,0.5,920607.0,2,Dactylis glomerata,0.0
36,3,1,1.0,920607.0,2,Dactylis glomerata,0.0
36,16,2,1.0,920607.0,2,Dactylis glomerata,0.0
37,9,1,20.0,920607.0,2,Dactylis glomerata,0.0
37,11,3,0.5,920607.0,2,Dactylis glomerata,0.0
38,6,5,0.5,920607.0,2,Dactylis glomerata,0.0
38,7,1,1.0,920607.0,2,Dactylis glomerata,0.0
38,13,5,0.5,920607.0,2,Dactylis glomerata,0.0
38,14,4,0.5,920607.0,2,Dactylis glomerata,0.0
38,15,5,0.5,920607.0,2,Dactylis glomerata,0.0
38,16,3,0.5,920607.0,2,Dactylis glomerata,0.0
39,2,3,0.5,920607.0,2,Dactylis glomerata,0.0
39,7,1,5.0,920607.0,2,Dactylis glomerata,0.0
39,10,5,1.0,920607.0,2,Dactylis glomerata,0.0
39,14,1,5.0,920607.0,2,Dactylis glomerata,0.0
39,15,1,5.0,920607.0,2,Dactylis glomerata,0.0
39,16,1,5.0,920607.0,2,Dactylis glomerata,0.0
40,3,2,0.5,920607.0,2,Dactylis glomerata,0.0
40,4,1,50.0,920607.0,2,Dactylis glomerata,0.0
40,5,1,5.0,920607.0,2,Dactylis glomerata,0.0
40,8,1,5.0,920607.0,2,Dactylis glomerata,0.0
40,9,4,0.5,920607.0,2,Dactylis glomerata,0.0
40,10,1,1.0,920607.0,2,Dactylis glomerata,0.0
40,15,2,1.0,920607.0,2,Dactylis glomerata,0.0
40,16,1,5.0,920607.0,2,Dactylis glomerata,0.0
41,1,1,5.0,920607.0,2,Dactylis glomerata,0.0
41,2,1,5.0,920607.0,2,Dactylis glomerata,0.0
41,5,1,5.0,920607.0,2,Dactylis glomerata,0.0
41,6,1,1.0,920607.0,2,Dactylis glomerata,0.0
41,7,1,5.0,920607.0,2,Dactylis glomerata,0.0
41,8,1,5.0,920607.0,2,Dactylis glomerata,0.0
41,9,1,5.0,920607.0,2,Dactylis glomerata,0.0
41,10,1,5.0,920607.0,2,Dactylis glomerata,0.0
41,11,1,5.0,920607.0,2,Dactylis glomerata,0.0
41,12,1,10.0,920607.0,2,Dactylis glomerata,0.0
41,13,1,5.0,920607.0,2,Dactylis glomerata,0.0
41,15,1,5.0,920607.0,2,Dactylis glomerata,0.0
43,6,2,5.0,920607.0,2,Dactylis glomerata,0.0
43,8,1,5.0,920607.0,2,Dactylis glomerata,0.0
43,16,3,0.5,920607.0,2,Dactylis glomerata,0.0
44,3,1,5.0,920607.0,2,Dactylis glomerata,0.0
44,9,2,5.0,920607.0,2,Dactylis glomerata,0.0
46,6,3,1.0,920607.0,2,Dactylis glomerata,0.0
46,12,5,0.5,920607.0,2,Dactylis glomerata,0.0
47,14,2,5.0,920607.0,2,Dactylis glomerata,0.0
47,16,1,5.0,920607.0,2,Dactylis glomerata,0.0
49,8,5,1.0,920607.0,2,Dactylis glomerata,0.0
50,2,2,0.5,920607.0,2,Dactylis glomerata,0.0
50,3,4,0.5,920607.0,2,Dactylis glomerata,0.0
50,4,2,1.0,920607.0,2,Dactylis glomerata,0.0
50,5,1,5.0,920607.0,2,Dactylis glomerata,0.0
50,7,5,0.5,920607.0,2,Dactylis glomerata,0.0
50,12,4,0.5,920607.0,2,Dactylis glomerata,0.0
50,15,3,1.0,920607.0,2,Dactylis glomerata,0.0
52,9,5,0.5,920607.0,2,Dactylis glomerata,0.0
53,1,5,0.5,920607.0,2,Dactylis glomerata,0.0
53,8,5,0.5,920607.0,2,Dactylis glomerata,0.0
54,1,3,1.0,920607.0,2,Dactylis glomerata,0.0
54,2,1,25.0,920607.0,2,Dactylis glomerata,0.0
56,13,5,0.5,920607.0,2,Dactylis glomerata,0.0
56,14,3,1.0,920607.0,2,Dactylis glomerata,0.0
58,1,1,10.0,920607.0,2,Dactylis glomerata,0.0
58,2,2,1.0,920607.0,2,Dactylis glomerata,0.0
58,3,1,1.0,920607.0,2,Dactylis glomerata,0.0
58,4,2,10.0,920607.0,2,Dactylis glomerata,0.0
58,11,1,10.0,920607.0,2,Dactylis glomerata,0.0
58,16,1,1.0,920607.0,2,Dactylis glomerata,0.0
60,6,4,1.0,920607.0,2,Dactylis glomerata,0.0
60,14,5,0.5,920607.0,2,Dactylis glomerata,0.0
62,7,3,5.0,920607.0,2,Dactylis glomerata,0.0
62,8,1,50.0,920607.0,2,Dactylis glomerata,0.0
63,1,4,0.5,920607.0,2,Dactylis glomerata,0.0
63,12,3,0.5,920607.0,2,Dactylis glomerata,0.0
63,16,1,15.0,920607.0,2,Dactylis glomerata,0.0
64,16,2,5.0,920607.0,2,Dactylis glomerata,0.0
66,9,5,0.5,920607.0,2,Dactylis glomerata,0.0
66,12,4,0.5,920607.0,2,Dactylis glomerata,0.0
67,4,2,5.0,920607.0,2,Dactylis glomerata,0.0
68,15,1,0.5,920607.0,2,Dactylis glomerata,0.0
70,1,2,10.0,920607.0,2,Dactylis glomerata,0.0
70,13,4,0.5,920607.0,2,Dactylis glomerata,0.0
70,14,1,30.0,920607.0,2,Dactylis glomerata,0.0
71,1,5,0.5,920607.0,2,Dactylis glomerata,0.0
72,1,2,1.0,920607.0,2,Dactylis glomerata,0.0
73,2,2,0.5,920607.0,2,Dactylis glomerata,0.0
73,4,3,0.5,920607.0,2,Dactylis glomerata,0.0
74,1,5,0.5,920607.0,2,Dactylis glomerata,0.0
75,8,1,5.0,920607.0,2,Dactylis glomerata,0.0
75,11,2,1.0,920607.0,2,Dactylis glomerata,0.0
75,12,2,0.5,920607.0,2,Dactylis glomerata,0.0
77,4,2,0.5,920607.0,2,Dactylis glomerata,0.0
79,15,4,0.5,920607.0,2,Dactylis glomerata,0.0
81,8,2,5.0,920607.0,2,Dactylis glomerata,0.0
81,9,1,0.5,920607.0,2,Dactylis glomerata,0.0
81,12,5,0.5,920607.0,2,Dactylis glomerata,0.0
81,14,1,0.5,920607.0,2,Dactylis glomerata,0.0
81,15,1,0.5,920607.0,2,Dactylis glomerata,0.0
83,6,3,0.5,920607.0,2,Dactylis glomerata,0.0
83,7,5,1.0,920607.0,2,Dactylis glomerata,0.0
83,8,5,0.5,920607.0,2,Dactylis glomerata,0.0
83,12,1,1.0,920607.0,2,Dactylis glomerata,0.0
83,13,3,0.5,920607.0,2,Dactylis glomerata,0.0
83,14,5,0.5,920607.0,2,Dactylis glomerata,0.0
83,15,1,1.0,920607.0,2,Dactylis glomerata,0.0
85,12,5,1.0,920607.0,2,Dactylis glomerata,0.0
85,15,3,1.0,920607.0,2,Dactylis glomerata,0.0
86,7,1,1.0,920607.0,2,Dactylis glomerata,0.0
87,2,5,0.5,920607.0,2,Dactylis glomerata,0.0
87,5,2,1.0,920607.0,2,Dactylis glomerata,0.0
87,7,2,1.0,920607.0,2,Dactylis glomerata,0.0
87,11,1,10.0,920607.0,2,Dactylis glomerata,0.0
87,12,3,1.0,920607.0,2,Dactylis glomerata,0.0
94,12,4,0.5,920607.0,2,Dactylis glomerata,0.0
95,4,2,0.5,920607.0,2,Dactylis glomerata,0.0
96,5,4,0.5,920607.0,2,Dactylis glomerata,0.0
97,5,2,0.5,920607.0,2,Dactylis glomerata,0.0
98,1,5,0.5,920607.0,2,Dactylis glomerata,0.0
98,9,5,0.5,920607.0,2,Dactylis glomerata,0.0
98,10,2,5.0,920607.0,2,Dactylis glomerata,0.0
