,species,mycorrhiza
216,Acacia dimidiata,AM
217,Acacia dunnii,AM
218,Acacia extensa,AM
219,Acacia extensa,AM
220,Acacia extensa,AM
221,Acacia floribunda,AM
222,Acacia floribunda,AM
223,Acacia gonocarpa,dual
224,Acacia gonocarpa,AM
225,Acacia hemignosta,AM
226,Acacia hilliana,dual
227,Acacia hippuroides,dual
228,Acacia holosericea,AM
229,Acacia holosericea,dual
230,Acacia holosericea,AM
231,Acacia holosericea,AM
232,Acacia holosericea,EcM
233,Acacia holosericea,dual
234,Acacia holosericea,AM
235,Acacia holosericea,dual
236,Acacia holosericea,AM
237,Acacia holosericea,dual
238,Acacia holosericea,dual
239,Acacia holosericea,dual
240,Acacia holosericea,dual
241,Acacia implexa,dual
242,Acacia implexa,EcM
243,Acacia inaequilatera,AM
244,Acacia jamesiana,AM
245,Acacia koa,AM
246,Acacia koa,AM
247,Acacia lasiocarpa,AM
248,Acacia latescens,AM
249,Acacia latescens,AM
250,Acacia latescens,AM
251,Acacia latescens,dual
252,Acacia leptocarpa,AM
253,Acacia ligulata,AM
254,Acacia linifolia,dual
255,Acacia linifolia,AM
256,Acacia lysiphloia,dual
257,Acacia mangium,AM
258,Acacia mangium,AM
259,Acacia mangium,dual
260,Acacia mangium,dual
261,Acacia mangium,AM
262,Acacia mangium,dual
263,Acacia mangium,AM
264,Acacia mangium,AM
265,Acacia mangium,AM
266,Acacia mangium,EcM
267,Acacia mangium,EcM
268,Acacia mangium,AM
269,Acacia mangium,AM
270,Acacia mearnsii,AM
271,Acacia mearnsii,AM
272,Acacia mearnsii,dual
273,Acacia mearnsii,AM
274,Acacia melanoxylon,EcM
275,Acacia melanoxylon,dual
276,Acacia melanoxylon,EcM
277,Acacia melanoxylon,EcM
278,Acacia melanoxylon,non-EcM
279,Acacia melanoxylon,non-EcM
280,Acacia mimula,dual
281,Acacia mimula,dual
282,Acacia mimula,AM
283,Acacia mimula,dual
284,Acacia minutifolia,AM
285,Acacia mitchellii,EcM
286,Acacia mitchellii,EcM
287,Acacia mitchellii,EcM
288,Acacia monticola,dual
289,Acacia mountfordiae,dual
290,Acacia mountfordiae,AM
291,Acacia myrtifolia,dual
292,Acacia myrtifolia,dual
