Site,Plot,Yr,Amalgams,cover
5,4,2,9201728.0,45.0
5,5,1,9201728.0,40.0
5,5,2,9201728.0,30.0
5,6,1,9201728.0,30.0
5,6,2,9201728.0,5.0
5,7,1,9201728.0,1.0
5,7,2,9201728.0,5.0
5,8,1,9201728.0,75.0
5,8,2,9201728.0,0.5
5,9,1,9201728.0,0.5
5,10,1,9201728.0,0.5
5,11,1,9201728.0,0.5
5,12,1,9201728.0,1.0
5,13,1,9201728.0,0.5
5,14,1,9201728.0,0.5
5,15,1,9201728.0,1.0
5,15,2,9201728.0,0.5
5,16,1,9201728.0,1.0
5,16,2,9201023.0,0.5
5,16,2,9201728.0,25.0
6,1,1,9201023.0,0.5
6,1,1,9201728.0,60.0
6,1,2,9201023.0,1.0
6,1,2,9201728.0,0.5
6,2,1,9201023.0,0.5
6,2,1,9201615.0,0.5
6,2,1,9201728.0,5.0
6,2,2,9201728.0,5.0
6,3,1,9201023.0,0.5
6,3,1,9201728.0,5.0
6,3,2,9201023.0,0.5
6,3,2,9201728.0,5.0
6,4,1,9201023.0,0.5
6,4,1,9201728.0,5.0
6,4,2,9201023.0,1.0
6,4,2,9201728.0,50.0
6,5,1,9201023.0,0.5
6,5,1,9201728.0,10.0
6,5,2,9201023.0,1.0
6,5,2,9201728.0,50.0
6,6,1,9201728.0,90.0
6,6,2,9201023.0,0.5
6,6,2,9201728.0,0.5
6,7,1,9201023.0,0.5
6,7,1,9201728.0,20.0
6,7,2,9201023.0,1.0
6,7,2,9201728.0,0.5
6,8,1,9201728.0,65.0
6,8,2,9201023.0,5.0
6,8,2,9201728.0,5.0
6,9,1,9201023.0,0.5
6,9,1,9201728.0,50.0
6,9,2,9201023.0,1.0
6,9,2,9201728.0,0.5
6,10,1,9201023.0,0.5
6,10,1,9201728.0,75.0
6,10,2,9201728.0,0.5
6,11,1,9201728.0,70.0
6,11,2,9201728.0,5.0
6,12,1,9201023.0,0.5
6,12,1,9201728.0,65.0
6,12,2,9201728.0,25.0
6,13,1,9201728.0,60.0
6,13,2,9201023.0,0.5
6,13,2,9201728.0,1.0
6,14,1,9201728.0,10.0
6,14,2,9201728.0,10.0
6,15,1,9201728.0,10.0
6,15,2,9201023.0,0.5
6,15,2,9201728.0,20.0
6,16,1,9201023.0,0.5
6,16,1,9201728.0,25.0
6,16,2,9201023.0,0.5
6,16,2,9201728.0,60.0
7,1,1,9201728.0,1.0
7,1,2,9201023.0,0.5
7,1,2,9201728.0,0.5
7,2,1,9201728.0,1.0
7,2,2,9201728.0,0.5
7,3,1,9201728.0,25.0
7,3,2,9201728.0,0.5
7,4,1,9201728.0,1.0
7,4,1,9201815.0,0.5
7,4,2,9201728.0,1.0
7,5,1,9201728.0,1.0
7,5,2,9201023.0,0.5
7,5,2,9201728.0,0.5
7,6,1,9201728.0,5.0
7,6,2,9201728.0,1.0
7,7,1,9201728.0,0.5
7,8,1,9201023.0,0.5
7,8,1,9201728.0,1.0
7,8,2,9201728.0,1.0
7,9,1,9201728.0,1.0
7,9,2,9201728.0,15.0
7,11,1,9201728.0,1.0
7,12,1,9201728.0,1.0
7,12,1,9201815.0,0.5
7,12,2,9201728.0,1.0
7,13,1,9201728.0,0.5
7,14,1,9201023.0,0.5
7,14,1,9201728.0,5.0
7,14,2,9201023.0,0.5
7,14,2,9201728.0,1.0
7,15,1,9201728.0,10.0
7,15,2,9201023.0,0.5
7,15,2,9201728.0,1.0
7,16,1,9201728.0,5.0
7,16,2,9201023.0,0.5
7,16,2,9201728.0,0.5
8,1,1,9201728.0,5.0
8,1,2,9201728.0,35.0
8,2,1,9201728.0,5.0
8,2,1,9201815.0,0.5
8,2,2,9201728.0,60.0
8,3,1,9201728.0,1.0
8,3,2,9201728.0,15.5
8,4,1,9201728.0,20.0
8,4,2,9201728.0,10.0
8,5,1,9201728.0,1.0
8,5,2,9201728.0,35.0
8,6,1,9201728.0,5.0
8,6,2,9201728.0,30.0
8,7,1,9201728.0,20.0
8,7,2,9201728.0,0.5
8,8,1,9201728.0,20.0
8,8,2,9201728.0,10.0
8,9,1,9201728.0,10.0
8,9,1,9201815.0,0.5
8,9,2,9201728.0,60.0
8,10,1,9201728.0,1.0
8,10,2,9201728.0,4.0
8,11,2,9201728.0,0.5
8,12,2,9201728.0,2.0
8,13,1,9201728.0,1.0
8,13,2,9201728.0,10.0
8,13,2,9201815.0,1.0
8,14,1,9201728.0,40.0
8,14,2,9201728.0,2.0
8,16,1,9201728.0,0.5
8,16,2,9201728.0,10.0
9,1,1,9201728.0,5.0
9,1,2,9201728.0,5.0
9,2,1,9201728.0,5.0
9,2,2,9201728.0,10.0
9,4,1,9201728.0,1.0
9,4,2,9201728.0,5.0
9,5,1,9201728.0,10.0
9,6,1,9201728.0,5.0
9,6,2,9201023.0,0.5
9,6,2,9201728.0,10.0
9,7,1,9201728.0,10.0
9,7,2,9201728.0,0.5
9,8,1,9201728.0,5.0
9,8,2,9201728.0,5.0
9,9,1,9201728.0,10.0
9,9,2,9201728.0,10.0
9,10,1,9201728.0,0.5
9,10,2,9201728.0,5.0
9,11,1,9201728.0,10.0
9,12,1,9201728.0,35.0
9,12,2,9201728.0,5.0
9,13,1,9201728.0,1.0
9,13,2,9201728.0,10.0
9,14,1,9201728.0,0.5
9,15,1,9201728.0,0.5
9,15,2,9201728.0,15.0
9,16,1,9201728.0,0.5
9,16,1,9201815.0,0.5
9,16,2,9201728.0,60.0
10,1,1,9201728.0,10.0
10,1,1,9201815.0,1.0
10,2,1,9201728.0,60.0
10,2,2,9201728.0,1.0
10,3,1,9201023.0,0.5
10,3,1,9201728.0,40.0
10,3,2,9201728.0,0.5
10,4,1,9201728.0,90.0
10,5,1,9201728.0,1.0
