SITE,PLOT,NVC,Yr
67,5,W10,1
67,6,W16a,1
67,7,W10d,1
67,8,W10,1
67,9,W10a,1
67,10,W10c,1
67,11,W10d,1
67,12,W10c,1
67,13,W10d,1
67,14,W10d,1
67,15,W16a,1
67,16,W16,1
68,1,W6,1
68,2,W6,1
68,3,W6,1
68,4,W7c,1
68,5,W10c,1
68,6,W10c,1
68,7,W10,1
68,8,W6,1
68,9,OV27,1
68,10,W10a,1
68,11,W6,1
68,12,W10,1
68,13,W6,1
68,14,W6,1
68,15,W10c,1
68,16,W10a,1
69,1,W10c,1
69,2,OV27,1
69,3,W8e,1
69,4,OV27d,1
69,5,W10a,1
69,6,W10a,1
69,7,OV27d,1
69,8,W10d,1
69,9,W10d,1
69,10,OV27d,1
69,11,W10c,1
69,12,OV27d,1
69,13,W16b,1
69,14,W10c,1
69,15,W10,1
69,16,OV27,1
70,1,W12,1
70,2,W21,1
70,3,OV27d,1
70,4,W10d,1
70,5,OV27d,1
70,6,W8,1
70,7,W8e,1
70,8,W6,1
70,9,W21,1
70,10,W8d,1
70,11,W6,1
70,12,OV27d,1
70,13,OV27,1
70,14,W12,1
70,15,OV27d,1
70,16,W8d,1
71,1,W8d,1
71,2,W6,1
71,3,W8d,1
71,4,W6,1
71,5,W8d,1
71,6,W21,1
71,7,OV27d,1
71,8,OV27d,1
71,9,W10b,1
71,10,W21,1
71,11,OV27d,1
71,12,OV27d,1
71,13,W8d,1
71,14,W10,1
71,15,W10a,1
71,16,W8d,1
72,1,W10d,1
72,2,W10d,1
72,3,W10a,1
72,4,W10,1
72,5,W10d,1
72,6,W10,1
72,7,W10a,1
72,8,W10,1
72,9,W10d,1
72,10,W10,1
72,11,W10d,1
72,12,W10,1
72,13,W10d,1
72,14,W10,1
72,15,W10d,1
72,16,W16b,1
73,1,W10c,1
73,2,W16b,1
73,3,W10d,1
73,4,W10d,1
73,5,W10c,1
73,6,W16b,1
73,7,W16,1
73,8,W16,1
73,9,W16,1
73,10,W10c,1
73,11,W16,1
73,12,W16,1
73,13,W10d,1
73,14,W16,1
73,15,W10d,1
73,16,W16,1
74,1,W16,1
74,2,W16b,1
74,3,W16,1
74,4,W16,1
74,5,W16a,1
74,6,W10,1
74,7,W4,1
74,8,W16b,1
74,9,M15,1
74,10,W16,1
74,11,W16,1
74,12,W4,1
74,13,W10,1
74,14,W16,1
74,15,W4,1
74,16,W10d,1
75,1,W8d,1
75,2,W8e,1
75,3,W10,1
75,4,W10,1
75,5,W10,1
75,6,W16,1
75,7,W10c,1
75,8,W10,1
75,9,W16,1
75,10,W10,1
75,11,W10d,1
75,12,W10,1
75,13,W8e,1
75,14,W6,1
75,15,W10,1
75,16,W8,1
76,1,U16c,1
76,2,W10d,1
76,3,M16a,1
76,4,M16a,1
76,5,M16a,1
76,6,M15,1
76,7,W10d,1
76,8,M15,1
76,9,M15,1
76,10,M15,1
76,11,U20c,1
76,12,U16c,1
76,13,W4,1
76,14,H10a,1
76,15,H10a,1
76,16,H10a,1
77,1,H12a,1
77,2,W10d,1
77,3,W10d,1
77,4,W10d,1
77,5,W10d,1
77,6,W10d,1
77,7,W4,1
77,8,W16a,1
77,9,H12a,1
77,10,H12a,1
77,11,W16a,1
77,12,W16a,1
77,13,W10d,1
77,14,W4,1
77,15,W16,1
77,16,W4c,1
78,1,W16,1
78,2,W16b,1
78,3,W16a,1
78,4,W16a,1
78,5,W16b,1
78,6,W16,1
78,7,W16,1
78,8,W10d,1
78,9,W16,1
78,10,W16,1
78,11,U1e,1
78,12,W4,1
78,13,W10d,1
78,14,W16,1
78,15,W16,1
78,16,W16,1
79,1,W10d,1
79,2,W16,1
79,3,W10d,1
79,4,W10c,1
79,5,W10d,1
79,6,W16a,1
79,7,W10d,1
79,8,W16b,1
79,9,W16b,1
79,10,W16a,1
79,11,W10d,1
79,12,W10d,1
79,13,W15a,1
79,14,W10d,1
79,15,W10d,1
79,16,W10d,1
80,1,OV27,1
80,2,W10a,1
80,3,W10d,1
80,4,W10c,1
80,5,W10,1
80,6,W10,1
80,7,W15a,1
80,8,W16b,1
80,9,W15a,1
80,10,W16b,1
80,11,W15a,1
80,12,W15a,1
80,13,W10b,1
80,14,W10c,1
80,15,W16b,1
80,16,W10,1
81,1,W10,1
81,2,W10a,1
81,3,W10,1
81,4,W10a,1
81,5,W10a,1
81,6,OV27d,1
81,7,W21a,1
81,8,MG10a,1
81,9,W6,1
81,10,OV26,1
81,11,M27,1
81,12,OV26a,1
81,13,W6,1
81,14,W6,1
81,15,W6,1
81,16,W6,1
82,1,W15,1
82,2,W15a,1
82,3,W15a,1
82,4,W8d,1
82,5,W10d,1
82,6,W10c,1
82,7,W10c,1
82,8,W10d,1
82,9,W10a,1
82,10,W10d,1
82,11,W15a,1
82,12,W16b,1
82,13,W10d,1
82,14,W10a,1
82,15,W10d,1
82,16,W15a,1
83,1,W10d,1
83,2,OV27,1
83,3,W10d,1
83,4,W10d,1
83,5,W10d,1
83,6,OV27,1
83,7,OV27,1
83,8,W10d,1
83,9,W10d,1
83,10,W10d,1
83,11,W10d,1
83,12,W10c,1
83,13,W10c,1
83,14,OV27,1
83,15,W10d,1
83,16,OV27,1
84,1,W10a,1
84,2,W10a,1
84,3,W10a,1
84,4,W16b,1
84,5,W10d,1
84,6,W10d,1
84,7,W10d,1
84,8,W16b,1
84,9,W10a,1
84,10,W10a,1
84,11,W10a,1
84,12,W10a,1
84,13,W16a,1
84,14,W16a,1
84,15,W16b,1
84,16,W16,1
85,1,W10d,1
85,2,W10d,1
85,3,W10d,1
85,4,W10d,1
85,5,W10d,1
85,6,W10d,1
85,7,W10d,1
85,8,W10,1
85,9,W10d,1
85,10,W10d,1
85,11,W10,1
85,12,W10,1
85,13,M27,1
85,14,W10,1
85,15,OV27,1
85,16,W10d,1
86,1,W16,1
86,2,W16,1
86,3,W16,1
86,4,W16b,1
86,5,W10d,1
86,6,W16,1
86,7,W16,1
86,8,W16a,1
86,9,W16,1
86,10,W10d,1
86,11,W10d,1
86,12,W10d,1
86,13,W16,1
86,14,W16,1
86,15,W16a,1
86,16,W10d,1
87,1,W10d,1
87,2,W10d,1
87,3,W16b,1
87,4,W10d,1
87,5,W10,1
87,6,W16,1
87,7,W10,1
87,8,W10d,1
87,9,W10d,1
87,10,W22,1
87,11,W23,1
87,12,W10d,1
87,13,W16,1
87,14,W16,1
87,15,W10c,1
87,16,W10d,1
88,1,W10,1
88,2,W10c,1
88,3,W10d,1
88,4,W10d,1
88,5,W10d,1
88,6,W10c,1
88,7,W10c,1
88,8,W10a,1
88,9,W16b,1
88,10,W16b,1
88,11,W10a,1
88,12,W10a,1
88,13,W16b,1
88,14,W10c,1
88,15,W16b,1
88,16,W10c,1
89,1,W16b,1
89,2,W16b,1
89,3,W16b,1
89,4,W16b,1
89,5,W16b,1
89,6,W15c,1
89,7,W16,1
89,8,W10a,1
89,9,W10a,1
89,10,W10c,1
89,11,W10,1
89,12,W10,1
89,13,W10c,1
89,14,W16b,1
89,15,W16b,1
89,16,W10a,1
