BRC names,BRC number,Woody
Barbilophozia barbata,810694,
Barbilophozia floerkei,810695,
Barbilophozia hatcheri,810696,
Barbilophozia kunzeana,810697,
Barbilophozia lycopodioides,810698,
Barbilophozia quadriloba,810699,
Bazzania pearsonii,810700,
Bazzania tricrenata,810701,
Bazzania trilobata,810702,
Blasia pusilla,810703,
Blepharostoma trichophyllum,810704,
Calypogeia arguta,810705,
Calypogeia fissa,810706,
Calypogeia muelleriana,810707,
Calypogeia neesiana sens.lat.,810708,
Calypogeia integristipula,810708.1,
Calypogeia sphagnicola,810709,
Calypogeia suecica,810710,
Calypogeia azurea,810711,
Cephalozia ambigua,810713,
Cephalozia bicuspidata,810714,
Cephalozia bicuspidata var.lammersiana,810714.2,
Cephalozia catenulata,810715,
Cephalozia connivens,810716,
Cephalozia hibernica,810717,
Cephalozia leucantha,810718,
Cephalozia loitlesbergeri,810719,
Cephalozia macrostachya,810720,
Cephalozia lunulifolia,810721,
Cephalozia pleniceps,810722,
Cephaloziella baumgartneri,810723,
Cephaloziella calyculata,810724,
Cephaloziella dentata,810725,
Cephaloziella elachista,810726,
Cephaloziella hampeana,810727,
Cephaloziella integerrima,810728,
Cephaloziella massalongi,810729,
Sphenolobopsis pearsonii,810730,
Cephaloziella rubella,810731,
Cephaloziella divaricata,810732,
Cephaloziella stellulifera,810733,
Cephaloziella spinigera,810734,
Cephaloziella turneri,810735,
Tetralophozia setiformis,810736,
Chiloscyphus polyanthos var.pallescens,810737,
Cladopodiella fluitans,810739,
Cladopodiella francisci,810740,
Cololejeunea calcarea,810741,
Cololejeunea minutissima,810742,
Cololejeunea rossettiana,810743,
Colura calyptrifolia,810744,
Conocephalum conicum,810745,
Cryptothallus mirabilis,810746,
Diplophyllum albicans,810747,
Diplophyllum obtusifolium,810748,
Diplophyllum taxifolium,810749,
Douinia ovata,810750,
Drepanolejeunea hamatifolia,810751,
Dumortiera hirsuta,810752,
Eremonotus myriocarpus,810753,
Fossombronia angulosa,810754,
Fossombronia caespitiformis,810755,
Fossombronia foveolata,810758,
Fossombronia husnotii,810759,
Fossombronia pusilla,810762,
Fossombronia wondraczekii,810763,
Frullania dilatata,810764,
Frullania fragilifolia,810765,
Frullania teneriffae,810766,
Frullania microphylla,810767,
Frullania tamarisci,810768,
Geocalyx graveolens,810769,
Gongylanthus ericetorum,810770,
Gymnocolea acutiloba,810771,
Gymnocolea inflata,810772,
Gymnomitrion apiculatum,810773,
Gymnomitrion concinnatum,810774,
Gymnomitrion corallioides,810775,
Gymnomitrion crenulatum,810776,
Gymnomitrion obtusum,810777,
Haplomitrium hookeri,810778,
Harpalejeunea ovata,810779,
Harpanthus flotovianus,810780,
Harpanthus scutatus,810781,
Herbertus stramineus,810782,
Herbertus aduncus,810783,
Hygrobiella laxifolia,810784,
Jamesoniella autumnalis,810785,
Plagiochila carringtonii,810786,
Jamesoniella undulifolia,810787,
Jubula hutchinsiae,810788,
Jungermannia leiantha,810789,
Leiocolea badensis,810790,
Leiocolea bantriensis,810791,
Leiocolea gillmanii,810792,
Leiocolea heterocolpos,810793,
Leiocolea alpestris,810794,
Leiocolea rutheana,810795,
Leiocolea turbinata,810796,
Lejeunea cavifolia,810797,
Lejeunea hibernica,810798,
Lejeunea flava,810799,
Lejeunea holtii,810800,
Lejeunea lamacerina,810801,
Lejeunea mandonii,810802,
Lejeunea patens,810803,
Lejeunea ulicina,810804,
Lepidozia pearsonii,810805,
Lepidozia cupressina,810806,
Lepidozia reptans,810807,
Kurzia pauciflora,810808,
Kurzia sylvatica,810809,
Kurzia trichoclados,810810,
Lophocolea bidentata var.bidentata,810812,
Lophocolea fragrans,810813,
Lophocolea heterophylla,810814,
Lophozia sudetica,810815,
Lophozia bicrenata,810816,
Lophozia capitata,810817,
Lophozia excisa,810818,
Lophozia incisa,810819,
Lophozia longidens,810820,
Lophozia obtusa,810821,
Lophozia opacifolia,810822,
Lophozia longiflora,810823,
Lophozia ventricosa,810824,
Lophozia wenzelii,810825,
Lunularia cruciata,810826,
Marchantia polymorpha,810827,
Marchesinia mackaii,810828,
Marsupella adusta,810829,
Marsupella alpina,810830,
Marsupella emarginata,810831,
Marsupella condensata,810833,
Marsupella funckii,810835,
Marsupella sparsifolia,810836,
Marsupella sphacelata,810837,
