SITE,PLOT,SOM1971,SOM resurvey,,
8,5,13.689,14.2,,
37,6,22.316,14.20388,,
93,15,15.827,14.27037,,
86,8,8.081,14.28174,,
52,12,15.539,14.3,,
13,11,7.23,14.4,,
72,5,26.374,14.4,,
37,11,34.32,14.56151,,
51,11,11.376,14.6,,
54,5,34.379,14.6933,,
9,4,9.9,14.69954,,
8,13,15.152,14.7,,
18,3,8.905,14.73931,,
50,13,33.01,14.77493,,
88,11,10.158,14.9,,
32,2,12.942,15,,
85,8,24.515,15.00967,,
64,5,18.737,15.02829,,
50,3,8.96,15.04786,,
97,3,17.414,15.09726,,
24,6,7.438,15.1,,
86,16,15.519,15.16094,,
87,1,34.66,15.18415,,
92,13,10.079,15.23494,,
52,6,12.357,15.3,,
71,8,9.065,15.4,,
8,12,11.34,15.4,,
52,9,23.952,15.4,,
39,8,24.57,15.45374,,
87,8,23.239,15.45523,,
37,8,13.076,15.54399,,
37,12,15.684,15.55674,,
54,16,24.535,15.57276,,
88,5,6.533,15.6,,
71,4,7.488,15.6,,
89,13,24.675,15.6,,
72,13,18.225,15.7,,
72,11,21.93,15.7,,
50,14,19.55,15.71377,,
54,11,15.323,15.74145,,
51,8,14.042,15.8,,
87,6,27.589,15.80102,,
62,1,20.566,15.8161,,
51,9,12.19,15.9,,
54,13,23.97,16.08807,,
16,12,9.225,16.1,,
52,13,17.539,16.1,,
78,15,15.365,16.13466,,
84,2,6.975,16.13536,,
97,5,10.683,16.15075,,
50,12,16.675,16.19554,,
51,10,16.545,16.2,,
49,1,24.635,16.2556,,
51,7,11.666,16.3,,
83,3,23.56,16.31083,,
87,3,25.538,16.38381,,
1,13,6.361,16.4,,
89,12,12.012,16.4,,
81,13,6.719,16.40909,,
85,5,30.192,16.45369,,
85,16,24.406,16.48015,,
5,16,8.092,16.5,,
92,7,10.88,16.52382,,
18,7,16.556,16.56098,,
73,6,16.12,16.6,,
18,4,10.894,16.60653,,
81,14,13.863,16.61052,,
36,14,16.304,16.65101,,
86,9,11.806,16.6933,,
31,9,16.302,16.8,,
83,7,18.872,16.80277,,
30,16,11.796,16.81011,,
18,10,9.575,16.85477,,
25,15,12.72,16.9,,
52,14,19.721,16.9,,
62,2,20.791,16.93454,,
69,2,8.707,16.93953,,
71,13,7.419,17,,
97,15,17.834,17.04872,,
36,15,12.953,17.13204,,
37,7,22.435,17.1958,,
1,1,8.582,17.2,,
52,10,13.162,17.2,,
9,2,9.597,17.26151,,
1,2,9.622,17.4,,
20,13,11.46,17.5,,
51,5,17.047,17.5,,
64,8,15.909,17.75273,,
88,16,27.219,18,,
18,16,14.362,18.05456,,
78,13,18.022,18.07886,,
62,7,21.145,18.12749,,
26,11,9.062,18.16183,,
18,12,20.583,18.20875,,
66,5,9.72,18.3,,
47,3,19.938,18.31636,,
86,3,4.726,18.33002,,
29,3,24.089,18.4,,
86,7,8.197,18.46233,,
86,2,1.398,18.46862,,
45,15,10.645,18.56161,,
25,10,13.594,18.7,,
73,10,11.631,18.8,,
33,14,19.97,18.8,,
79,1,12.403,18.9,,
85,4,54.072,19.04165,,
24,14,8.453,19.1,,
13,10,5.542,19.2,,
32,7,12.115,19.2,,
62,9,26.418,19.3151,,
96,10,8.858,19.32648,,
64,16,33.014,19.38334,,
43,2,22.034,19.44469,,
82,1,7.998,19.5,,
52,16,13.066,19.5,,
81,6,10.106,19.53817,,
78,11,18.329,19.56059,,
21,15,11.944,19.6,,
51,3,14.213,19.6,,
81,2,15.386,19.66418,,
32,5,11.187,19.7,,
78,2,37.026,19.74876,,
97,16,21.847,19.99127,,
43,10,43.248,20.03543,,
18,14,13.597,20.06044,,
62,12,22.473,20.07744,,
24,13,10.109,20.1,,
66,14,15.861,20.1,,
72,10,19.687,20.1,,
29,6,8.991,20.2,,
70,5,9.216,20.24438,,
49,6,24.801,20.28111,,
92,10,20.07,20.34349,,
72,7,14.308,20.4,,
97,12,15.884,20.43949,,
96,4,7.881,20.5429,,
87,2,16.405,20.60328,,
4,13,8.72,20.66582,,
89,15,17.264,20.8,,
52,1,12.186,20.9,,
87,7,19.6,21.32345,,
11,7,17.058,21.8,,
97,11,13.316,21.81818,,
96,13,12.157,21.88791,,
43,12,23.635,21.93405,,
54,8,25.027,22.03821,,
87,13,27.13,22.17472,,
89,9,13.417,22.4,,
86,15,16.132,22.61078,,
52,5,18.122,22.7,,
49,4,21.43,22.76719,,
99,6,14.405,23.2,,
97,6,23.734,23.31346,,
86,1,4.933,23.44066,,
17,8,9.528,23.65896,,
89,6,23.153,23.8,,
45,16,16.601,23.88181,,
81,1,18.651,23.88868,,
8,6,10.31,23.9,,
71,1,7.833,24,,
78,3,13.858,24.26205,,
89,4,21.527,24.3,,
78,5,24.404,24.3383,,
30,10,16.126,24.39444,,
86,14,8.713,24.50392,,
72,14,17.239,24.9,,
102,4,68.312,24.9,,
81,5,14.872,24.9651,,
15,2,12.249,24.99725,,
49,2,12.817,25.11224,,
97,13,28.071,25.13921,,
81,3,23.731,25.19203,,
78,6,16.623,25.20214,,
52,15,16.245,25.5,,
92,9,44.252,25.58788,,
89,16,14.582,25.6,,
60,10,17.146,25.6,,
90,16,8.016,25.65336,,
73,15,20.117,25.7,,
51,1,7.285,25.8,,
85,14,30.878,25.96144,,
39,12,21.087,26.68691,,
89,11,10.177,27,,
78,8,14.004,27.10795,,
45,11,11.249,27.25486,,
49,10,24.861,27.34154,,
85,6,29.641,27.45354,,
64,15,18.164,27.58651,,
85,9,31.468,27.59241,,
78,9,17.168,27.96465,,
87,4,22.301,28.06814,,
18,5,13.882,28.29183,,
52,3,18.044,28.3,,
87,11,7.769,28.42939,,
78,16,12.926,28.83199,,
49,7,34.406,28.88469,,
79,11,6.898,28.9,,
51,14,14.166,29,,
5,3,8.213,29.5,,
30,11,14.904,29.72308,,
52,4,14.994,30,,
28,2,17.384,31,,
89,3,14.939,31.2,,
72,16,23.532,31.5,,
99,11,20.758,31.6,,
32,9,11.315,31.7,,
73,3,17.085,31.7,,
7,1,10.545,31.80999,,
29,5,19.459,31.9,,
49,3,19.647,32.89272,,
92,8,9.303,33.06545,,
32,12,13.079,33.1,,
97,8,19.165,33.3544,,
53,12,61.009,33.5,,
30,1,10.833,33.55632,,
73,14,21.98,33.8,,
49,15,,33.80174,,
86,13,8.88,34.36298,,
28,1,8.636,34.4,,
78,12,80.217,34.43481,,
73,2,35.326,34.8,,
85,3,30.063,35.87699,,
73,7,13.771,36.5,,
92,11,9.267,37.09213,,
73,9,28.27,38.8,,
87,10,15.636,40.5821,,
97,7,20.616,41.12704,,
78,14,21.85,42.6377,,
26,1,8.136,43.22094,,
73,11,19.538,44,,
64,7,13.094,45.53871,,
97,9,18.077,48.00804,,
49,12,34.26,49.81292,,
73,13,25.587,50.5,,
73,12,16.015,50.7,,
53,15,76.21,51.8,,
92,3,10.447,52.69997,,
30,9,28.389,52.76036,,
73,5,24.967,53.7,,
53,14,62.413,56.3,,
49,5,19.858,58.80009,,
73,1,32.976,59.3,,
81,9,17.128,61.52189,,
74,12,60.912,65.26704,,
87,14,17.84,67.88963,,
43,15,23.669,69.0574,,
54,7,24.472,71.41005,,
89,5,22.825,71.6,,
100,6,8.108,74,,
60,4,7.205,74.2,,
53,11,35.746,75.2,,
39,13,37.921,91.20235,,
98,11,2.48,,,
90,2,8.182,,,
66,13,15.136,,,
15,1,15.66,,,
99,13,16.743,,,
48,15,17.353,6.9,,
94,5,7.056,7,,
47,8,16.15,7.418423,,
47,9,10.316,11.99534,,
79,7,14.233,12.5,,
76,7,25.44,88.78103,,
61,16,13.177,19.58325,,
61,4,10.971,9.376961,,
90,9,13.366,13.88052,,
58,15,43.421,16.64604,,
95,7,11.513,17.72,,
48,6,12.058,25.2,,
91,12,2.601,2.4,,
101,8,3.617,3.12,,
77,3,11.331,3.308675,,
67,7,5.143,4.119277,,
79,10,6.307,4.6,,
38,14,5.817,4.679197,,
79,13,8.299,4.7,,
88,6,6.086,5.1,,
94,11,8.302,5.2,,
67,16,15.588,5.322592,,
79,8,6.573,5.4,,
91,2,6.793,5.4,,
91,14,3.052,5.5,,
94,15,7.644,5.6,,
38,3,36.026,5.745115,,
53,5,12.588,5.8,,
77,11,7.436,5.899352,,
2,6,7.133,5.9,,
79,5,8.585,5.9,,
67,11,7.804,5.932701,,
40,13,10.146,6.44,,
2,1,6.547,6.7,,
63,4,11.085,6.707506,,
67,6,4.475,6.740464,,
14,10,8.413,6.85,,
98,6,13.938,7.070232,,
91,4,11.63,7.2,,
38,10,7.615,7.226925,,
44,10,14.997,7.253565,,
91,8,12.999,7.5,,
77,4,7.728,7.587283,,
77,9,7.901,7.848297,,
2,3,6.032,7.9,,
94,7,17.062,7.9,,
77,12,14.685,7.983272,,
38,6,26.18,8.112747,,
101,12,7.394,8.27,,
77,10,15.116,8.295856,,
67,12,6.444,8.37732,,
77,2,6.121,8.467209,,
58,1,5.376,8.500345,,
26,2,8.919,8.591126,,
14,9,84.219,8.84,,
2,4,5.247,8.9,,
79,15,8.173,8.9,,
91,7,5.088,9,,
67,13,6.848,9.174773,,
56,8,18.096,9.213167,,
56,1,18.751,9.256636,,
88,4,12.767,9.3,,
88,8,48.881,9.3,,
14,11,30.317,9.39,,
79,9,6.204,9.4,,
102,15,12.415,9.5,,
91,16,7.401,9.6,,
79,14,29.812,9.9,,
38,12,18.376,10.07977,,
38,11,17.2,10.13033,,
14,14,19.735,10.2,,
101,1,10.339,10.3,,
40,15,12.122,10.3,,
67,14,6.064,10.36481,,
2,5,7.949,10.4,,
15,5,10.668,10.56018,,
38,15,11.259,10.6479,,
94,2,16.974,10.8,,
84,1,34.127,10.98198,,
40,16,10.62,11.5,,
42,14,7.74,11.6,,
79,6,12.634,11.7,,
102,14,22.319,11.8,,
6,2,6.524,12,,
44,9,7.202,12.06003,,
40,8,9.563,12.3,,
88,9,16.967,12.4,,
56,2,16.049,12.50841,,
58,11,11.729,12.57123,,
95,12,8.701,12.65,,
58,2,8.814,12.74995,,
56,12,19.744,13.04162,,
98,2,11.555,13.37629,,
38,16,13.168,14.62208,,
88,7,9.682,14.9,,
74,1,61.807,14.9656,,
69,7,11.733,15.11103,,
53,8,8.801,15.4,,
6,6,4.777,16,,
56,10,28.054,16.53166,,
56,15,31.201,16.61802,,
29,13,4.279,16.7,,
38,8,15.156,17.06177,,
59,6,28.362,17.33269,,
91,10,9.49,17.5,,
79,4,10.582,18.1,,
56,3,14.76,18.26829,,
94,14,6.886,18.4,,
14,4,8.36,19.24,,
48,4,11.678,19.3,,
40,3,28.54,19.6,,
13,13,14.29,20,,
88,15,19.335,20.9,,
29,12,8.359,21,,
102,10,19.277,24.2,,
79,16,6.564,24.3,,
42,11,6.43,26.9,,
14,6,7.433,27.41,,
14,2,17.264,29.19,,
102,16,26.329,31.8,,
40,1,27.088,32.9,,
102,13,16.784,33.1,,
14,5,8.628,34.37,,
14,13,8.762,34.93,,
98,16,9.628,37.00259,,
53,6,3.315,39.3,,
84,16,16.555,40.80146,,
102,11,21.126,45.7,,
42,10,11.01,47.6,,
91,11,12.305,47.6,,
58,10,11.797,50.28635,,
14,7,6.933,50.71,,
101,2,25.683,60.8,,
14,8,4.727,69.69,,
77,14,36.119,74.83952,,
91,13,6.189,75.7,,
102,12,22.153,86.6,,
77,13,19.362,90.1007,,
29,1,8.316,,,
79,2,8.348,,,
91,15,9.57,,,
79,3,10.162,,,
53,10,10.536,10.7,,
59,5,16.41,59.06256,,
59,1,9.839,,,
44,14,22.362,6.235654,,
56,16,7.517,12.58904,,
101,15,5.396,6.05,,
84,14,12.329,13.35296,,
76,5,7.953,45.75163,,
75,13,9.734,6.42104,,
75,4,10.004,6.503258,,
75,15,7.439,8.490957,,
75,1,12.077,12.02548,,
75,2,10.081,12.93359,,
75,9,9.681,14.49582,,
75,16,16.585,16.66239,,
75,3,11.813,16.78079,,
75,10,7.621,16.90551,,
75,6,11.019,18.7856,,
75,8,29.794,24.22599,,
75,5,11.163,28.15276,,
75,12,9.71,35.25842,,
69,4,7.684,6.19535,,
13,5,14.534,8.4,,
99,9,11.698,29.7,,
38,7,8.909,4.916574,,
44,16,10.945,5.45738,,
68,1,9.461,7.504182,,
68,6,11.409,8.22081,,
68,4,8.451,8.619843,,
68,15,9.5,8.71685,,
59,11,35.928,10.45594,,
30,2,10.867,15.48107,,
68,13,12.659,18.90374,,
59,9,26.825,27.81425,,
30,12,17.606,38.55249,,
68,9,10.176,9.243855,,
10,10,7.322,5.4,,
6,15,9.556,5.8,,
84,6,8.486,5.918505,,
23,5,8.095,6,,
16,15,6.705,6.1,,
28,9,8.314,6.14,,
100,14,10.493,6.3,,
23,1,6.341,7.1,,
13,9,6.527,7.6,,
100,8,6.702,7.6,,
80,16,7.934,7.9,,
1,5,11.294,8.4,,
80,2,8.762,8.7,,
16,2,8.943,8.8,,
16,7,10.041,9.5,,
6,13,11.32,9.5,,
15,12,9.12,9.636364,,
16,13,7.972,9.8,,
13,8,10.03,10,,
41,10,14.171,10.36728,,
28,13,8.324,10.4,,
28,14,10.369,10.6,,
13,14,7.321,11.1,,
24,2,13.616,11.1,,
1,3,9.544,11.3,,
16,10,10.749,11.5,,
24,11,13.11,11.9,,
10,9,13.678,11.9,,
1,16,6.802,12.2,,
32,16,12.368,12.3,,
34,12,12.927,12.71527,,
1,12,7.745,12.8,,
32,6,9.748,12.8,,
19,11,16.232,13.10544,,
100,3,5.751,13.4,,
24,1,13.274,13.5,,
24,4,16.154,13.5,,
19,10,15.174,14.13171,,
65,16,20.641,14.39011,,
19,3,14.433,14.42472,,
32,3,10.053,14.5,,
99,4,22.774,14.5,,
30,6,13.827,14.77232,,
6,8,14.471,14.9,,
19,12,13.393,14.95673,,
19,8,14.986,15.0636,,
30,4,11.82,15.24267,,
19,9,19.973,15.33122,,
24,12,14.256,15.4,,
19,14,16.011,15.4488,,
34,15,11.361,15.44994,,
83,2,21.675,15.62977,,
34,1,15.833,15.99505,,
6,12,15.155,16,,
53,16,23.555,16.6,,
32,1,10.106,16.7,,
100,13,13.024,16.7,,
30,5,15.995,16.90527,,
19,4,12.107,16.9108,,
16,11,9.894,18.3,,
24,16,8.588,18.6,,
1,4,7.415,19.5,,
30,7,14.498,19.52315,,
24,10,13.208,19.9,,
19,2,19.888,20.20539,,
19,5,16.665,20.52819,,
83,4,35.794,20.6641,,
83,6,17.07,20.89654,,
19,13,19.239,20.91305,,
13,6,6.756,23.2,,
99,7,33.333,23.7,,
19,6,14.359,23.91858,,
99,1,26.544,24.6,,
99,12,26.814,24.9,,
99,2,18.633,25.6,,
19,1,20.541,26.52319,,
1,11,6.621,27.1,,
84,4,44.434,27.42562,,
99,16,25.641,34.2,,
19,15,17.287,34.94772,,
1,15,8.524,35.5,,
100,16,53.095,38.4,,
13,4,6.577,39.6,,
19,16,20.723,40.43497,,
30,3,12.588,41.93586,,
48,3,20.626,49.9,,
99,14,22.814,,,
13,3,7.555,3.8,,
13,7,9.021,5.1,,
101,6,6.417,10.2,,
13,16,8.25,13.3,,
13,15,10.212,15.5,,
94,16,15.178,7.5,,
52,2,12.092,17,,
74,10,15.047,43.73563,,
77,15,18.297,83.28445,,
76,11,71.073,93.57356,,
76,1,44.623,9.124621,,
54,2,22.563,9.14766,,
48,11,22.379,10.9,,
74,2,14.503,11.60646,,
76,15,90.314,12.71092,,
90,7,12.253,13.47308,,
37,14,16.655,15.77048,,
54,12,32.427,16.2209,,
76,3,94.464,74.71497,,
76,12,36.056,75.08974,,
76,9,58.592,95.53541,,
74,15,14.984,95.65968,,
90,6,26.521,24.81672,,
23,14,7.158,5.1,,
6,3,9.445,7.1,,
11,12,8.079,8.2,,
21,5,9.36,8.5,,
11,8,10.045,9.2,,
6,5,11.297,9.5,,
11,10,11.303,10.1,,
11,13,11.425,10.1,,
67,1,25.984,10.39636,,
6,4,12.002,10.4,,
21,1,12.143,10.8,,
11,9,12.602,10.8,,
21,3,8.99,11.1,,
11,14,11.316,11.3,,
11,3,11.252,11.9,,
11,5,9.839,12.2,,
11,6,9.186,12.4,,
21,16,14.896,13.4,,
11,15,10.54,13.9,,
11,4,11.732,19.1,,
99,8,16.916,34.3,,
58,16,4.63,9.669903,,
80,6,6.028,6.5,,
32,13,8.591,10.2,,
21,2,11.13,10.8,,
11,11,8.495,11.4,,
6,14,13.551,11.4,,
6,9,7.809,12.2,,
32,15,19.679,14.1,,
25,9,18.666,16.5,,
1,14,8.899,20,,
99,15,16.978,22.7,,
14,3,6.038,58.25,,
21,4,12.335,11.4,,
86,4,6.129,39.31693,,
84,15,26.1,4.968632,,
84,7,56.639,10.11435,,
32,10,19.348,24.3,,
1,7,9.956,14.7,,
84,13,12.618,71.98654,,
84,9,7.722,10.15102,,
99,10,20.436,,,
1,8,7.474,33.2,,
68,5,11.771,5.466835,,
68,7,9.784,7.407121,,
68,2,15.8,7.496988,,
68,8,7.143,7.775184,,
68,14,9.585,8.000648,,
68,11,7.01,9.596944,,
68,10,5.555,9.620493,,
68,12,6.069,10.42487,,
68,16,11.078,10.43325,,
59,16,24.412,10.86412,,
59,13,13.354,7.490252,,
44,13,9.149,7.541786,,
59,10,27.025,18.9352,,
59,12,16.84,24.10705,,
59,15,20.137,41.60937,,
44,8,10.392,15.96135,,
59,7,14.148,17.47364,,
98,15,1.959,5.273027,,
98,7,4.97,5.430802,,
80,14,6.639,6.3,,
77,8,90.687,6.420317,,
2,7,5.633,7.3,,
42,15,10.66,8.77,,
2,10,12.358,11.2,,
40,9,7.253,12.9,,
2,16,8.907,14.5,,
48,13,11.14,16.6,,
42,1,63.2,18.2,,
2,14,8.64,20.2,,
48,12,13.669,22.9,,
59,4,5.989,23.10984,,
61,7,15.498,28.14355,,
48,7,7.027,,,
59,8,7.4,,,
40,5,16.476,13.4,,
59,3,4.855,4.210273,,
91,6,9.763,6.1,,
44,12,10.74,6.369366,,
56,6,8.309,6.849315,,
44,2,8.71,7.906697,,
48,8,8.323,9.1,,
92,4,5.74,9.405067,,
61,14,9.168,9.725954,,
98,10,6.994,9.911472,,
2,8,7.005,10.1,,
95,3,7.301,10.1,,
6,1,9.724,10.4,,
36,3,13.208,11.54777,,
61,1,6.761,11.75327,,
46,13,9.382,12.29058,,
63,16,8.13,12.3481,,
66,11,10.041,12.6,,
2,2,9.65,12.9,,
61,15,16.555,14.23664,,
95,6,19.224,14.62,,
84,11,9.031,15.2608,,
48,9,7.623,15.3,,
48,16,7.013,17.2,,
2,11,12.878,17.2,,
58,12,11.436,18.45561,,
58,9,13.864,19.82657,,
52,7,12.338,21.6,,
48,5,18.799,27.7,,
48,14,12.651,29.9,,
1,6,9.39,42.2,,
48,10,8.92,,,
12,1,35.146,13.9,,
24,9,17.52,16.4,,
84,5,18.877,19.8264,,
61,3,9.582,13.13863,,
95,1,5.847,12.4,,
49,14,68.141,14.25429,,
6,16,9.326,10.6,,
80,3,10.256,10.6,,
58,14,39.109,15.4026,,
1,9,4.453,16.3,,
84,10,9.417,11.31328,,
84,8,16.418,15.39674,,
58,6,33.098,10.25382,,
84,12,9.298,14.62006,,
46,8,17.489,,,
95,13,20.344,5.92,,
76,4,83.647,21.12616,,
35,6,43.785,11.69767,,
101,11,87.621,23.66,,
74,5,87.233,38.51475,,
77,16,88.069,13.55719,,
85,13,63.309,58.97935,,
74,7,82.689,90.2,,
42,12,95.07,90.5,,
102,6,84.361,92.1,,
76,6,91.845,92.87396,,
76,10,71.827,95.01275,,
77,1,87.267,,,
12,5,12.666,32.4,,
102,8,71.494,68.9,,
42,13,90.22,73.2,,
76,2,94.32,6.416057,,
76,8,59.984,22.65664,,
