SITE,PLOT,SOM1971,SOM resurvey,,
95,5,10.94,12.28,,
43,1,66.063,12.36321,,
55,16,10.808,12.41737,,
95,10,11.472,12.57,,
35,11,16.654,12.59343,,
38,5,13.219,12.61415,,
36,7,12.737,12.64795,,
41,5,10.9,12.65981,,
20,1,10.427,12.67,,
4,16,17.871,12.6735,,
64,10,15.422,12.69681,,
62,15,29.361,12.71574,,
41,7,13.17,12.77382,,
7,12,10.822,12.83384,,
85,15,29.12,12.86918,,
7,10,11.817,12.97588,,
26,10,13.327,12.98691,,
36,4,7.37,13.00326,,
35,3,11.468,13.04456,,
3,8,10.47,13.05068,,
100,7,7.356,13.1,,
81,8,9.735,13.10844,,
82,4,12.724,13.2,,
41,4,20.51,13.20814,,
46,14,11.312,13.22605,,
72,2,20.625,13.3,,
72,1,21.293,13.4,,
61,5,9.053,13.40749,,
41,15,12.2,13.45135,,
5,13,6.644,13.6,,
8,10,12.353,13.6,,
15,11,10.223,13.67606,,
8,11,,13.7,,
41,3,21.04,13.76538,,
35,10,41.789,13.76705,,
33,4,8.36,13.8,,
90,10,7.243,13.91529,,
54,14,26.205,14.06027,,
92,15,10.821,14.15681,,
93,3,8.845,14.1778,,
8,3,10.289,14.2,,
62,4,21.162,14.36698,,
66,2,8.073,14.4,,
90,15,17.246,14.46389,,
96,9,11.74,14.58366,,
29,15,9.262,14.6,,
7,9,9.812,14.63222,,
92,2,12.59,14.63873,,
81,11,13.477,14.64856,,
54,15,18.514,14.65747,,
43,6,35.589,14.69873,,
61,8,11.16,14.77562,,
82,6,4.256,14.8,,
8,14,12.77,14.9,,
64,3,24.759,14.93784,,
55,13,10.764,15.13803,,
93,8,7.893,15.18543,,
8,1,17.189,15.3,,
35,8,19.579,15.39965,,
26,16,10.329,15.45726,,
90,13,10.453,15.49363,,
96,3,14.656,15.52539,,
36,6,6.594,15.53763,,
33,13,14.806,15.7,,
37,4,24.21,15.75524,,
56,9,8.088,15.88832,,
69,14,10.991,15.98549,,
39,7,17.551,16.10937,,
35,9,20.942,16.11556,,
72,4,19.767,16.3,,
3,7,14.686,16.32373,,
33,2,14.221,16.5,,
47,4,15.125,16.58682,,
64,9,22.063,16.6608,,
90,12,19.352,16.68357,,
20,14,12.345,16.7,,
8,15,13.682,16.7,,
30,14,15.629,16.74238,,
8,8,14.132,17.4,,
7,7,24.502,17.48639,,
5,5,9.974,17.5,,
61,9,6.795,17.5746,,
69,15,10.88,17.60674,,
83,15,33.425,17.61018,,
69,10,20.8,17.70403,,
78,4,16.26,17.76229,,
54,9,56.614,17.80148,,
61,10,7.3,17.92118,,
95,14,7.812,18.11,,
37,13,26.336,18.23848,,
51,6,13.694,18.3,,
25,11,16.412,18.3,,
90,4,14.403,18.45923,,
62,8,11.918,18.53968,,
39,3,18.508,18.67204,,
64,1,50.899,18.68396,,
49,11,27.773,18.75939,,
14,12,9.646,18.8,,
26,13,16.313,18.81952,,
62,11,14.541,18.86657,,
51,15,15.72,19,,
78,7,17.465,19.10909,,
72,9,25.794,19.3,,
96,5,10.808,19.37162,,
41,6,22.97,19.46282,,
41,2,19.3,19.4921,,
54,10,19.441,19.56701,,
25,2,17.645,19.9,,
7,6,16.306,20.09992,,
25,4,16.83,20.2,,
36,10,15.757,20.35028,,
33,11,8.575,20.7,,
33,12,14.496,20.7,,
45,13,9.604,20.73279,,
86,5,22.107,20.8172,,
25,8,17.82,20.9,,
96,1,16.859,20.9542,,
72,8,18.995,21,,
85,10,41.377,21.05583,,
25,7,14.258,21.2,,
62,16,18.668,21.22186,,
62,14,20.006,21.55198,,
93,4,8.056,21.60231,,
82,8,3.047,21.7,,
4,4,8.742,21.76138,,
7,5,9.159,21.77347,,
99,3,12.156,22,,
85,2,23.988,22.50328,,
61,11,10.455,22.91759,,
45,9,9.109,23.03143,,
72,15,46.212,23.1,,
62,3,17.113,23.317,,
49,8,24.401,23.34495,,
99,5,42.182,23.6,,
64,13,9.839,23.63655,,
43,14,24.06,23.68989,,
51,16,13.74,23.9,,
87,5,10.052,24.09946,,
72,3,25.868,24.1,,
86,12,15.339,24.36314,,
95,2,12.896,24.5,,
37,10,31.181,24.51788,,
16,5,10.114,24.6,,
97,14,20.653,24.69398,,
37,1,22.546,25.67036,,
60,5,23.128,25.9,,
37,5,18.75,25.98187,,
41,1,18.75,26.51878,,
35,7,18.208,26.6458,,
81,15,11.687,27.06911,,
90,8,11.172,27.28158,,
7,4,22.14,29.02214,,
81,4,14.367,29.11447,,
55,9,9.657,29.74828,,
49,9,23.833,29.94608,,
102,5,57.735,30.1,,
54,4,24.17,30.45264,,
37,15,14.428,31.11642,,
30,8,23.62,31.96699,,
60,15,23.866,34,,
45,14,11.258,36.78288,,
16,4,7.218,38.5,,
35,12,7.61,40.16702,,
85,1,37.525,43.11177,,
97,10,16.804,50.44297,,
58,13,12.661,55.35629,,
60,1,25.344,56.9,,
55,10,9.251,60.23736,,
85,12,49.206,66.22662,,
76,13,19.684,80.7949,,
62,5,14.11,83.72573,,
43,16,15.447,85.50829,,
82,7,6.828,,,
38,9,7.487,,,
63,14,8.741,,,
3,14,9.751,,,
46,16,10.001,,,
83,16,17.618,,,
90,3,56.317,10.31416,,
37,3,23.854,14.11162,,
37,16,25.58,35.54082,,
64,11,83.048,10.19327,,
43,8,7.146,11.15166,,
42,5,30.01,11.6,,
69,12,41.655,11.70612,,
42,4,68.37,12.7,,
43,4,47.468,14.31818,,
47,5,31.481,15.727,,
43,5,77.736,17.72998,,
39,15,87.514,18.60533,,
43,11,80.833,22.10083,,
39,4,51.853,22.14299,,
74,14,85.747,22.91828,,
60,13,67.082,28.6,,
39,14,92.038,28.76216,,
39,5,88.384,31.8791,,
39,10,71.127,33.87114,,
17,4,48.969,36.49062,,
42,6,48.46,38.5,,
42,7,93.33,48.7,,
73,4,75.425,49.3,,
17,6,57.297,52.39947,,
60,14,84.535,55.6,,
17,5,97.105,58.2242,,
76,14,70.016,94.77132,,
74,13,84.36,95.80561,,
98,12,50.254,,,
93,10,8.475,7.07864,,
101,5,8.489,8.36,,
45,3,7.232,8.423955,,
101,13,5.313,9.91,,
45,4,11.835,13.34354,,
64,4,15.38,20.31208,,
13,12,9.499,21.4,,
61,12,11.246,23.70974,,
47,1,20.483,75.40134,,
74,9,53.437,95.04332,,
98,14,10.128,,,
43,9,16.257,15.07202,,
47,7,51.744,15.48842,,
57,5,14.157,13.92982,,
98,5,19.349,2.138531,,
98,13,6.79,4.094146,,
67,15,72.203,4.293547,,
98,8,5.305,4.893443,,
53,1,5.845,5.8,,
42,9,9.06,6.27,,
2,13,35.925,6.3,,
47,6,17.122,6.934498,,
47,15,11.768,7.599106,,
63,2,5.911,7.618338,,
40,12,10.2,7.63,,
56,14,7.805,7.683284,,
15,14,5.725,7.754063,,
2,15,5.451,7.8,,
56,7,9.232,7.898629,,
77,5,23.065,7.986342,,
98,9,5.212,8.385846,,
14,1,18.465,8.46,,
47,14,10.256,8.627517,,
46,15,8.432,8.975545,,
67,3,16.112,9.147363,,
47,16,5.04,9.169345,,
40,2,13.468,9.3,,
56,5,9.418,9.596329,,
102,9,14.637,9.7,,
56,4,11.267,10.81564,,
56,13,18.51,10.83969,,
53,2,4.139,11.4,,
91,1,11.448,11.6,,
98,3,11.024,12.59484,,
2,12,10.942,12.6,,
56,11,20.302,12.68365,,
74,6,24.921,13.07213,,
45,2,19.486,13.41635,,
88,12,21.512,13.5,,
88,14,6.658,13.6,,
42,2,49.41,14.1,,
77,7,17.605,14.68004,,
58,8,14.368,16.90868,,
17,2,9.101,16.93376,,
2,9,16.877,17.7,,
85,11,55.77,17.75308,,
74,3,47.137,17.81394,,
102,1,72.812,17.9,,
94,1,12.941,18.2,,
38,13,26.133,23.71812,,
102,3,25.725,27,,
47,11,16.147,28.07075,,
47,12,22.727,36.51211,,
42,8,25.14,42.5,,
74,8,23.291,48.17335,,
77,6,10.848,53.77546,,
98,4,27.302,56.7606,,
42,3,11.46,59.2,,
102,2,32.691,80.2,,
42,16,14.51,91,,
17,15,5.205,,,
74,4,19.557,13.88533,,
100,15,,11.1,,
75,11,35.126,15.16639,,
101,4,4.546,6.01,,
61,6,13.679,9.222495,,
75,14,7.388,13.10553,,
75,7,33.727,16.68302,,
68,3,8.68,10.10395,,
59,14,37.552,43.57215,,
20,7,14.812,12.18,,
20,9,15.57,12.3,,
10,6,21.898,14.1,,
10,14,19.495,19.5,,
60,8,36.863,35.7,,
55,8,44.333,71.4301,,
20,8,14.019,10.35,,
20,16,11.6,11.4,,
55,3,25.142,11.801,,
4,6,25.351,14.38618,,
58,4,10.233,15.27134,,
17,3,28.66,16.9873,,
55,14,60.018,23.69104,,
55,11,24.833,31.50713,,
60,3,63.793,35.2,,
40,6,9.152,49.3,,
60,7,36.408,57.4,,
53,3,70.983,75.2,,
60,6,21.691,78.4,,
40,4,22.236,10.2,,
60,16,63.682,49.4,,
46,10,6.064,9.267349,,
9,15,14.24,5.68993,,
70,6,14.127,6.161366,,
70,8,4.896,6.987336,,
46,3,9.713,7.083931,,
9,16,9.877,7.693527,,
5,2,14.659,8.7,,
9,13,12.395,9.10192,,
46,5,10.899,10.18389,,
55,4,10.218,10.56187,,
9,12,12.81,11.10354,,
9,7,14.308,11.20451,,
22,4,18.328,11.23596,,
35,16,15.055,12.06989,,
9,10,5.742,12.08915,,
46,11,9.993,12.08975,,
9,14,7.978,12.13323,,
46,4,15.269,12.15479,,
55,1,13.304,13.42479,,
103,13,12.966,14.1,,
29,16,13.67,14.8,,
103,9,24.787,15,,
103,14,17.766,15.3,,
103,6,18.708,15.4,,
103,15,19.716,15.4,,
17,14,13.44,15.40005,,
103,5,16.889,15.6,,
55,7,9.656,15.63817,,
103,2,16.561,15.8,,
103,8,24.478,15.8,,
20,2,10.566,16.66,,
29,7,14.69,16.7,,
103,16,21.379,17.2,,
103,12,20.579,18,,
103,10,22.025,18,,
10,4,14.685,18.2,,
103,7,14.88,18.2,,
47,13,10.256,19.91793,,
12,3,30.584,20.4,,
5,12,17.886,22.2,,
12,2,26.043,22.5,,
103,11,20.27,22.9,,
103,4,17.911,23.3,,
103,1,16.36,23.5,,
103,3,14.895,24.3,,
12,12,26.157,27.3,,
35,15,19.996,30.89651,,
12,10,45.93,38.1,,
17,1,10.395,39.01952,,
55,5,3.161,76.01305,,
57,8,7.651,2.666381,,
57,13,6.795,3.326209,,
4,3,12.954,5.518415,,
44,7,22.54,7.138603,,
9,9,10.032,7.611024,,
66,10,7.783,7.97,,
5,14,14.641,8.1,,
9,5,9.907,9.422451,,
4,9,10.122,9.823525,,
4,2,13.862,9.966352,,
7,3,16.298,10.0632,,
20,3,12.441,10.3,,
70,7,10.188,10.58611,,
7,11,17.548,10.92863,,
46,12,10.641,11.28489,,
93,11,11.419,12.1791,,
35,14,27.914,12.62817,,
46,7,7.681,13.14882,,
22,2,15.372,14.64929,,
35,4,20.53,14.77965,,
20,11,13.112,15.1,,
4,7,15.488,15.20257,,
35,13,25.919,18.48878,,
5,9,15.524,19.5,,
5,8,20.355,22.7,,
10,5,15.886,23.2,,
12,11,38.002,32.1,,
60,2,45.63,39.7,,
55,12,14.057,42.3941,,
46,2,11.764,,,
9,11,9.446,7.257754,,
27,6,15.094,10.8,,
27,4,19.969,12.4,,
33,9,16.357,13.8,,
8,2,10.289,16.5,,
33,15,14.892,19.4,,
25,1,16.338,21.8,,
25,3,19.614,19.9,,
101,7,9.381,6.91,,
33,16,17.395,16.9,,
33,6,12.636,21.3,,
36,1,7.245,13.6634,,
27,14,19.281,7.6,,
27,16,14.174,8,,
27,5,18.038,13.6,,
44,15,18.393,3.57814,,
21,6,13.884,9.6,,
28,10,9.118,6.17,,
27,12,16.017,6.8,,
22,1,7.524,7.300007,,
80,1,5.552,9.2,,
22,5,12.209,9.677181,,
27,7,16.424,9.9,,
5,11,14.382,10.1,,
22,13,16.653,10.28576,,
31,5,10.082,10.8,,
9,6,8.456,10.80035,,
27,9,13.769,11,,
31,6,11.345,11.1,,
27,2,19.952,11.3,,
31,7,13.259,11.4,,
27,15,16.514,11.5,,
27,11,16.698,11.5,,
27,3,18.586,11.5,,
10,16,13.896,11.6,,
22,12,17.528,11.80539,,
28,16,7.297,11.9,,
31,2,17.203,12,,
22,7,12.365,12.39967,,
22,10,15.647,12.41386,,
10,11,24.003,13.1,,
10,2,10.547,13.3,,
10,15,17.908,13.3,,
34,11,22.6,13.30041,,
34,10,18.877,13.72561,,
10,7,16.31,13.8,,
27,1,16.936,13.9,,
65,4,13.127,14.0303,,
34,8,18.31,14.04964,,
20,4,19.646,14.67,,
65,1,14.96,14.73743,,
65,6,19.608,14.84375,,
10,3,18.939,14.9,,
34,3,18.648,15.04794,,
65,3,17.829,15.18609,,
22,11,17.401,15.91189,,
22,3,16.614,16.81795,,
65,8,18.908,16.9837,,
65,14,18.234,17.10063,,
65,13,20.434,17.54498,,
65,9,21.51,18.35581,,
12,6,26.465,18.4,,
65,7,16.529,18.74788,,
34,5,16.648,19.79324,,
12,7,22.91,20.3,,
34,9,16.67,20.50847,,
12,8,24.238,20.9,,
65,2,21.617,21.96252,,
24,8,14.057,22,,
12,14,22.631,22.8,,
65,12,42.155,25.13789,,
34,4,18.302,25.74493,,
12,15,17.894,28,,
12,13,10.284,30.7,,
12,4,23.354,30.8,,
12,9,15.262,32.1,,
12,16,23.237,36.1,,
101,9,14.823,5.47,,
101,10,5.167,5.68,,
33,1,15.418,19.4,,
31,4,13.577,6.1,,
53,7,22.651,8.5,,
27,13,12.114,8.8,,
63,8,9.076,10.20172,,
26,5,21.241,10.49897,,
31,8,9.543,10.8,,
28,15,10.888,10.9,,
28,3,9.139,12.4,,
27,8,17.44,12.9,,
5,10,13.675,13.1,,
55,15,34.346,13.15446,,
20,6,15.325,13.39,,
8,16,13.742,13.5,,
31,15,16.245,13.6,,
