,SITE,PLOT,BRC,DBH_class,Count,Yr,BRC names,Woody
114,66,9,920841,11,1,2,Fraxinus excelsior (c),w
115,66,11,92077,7,1,2,Alnus glutinosa,w
116,66,11,92077,8,1,2,Alnus glutinosa,w
117,66,11,920841,9,1,2,Fraxinus excelsior (c),w
118,66,11,92077,9,3,2,Alnus glutinosa,w
119,66,12,920569,1,2,2,Crataegus monogyna,w
120,66,12,920557,1,32,2,Corylus avellana,w
121,66,12,92077,2,1,2,Alnus glutinosa,w
122,66,12,920557,2,2,2,Corylus avellana,w
123,66,12,920557,3,4,2,Corylus avellana,w
124,66,12,92077,4,1,2,Alnus glutinosa,w
125,66,12,9205,5,1,2,Acer pseudoplatanus,w
126,66,12,92077,5,2,2,Alnus glutinosa,w
127,66,12,92077,7,1,2,Alnus glutinosa,w
128,66,12,92077,8,1,2,Alnus glutinosa,w
129,66,13,9205,1,2,2,Acer pseudoplatanus,w
130,66,13,9204558,1,2,2,Salix seedling/sp,w
131,66,13,920841,1,3,2,Fraxinus excelsior (c),w
132,66,13,920557,1,10,2,Corylus avellana,w
133,66,14,9201611,1,2,2,Prunus avium,w
134,66,14,200001670,1,16,2,Ulex sp.,w
135,66,14,9204558,1,46,2,Salix seedling/sp,w
136,66,15,9204558,1,2,2,Salix seedling/sp,w
137,66,15,920557,1,8,2,Corylus avellana,w
138,66,15,9201023,1,8,2,Ilex aquifolium,w
139,66,15,920841,1,16,2,Fraxinus excelsior (c),w
140,66,15,9201023,2,1,2,Ilex aquifolium,w
141,66,15,9201023,3,2,2,Ilex aquifolium,w
142,66,15,9204446,24,1,2,Quercus seedling/sp,w
143,66,16,9201023,1,1,2,Ilex aquifolium,w
144,66,16,920569,1,2,2,Crataegus monogyna,w
145,66,16,920841,1,2,2,Fraxinus excelsior (c),w
146,66,16,9205,1,4,2,Acer pseudoplatanus,w
147,66,16,920841,1,6,2,Fraxinus excelsior (c),w
148,66,16,920557,1,58,2,Corylus avellana,w
149,66,16,9201023,2,1,2,Ilex aquifolium,w
150,66,16,920557,2,2,2,Corylus avellana,w
151,66,16,920841,2,12,2,Fraxinus excelsior (c),w
