Site,Plot,alpha,cover,allelos,lba,som,pH,amtrees,amcover,nvc,ms,flag
1.0,1.0,8,112.5,0.0,0.500691329,8.582,4.4,0.0,112.0,W10,em,t
1.0,2.0,12,139.5,0.0,0.502654825,9.622,4.3,0.0,71.0,W10,em,t
1.0,3.0,4,180.5,0.0,0.467311907,9.544,4.2,0.0,20.0,W25,am,a
1.0,4.0,13,116.0,0.0,0.512472302,7.415,4.3,0.0,21.0,W10,em,t
1.0,5.0,11,81.0,0.0,0.834485549,11.294,3.9,0.0,30.0,W10,em,t
1.0,6.0,15,60.0,1.0,1.005309649,9.39,4.1,0.0,31.0,W8,am,t
1.0,7.0,10,109.5,0.0,0.714712329,9.956,4.3,0.0,40.0,W10,em,t
1.0,8.0,6,132.5,0.0,1.1545353,7.474,4.1,0.0,20.0,W10,em,t
1.0,9.0,15,126.5,0.0,0.520326283,4.453,4.8,35.34291735288517,13.0,W10,em,t
1.0,10.0,16,97.0,1.0,1.10348442,5.329,4.5,0.0,40.0,W10,em,t
1.0,11.0,9,104.5,0.0,0.9012443920000001,6.621,4.4,0.0,22.0,W10,em,t
1.0,12.0,12,130.0,3.0,0.600829595,7.745,3.9,0.0,13.0,W10,em,t
1.0,13.0,10,101.0,0.0,0.50461832,6.361000000000001,4.2,0.0,22.0,W10,em,t
1.0,14.0,18,114.5,0.0,0.484983366,8.899,6.1,133.5176877775662,4.0,W8,am,t
1.0,15.0,15,59.5,1.0,0.41037054,8.524,4.4,0.0,82.0,W10,em,t
1.0,16.0,12,124.0,3.0,0.6774059159999999,6.8020000000000005,4.3,0.0,31.0,W10,em,t
2.0,1.0,14,26.0,1.0,1.3607023180000002,6.547000000000001,5.1,7.853981633974483,17.0,W10,em,t
2.0,2.0,10,10.0,1.0,2.155917959,9.65,4.4,35.34291735288517,38.0,W10,em,t
2.0,3.0,8,6.5,2.0,1.5217089419999998,6.032,4.0,15.707963267948966,42.0,W10,em,t
2.0,4.0,34,28.0,4.0,0.549778714,5.247000000000001,4.6,133.51768777756618,83.0,W10,em,t
2.0,5.0,3,26.0,0.0,1.682715565,7.949,3.6,0.0,44.0,W16,em,t
2.0,6.0,11,8.5,2.0,0.805033117,7.132999999999999,4.0,35.342917352885166,34.0,W10,em,t
2.0,7.0,32,41.5,0.0,0.261144889,5.632999999999999,4.8,0.0,57.0,W10,em,t
