SITE,PLOT,pH1971,pH resurvey
96,10,4.2,4.115
87,2,4.2,4.124
1,8,4.1,4.2
100,4,4.1,4.2
95,16,4.1,4.203
86,16,4,4.278
48,11,4,4.3
99,8,4,4.3
36,8,4,4.317
90,8,4,4.319
56,10,4,4.349
86,13,3.9,4.429
26,12,3.9,4.44
30,7,3.9,4.449
39,12,3.8,4.475
90,3,3.8,4.495
100,14,3.8,4.5
73,2,3.8,4.506
87,1,3.8,4.508
101,11,3.8,4.516
14,2,3.7,4.594
50,16,3.7,4.627
91,8,3.5,4.8
67,15,3.1,5.232
64,4,4.6,3.801
54,16,4.3,4.055
89,12,4.3,4.1
78,8,4.3,4.107
37,14,4.3,4.13
78,16,4.3,4.131
81,3,4.3,4.148
86,9,4.1,4.274
87,6,4.1,4.317
86,12,4.1,4.345
37,11,3.8,4.555
86,6,3.8,4.589
73,5,3.8,4.594
52,9,3.8,4.6
100,11,3.8,4.6
79,14,3.8,4.6
3,4,3.8,4.611
44,10,3.8,4.62
69,15,3.8,4.644
97,6,4.5,3.904
14,15,4.5,3.919
1,15,4.4,4
52,12,4.4,4
83,3,4.4,4.039
77,10,4.2,4.167
85,2,4.2,4.171
76,4,4.2,4.191
13,12,4.2,4.2
48,4,4.2,4.2
56,11,4.2,4.209
45,10,4.2,4.229
62,4,4.2,4.232
30,14,4,4.354
85,11,4,4.364
95,15,4,4.365
87,3,4,4.378
95,7,4,4.388
16,7,4,4.4
29,11,4,4.4
79,7,4,4.4
100,9,4,4.4
2,15,4,4.4
39,2,4,4.42
72,12,4,4.443
86,3,3.9,4.461
1,5,3.9,4.5
94,5,3.9,4.5
91,4,3.9,4.5
101,3,3.7,4.7
95,2,3.6,4.798
2,13,3.5,4.9
39,5,3.4,5.041
54,7,4.6,3.879
76,14,4.5,3.961
78,9,4.5,3.983
95,14,4.5,3.986
13,4,4.5,4
80,15,4.5,4
80,12,4.5,4
88,1,4.5,4
97,9,4.5,4.004
93,5,4.5,4.033
67,6,4.4,4.063
86,14,4.4,4.09
78,15,4.4,4.098
11,9,4.4,4.1
101,5,4.4,4.124
69,9,4.3,4.166
1,7,4.3,4.2
29,6,4.3,4.2
52,16,4.3,4.2
52,11,4.3,4.2
80,4,4.3,4.2
48,5,4.3,4.2
48,12,4.3,4.2
85,9,4.3,4.207
14,10,4.3,4.219
49,11,4.3,4.224
73,4,4.3,4.233
54,13,4.2,4.294
85,7,4.2,4.295
1,3,4.2,4.3
89,3,4.2,4.3
95,3,4.2,4.345
74,4,4.1,4.359
86,4,4.1,4.371
78,12,4.1,4.381
73,8,4.1,4.397
82,10,4.1,4.4
89,7,4.1,4.4
89,15,4.1,4.4
42,2,4.1,4.403
95,5,4.1,4.435
2,8,4,4.5
30,5,4,4.509
85,10,4,4.515
43,11,4,4.518
95,1,4,4.525
89,13,3.9,4.6
94,11,3.9,4.6
77,8,3.9,4.6
3,15,3.8,4.72
42,7,3.5,4.979
102,9,3.3,5.2
97,12,4.6,3.962
5,5,4.6,4
16,4,4.6,4
17,8,4.5,4.076
64,9,4.5,4.149
38,13,4.3,4.298
80,8,4.3,4.3
1,16,4.3,4.3
54,12,4.3,4.328
49,1,4.1,4.477
86,5,4.1,4.478
61,5,4.1,4.484
30,3,4.1,4.484
37,13,4.1,4.497
16,1,4.1,4.5
13,11,4.1,4.5
16,12,4.1,4.5
76,16,4.1,4.501
86,8,4.1,4.509
95,12,4.1,4.527
40,1,4,4.552
96,1,4,4.571
72,11,4,4.571
91,6,4,4.6
87,4,4,4.616
73,9,4,4.617
21,16,3.9,4.7
15,12,3.9,4.704
38,6,3.9,4.722
30,13,3.9,4.742
88,8,3.4,5.2
76,9,4.4,4.174
74,15,4.4,4.18
43,14,4.4,4.189
76,13,4.4,4.199
1,11,4.4,4.2
79,6,4.4,4.2
2,2,4.4,4.2
85,8,4.2,4.366
82,9,4.2,4.4
94,10,4.2,4.4
82,1,4.2,4.4
45,16,4.2,4.445
37,15,5.1,3.647
5,3,4.7,4
5,4,4.7,4
64,6,4.6,4.059
74,8,4.5,4.186
54,3,4.4,4.279
73,11,4.4,4.297
79,13,4.4,4.3
67,14,4.4,4.31
92,5,4.4,4.313
93,16,4.4,4.343
81,2,4.3,4.388
13,14,4.3,4.4
13,15,4.3,4.4
72,8,4.3,4.411
76,6,4.3,4.423
73,7,4.3,4.43
87,10,4.2,4.463
87,15,4.2,4.467
30,12,4.2,4.488
85,1,4.2,4.515
87,8,4.2,4.521
45,2,4.2,4.527
73,15,4.2,4.539
72,5,4.1,4.584
85,6,4.1,4.604
73,16,4.1,4.645
78,13,4,4.654
30,6,4,4.678
38,11,4,4.688
77,14,4,4.7
91,13,4,4.7
26,4,4,4.706
78,5,4,4.719
30,4,3.8,4.875
42,4,3.8,4.895
76,3,3.7,4.966
102,15,3.6,5.1
69,16,3,5.666
74,7,5,3.825
11,4,4.8,4
95,8,4.7,4.149
92,13,4.6,4.189
82,8,4.6,4.2
2,4,4.6,4.2
97,14,4.5,4.253
56,12,4.5,4.277
6,1,4.5,4.3
36,3,4.5,4.32
87,14,4.5,4.342
56,14,4.5,4.344
67,13,4.5,4.349
91,7,4.4,4.4
93,4,4.4,4.405
64,10,4.4,4.407
28,2,4.4,4.419
72,9,4.3,4.451
50,13,4.3,4.458
85,14,4.3,4.479
82,11,4.3,4.5
11,13,4.3,4.5
23,1,4.3,4.5
99,11,4.3,4.5
78,14,4.3,4.528
18,1,4.2,4.562
6,7,4.2,4.6
64,2,4.2,4.604
76,5,4.2,4.613
43,15,4.2,4.618
58,9,4.1,4.651
43,10,4.1,4.7
48,16,4.1,4.7
61,15,4.1,4.717
67,7,4,4.766
61,4,3.9,4.854
3,6,3.9,4.861
64,3,3.8,4.952
70,4,3.8,5.031
84,6,3.5,5.276
99,5,3.5,5.3
2,12,3.5,5.3
15,3,3.4,5.394
97,11,5.1,3.818
51,16,4.8,4.065
76,8,4.8,4.112
77,16,4.8,4.134
83,7,4.6,4.293
89,8,4.6,4.3
96,15,4.6,4.329
73,13,4.3,4.582
97,15,4.3,4.598
82,2,4.3,4.6
29,10,4.3,4.6
81,4,4.3,4.612
30,15,4.3,4.613
78,6,4.3,4.637
78,10,4.3,4.639
70,3,4.1,4.752
82,14,4.1,4.8
56,13,4.1,4.815
51,10,4.1,4.834
73,3,4.1,4.837
42,8,3.8,5.055
16,13,3.8,5.1
54,6,4.9,3.983
11,6,4.9,4
96,6,4.5,4.362
38,16,4.5,4.362
82,15,4.5,4.4
93,3,4.4,4.474
87,13,4.4,4.493
43,12,4.2,4.687
36,16,4.2,4.714
51,11,4.2,4.718
73,14,4.2,4.744
42,1,4.2,4.744
77,15,4,4.88
61,2,4,4.934
45,5,3.9,5.01
67,16,3.7,5.199
94,9,3.6,5.3
39,15,3.6,5.31
102,8,3.5,5.4
94,4,3.5,5.4
44,13,5.4,3.583
101,8,5,4.016
54,4,5,4.039
38,12,4.9,4.148
97,7,4.8,4.161
74,9,4.8,4.171
96,14,4.8,4.201
81,9,4.8,4.222
80,10,4.7,4.3
54,14,4.6,4.413
3,3,4.6,4.439
93,8,4.5,4.451
79,9,4.5,4.5
62,12,4.3,4.69
79,10,4.3,4.7
61,13,4.3,4.703
51,12,4.3,4.707
18,7,4.2,4.754
63,12,4.2,4.757
99,9,4.2,4.8
59,6,4.2,4.812
72,2,4.1,4.879
29,5,4,5
91,2,4,5
76,7,4,5.013
64,11,3.6,5.397
97,10,5.3,3.79
98,16,5.2,3.864
51,14,5.2,3.912
3,8,5,4.053
61,12,4.8,4.255
62,14,4.8,4.271
67,8,4.8,4.276
29,8,4.8,4.3
93,2,4.6,4.478
82,3,4.6,4.5
87,11,4.6,4.517
60,4,4.6,4.541
72,13,4.6,4.544
81,6,4.5,4.561
81,5,4.5,4.568
57,12,4.5,4.575
59,5,4.3,4.762
78,7,4.3,4.765
77,11,4.3,4.787
68,9,4.3,4.803
85,15,4.1,5.046
78,2,4,5.145
1,12,3.9,5.2
61,6,3.9,5.235
45,4,3.4,5.7
80,5,4.9,4.2
37,8,4.9,4.221
14,12,4.7,4.355
56,9,4.7,4.389
96,16,4.7,4.39
