BRC,BRC names
9101546,Polystichum aculeatum
9101544,Polypodium vulgare sens.lat.
200001676,Polypodium sp.
9204549,Polygonum sp.
9201531,Polygonum lapathifolium
9201522,Polygonum aviculare agg.
9201518,Polygonatum odoratum
9201516,Polygonatum multiflorum
9201514,Polygala serpyllifolia
9201515,Polygala oxyptera
9201512,Polygala calcarea
8201213,Pohlia sp.
820489,Pogonatum urnigerum
820479,Pogonatum aloides
9201507,Poa trivialis
9204547,Poa sp.
9201506,Poa pratensis sens.lat.
200001593,Poa nemoralis/trivialis
9201504,Poa nemoralis
9201495,Poa annua
820463,Pleurozium schreberi
9201493,Platanthera chlorantha
9201488,Plantago major
9201487,Plantago lanceolata
820459,Plagiothecium undulatum
8201206,Plagiothecium sp.
20000994,Plagiothecium sp
820449,Plagiothecium denticulatum
820395,Plagiomnium undulatum
820383,Plagiomnium rostratum
820379,Plagiomnium affine
810874,Plagiochila spinulosa agg.
200001105,Plagiochila sp
810872,Plagiochila asplenioides sens.lat.
9201484,Pinus sylvestris
9204546,Pinus sp./seedling
9201481,Pinguicula vulgaris
9201480,Pinguicula lusitanica
9201476,Pimpinella saxifraga
9201475,Pimpinella major
920976,Pilosella officinarum
9201471,Picris echioides
9205155,Picea sp
9202401,Picea sitchensis
9201470,Picea abies
9101466,Phyllitis scolopendrium
9202247,Phleum pratense sens.lat.
8201199,Philonotis sp.
9102053,Phegopteris connectilis
200001647,Phalaris sp.
9201454,Phalaris arundinacea
200001696,Petasites spp.
9201447,Petasites hybridus
9201543,Persicaria vivipara
9201537,Persicaria maculosa
9201530,Persicaria hydropiper
9201525,Persicaria bistorta
9202246,Persicaria amplexicaulis
9201521,Persicaria amphibia
5503836,Peltigera canina
8101323,Pellia sp.
9201442,Pedicularis sylvatica
200001645,Pedicularis sp.
9201441,Pedicularis palustris
9201440,Pastinaca sativa
9201437,Parnassia palustris
9201436,Paris quadrifolia
9201435,Parietaria judaica
9201413,Oxalis acetosella
9101411,Osmunda regalis
9201410,Orthilia secunda
200001585,Orobanche sp.
9201393,Origanum vulgare
9102051,Oreopteris limbosperma
9201387,Orchis mascula
9101381,Ophioglossum vulgatum sens.lat.
9201379,Onopordum acanthium
9201363,Oenanthe crocata
9201361,Odontites vernus
9201358,Nymphaea alba
820402,Neckera crispa
9201345,Narthecium ossifragum
9201344,Nardus stricta
9205478,Narcissus pseudonarcissus
9201333,Myrrhis odorata
9201328,Myrica gale
9201325,Myosotis sylvatica
9204542,Myosotis seedling/sp
9201323,Myosotis secunda
9201322,Myosotis scorpioides
9201317,Myosotis arvensis
9201315,Mycelis muralis
9201312,Montia fontana
9201308,Moneses uniflora
9201307,Molinia caerulea
9201306,Moenchia erecta
9201305,Moehringia trinervia
820382,Mnium hornum
9201298,Mimulus seedling/sp
9204328,Mimulus guttatus
9201296,Milium effusum
9201291,Mercurialis perennis
9201289,Menyanthes trifoliata
9204443,Mentha sp.
9201273,Mentha arvensis
9201279,Mentha aquatica x spicata (M. x piperita)
9201272,Mentha aquatica
9201267,Melilotus officinalis
9201263,Melica uniflora
9201262,Melica nutans
200001640,Melampyrum sp.
9201256,Melampyrum pratense
9201255,Melampyrum cristatum
9201250,Medicago lupulina
9201246,Meconopsis cambrica
200001639,Matricaria sp.
9201242,Matricaria discoidea
8101311,Marchantia spp.
9201236,Malva sylvestris
200001638,Malva sp.
9201230,Malus sylvestris
9201228,Mahonia aquifolium
9201227,Lythrum salicaria
9201444,Lythrum portula
9201225,Lysimachia vulgaris
9201350,Lysimachia thyrsiflora
9201222,Lysimachia nummularia
9201221,Lysimachia nemorum
9201219,Lycopus europaeus
9201210,Lychnis flos-cuculi
9201209,Luzula sylvatica
200001141,Luzula sp.
9201207,Luzula pilosa
9201203,Luzula luzuloides
9201202,Luzula forsteri
9205049,Luzula campestris/multiflora
9201194,Lotus pedunculatus
9201191,Lotus corniculatus
8101308,Lophocolea sp.
810814,Lophocolea heterophylla
810812,Lophocolea bidentata var.bidentata
9201188,Lonicera periclymenum
9202613,Lonicera nitida
9201183,Lolium perenne
9201182,Lolium multiflorum
9201174,Lithospermum officinale
9201173,Listera ovata
9201172,Listera cordata
9201169,Linum catharticum
9201164,Linaria vulgaris
9201144,Ligustrum vulgare
9205026,Ligustrum sp.
920682,Leymus arenarius
820374,Leucobryum glaucum
920502,Leucanthemum vulgare
8101306,Lepidozia sp.
810807,Lepidozia reptans
9204539,Leontodon sp.
9201129,Leontodon autumnalis
9201126,Lemna minor
9201117,Lathyrus sylvestris
9204537,Lathyrus seedling/sp
9201116,Lathyrus pratensis
9201112,Lathyrus linifolius
9201107,Lathraea squamaria
9204442,Larix sp.
9201104,Lapsana communis
9201098,Lamium album
920862,Lamiastrum galeobdolon
9201087,Koeleria macrantha
9201084,Knautia arvensis
9201080,Juniperus communis
9201075,Juncus squarrosus
9201070,Juncus inflexus
9201067,Juncus effusus
9201063,Juncus conglomeratus
9201058,Juncus bulbosus
200001478,Juncus bufonius/bulbosus
9201057,Juncus bufonius sens.lat.
20000228,Juncus articulatus/acutiflora
